col_0,col_1,col_2,N,col_4,col_5,(%),col_7
,,01: A great extent,5186,,26.4,,
,,02: Somewhat,6614,,33.6,,
,,03: Not much,3812,,19.4,,
,,04: Not at all,2014,,10.2,,
,,98: Don’t know/ Can’t Say,2036,,10.4,,
,,Total,19663,,100.0,,
