col_0,col_1,N,(%),Valid (%)
Valid,1: No,68,4.1,37.0
,2: Yes,111,6.6,60.0
,7: Can't say,1,.1,.7
,8: No response,4,.3,2.4
,Total,184,11.1,100.0
Missing,9: N.A.,1483,88.9,
Total,,1667,100.0,
