col_0,col_1,N,(%)
,511: Arundhatiyars,21,.1
,520: Pasi,117,.5
,521: Pano,61,.3
,523: Devendrakula Vellars,51,.2
,524: Dusadh,86,.4
,525: Rajbanshis,165,.7
,526: Mala,118,.5
,530: Namashudras,161,.7
,"531: Mahar, Mehar, Mehra",227,.9
,"535: Dhobi, Julaha, Kewat (Non-OBC)",91,.4
,540: Dom,30,.1
,545: Nomadic/Service SC,2,.0
,546: Shilpkar,2,.0
,550: Lowest SC,40,.2
,556: Vankar,55,.2
,557: Dhanuk,36,.1
,558: Gond,3,.0
,559: Khatik,13,.1
,560: Kori,53,.2
,561: Thiruvalluvar,22,.1
,562: Adi Karnataka,107,.4
,563: Adi Dravida,24,.1
,564: Banjara,5,.0
,566: Bhovi,40,.2
,568: Holaya Holeya,3,.0
,569: Korama,5,.0
,571: Pulaya,21,.1
,572: Paraya,11,.0
,573: Kuruva,2,.0
,575: Velan,1,.0
,576: Thandan,7,.0
,"577 : Das, Hazarika, Koibarta",14,.1
,"578: Das, Malakar",4,.0
