col_0,col_1,N,(%),Valid (%)
,25: West Bengal,38,.4,1.6
,27: Delhi,49,.5,2.1
,29: Jharkhand,15,.1,.6
,30: Chhattisgarh,16,.2,.7
,31: Uttarakhand,18,.2,.8
,32: Telangana,74,.7,3.2
,98: No response,515,5.1,22.1
,Total,2336,23.3,100.0
Missing,99: N.A.,7674,76.7,
Total,,10010,100.0,
