col_0,col_1,col_2,col_3,col_4,N,col_6,(%),col_8
,,01: Hindu,,15737,,,80.0,
,,02: Muslim,,2727,,,13.9,
,,03: Christian,,455,,,2.3,
,,04: Sikh,,382,,,1.9,
,,05: Jain,,34,,,.2,
,,06: Parsi,,1,,,.0,
,,07: Buddhist/neo-Buddhist,,100,,,.5,
,,08: No religion (Atheist),,25,,,.1,
,,97: Others,,25,,,.1,
,,98: No response,,177,,,.9,
,,Total,,19663,,,100.0,
