col_0,col_1,col_2,N,col_4,col_5,(%),col_7
,,01: Some people say it was a good step,3450,,34.4,,
,,02: Some people say it was a good step but it was not done in the right way,1643,,16.4,,
,,03: Some people say it was a bad step,784,,7.8,,
,,98: Don‟t know,2195,,21.9,,
,,99: Not aware of Article 370,1947,,19.4,,
,,Total,10019,,100.0,,
