col_0,col_1,col_2,col_3,col_4,N,col_6,col_7,(%),col_9,col_10,Valid (%),col_12
,,98: Don‟t know,,553,,,5.5,,,5.6,,
,,Total,,9883,,,98.6,,,100.0,,
Missing,,99: Not applicable,,136,,,1.4,,,,,
Total,,,,10019,,,100.0,,,,,
