col_0,col_1,col_2,col_3,col_4,N,col_6,(%),col_8
,,01: Fully agree,,7414,,37.7,,
,,02: Somewhat agree,,7136,,36.3,,
,,03: Somewhat disagree,,2614,,13.3,,
,,04: Fully disagree,,796,,4.1,,
,,98: Don’t Know/Can’t Say,,1703,,8.7,,
,,Total,,19663,,100.0,,
