col_0,col_1,col_2,col_3,col_4,N,col_6,col_7,(%),col_9
,,01: BJP is as nepotistic as Congress,,2432,,,24.3,,
,,02: BJP is less nepotistic than Congress,,2524,,,25.2,,
,,03: BJP is not nepotistic at all,,1518,,,15.2,,
,,98: Don‟t know,,3546,,,35.4,,
,,Total,,10019,,,100.0,,
