col_0,col_1,col_2,col_3,col_4,N,col_6,(%),col_8
,,01: India belongs only to Hindus,,1095,,10.9,,
,,"02: India belongs to citizens of all religions equally, not just Hindus",,7867,,78.5,,
,,98: Don‟t know,,1057,,10.5,,
,,Total,,10019,,100.0,,
