col_0,col_1,col_2,col_3,col_4,N,(%),col_7
,,01: Fully satisfied,,1800,,18.0,
,,02: Somewhat satisfied,,3517,,35.1,
,,03: Somewhat dissatisfied,,2096,,20.9,
,,04: Fully dissatisfied,,2090,,20.9,
