col_0,col_1,N,(%)
,261: Mer,4,.0
,262: Charan,3,.0
,263: Rabari,13,.1
,264: Bharwad,50,.2
,265: Kshatriya,141,.6
,266: Chaudhary,8,.0
,267: Senai,15,.1
,268: Nadars,62,.3
,269: Ahom,39,.2
,270 : Koch,26,.1
,271: Mali,96,.4
,272: Dhangar,53,.2
,273: Vanjari,93,.4
,274: Leva-Patil,29,.1
,275: Gowari,7,.0
,276: Agri,33,.1
,277: Powar,3,.0
,278: Teli,51,.2
,279: Kasars,2,.0
,284: Kashyap,9,.0
,286: Kamboj,4,.0
,288: Mali,99,.4
,299: Other Peasant OBCs,568,2.3
,300: Bunkar (Weavers),113,.5
,310: Darzee (Tailors),50,.2
,320: Thatihar (Make Vessel),33,.1
,330: Lakhera (Make Lac Bangles),24,.1
,335: Badhai (Carpenters),116,.5
,345: Kumhar(Potters),304,1.3
,355: Lohar (Black Smith),142,.6
,365: Sunar (Gold Smith),87,.4
,"375: Mahendra, Medara",4,.0
,378: Kosti-Sali-Padmashali,8,.0
