col_0,col_1,col_2,col_3,col_4,N,col_6,col_7,(%),col_9
,,595: Lohar,,3,,,.0,,
,,597: Pod Poundra,,13,,,.1,,
,,599 Other SC,,224,,,1.1,,
,,600 Meena,,94,,,.5,,
,,601 Bhil,,290,,,1.5,,
,,602: Bot: Boto,,93,,,.5,,
,,603: Brokpa,,31,,,.2,,
,,604: Gaddi,,19,,,.1,,
,,"605: Gujjar, Buddhist ST",,161,,,.8,,
,,606: Purigpa,,46,,,.2,,
,,607: Andh/Kondh,,1,,,.0,,
,,608: Naikda,,16,,,.1,,
,,609 Garasia,,63,,,.3,,
,,610 Seharia,,49,,,.2,,
,,"611: Sonowal, Kachari (PlainTribes)",,6,,,.0,,
,,612 Kathodi,,6,,,.0,,
,,613: Misingsor Miris (Plain Tribes),,9,,,.0,,
,,614: Dimasas (Hill Tribes),,2,,,.0,,
,,"615: Hajongs, Singhpho (Hill Tribes)",,4,,,.0,,
,,"616: Chakmas, Garos, Kuki (Hill Tribes)",,17,,,.1,,
,,"617: Rabhas, Karbi (PlainTribes)",,11,,,.1,,
,,618: Koraga,,1,,,.0,,
,,623: Bedia Bediya,,9,,,.0,,
,,624: Bhumij,,3,,,.0,,
,,"625: Bhutia Sherpa, Toto, Dukpa, Kagatay, Tibetan, Yolmo",,1,,,.0,,
,,626: Kora,,3,,,.0,,
,,"627: Lodha Kheria, Kharia",,5,,,.0,,
,,628: Saharia,,2,,,.0,,
,,630: Baiga,,4,,,.0,,
,,631: Bhilala,,9,,,.0,,
,,632: Kol,,54,,,.3,,
,,634: Barela,,34,,,.2,,
,,635: Bhotia,,7,,,.0,,
