col_0,col_1,col_2,col_3,col_4,N,col_6,col_7,(%),col_9
,,120: Nairs,,69,,,.4,,
,,121: Marathas,,371,,,1.9,,
,,125: Patel,,48,,,.2,,
,,126: Karwa Patel/Patidar,,19,,,.1,,
,,127: Leuva Patel/Patidar,,4,,,.0,,
,,128: Patel/Patidar,,3,,,.0,,
,,130: Raju: Varma,,6,,,.0,,
,,135: Velama,,10,,,.1,,
,,"136: Kapu, Balija, Telaga, Ontari: Naidu",,80,,,.4,,
,,137: Bunt: Bunt/Bant,,17,,,.1,,
,,138: Naidu,,4,,,.0,,
,,143: Lingayats,,11,,,.1,,
,,144: Thigala,,2,,,.0,,
,,199 Other PP,,228,,,1.2,,
,,200 Gujjar/Thevar,,83,,,.4,,
,,201: Thevar,,213,,,1.1,,
,,"210 Yadav (Gop, Goala- West Bengal)/ Gopal, Gouda- Odisha)",,902,,,4.6,,
,,220 Kurmi,,613,,,3.1,,
,,221: Mudaliars,,31,,,.2,,
,,"222: Gowda, Gavalla, Setti Balija, Ediga, Krishna Balija",,51,,,.3,,
,,230 Lodh,,193,,,1.0,,
,,231: Vanniyars,,266,,,1.4,,
,,232: Munnuru Kapu,,44,,,.2,,
,,235 Koeri,,193,,,1.0,,
,,236: Mutharayars: Udayar,,18,,,.1,,
,,"237: Mudiraj, Mutraju, Tenugollu",,70,,,.4,,
,,240: Vokkaliga,,127,,,.6,,
,,241: Kalinga,,30,,,.2,,
,,245: Lingayat,,125,,,.6,,
,,246: Thurpu Kapu,,18,,,.1,,
,,250: Gadaria,,70,,,.4,,
,,251: Koppulu Velama: Naidu,,13,,,.1,,
,,255: Kunbi,,24,,,.1,,
