col_0,col_1,col_2,col_3,N,col_5,col_6,(%),col_8
,,01: There is nothing wrong with the BJP taking leaders from other parties even if they have a tainted image,2077,,,20.7,,
,,02: BJP shouldn‟t take leaders that have a tainted image,4471,,,44.6,,
,,98: Don‟t know,3472,,,34.6,,
,,Total,10019,,,100.0,,
