col_0,col_1,N,(%)
,01: Pinarayi Vijayan (LDF),334,20.1
,02: Ramesh Chennithala (Cong),72,4.3
,03: Oommen Chandy (BJP),284,17.0
,04: Shashi Tharoor (Cong),8,.5
,05: A K Antony,14,.9
,06: O. Rajagopal (BJP),8,.5
,07: Kummanam Rajasekharan (BJP),34,2.0
,08: T M Thomas Isaac (CPM),6,.3
,09: G Sudhakaran (CPM),1,.1
,12: V S Achuthanandan (CPM),64,3.8
,13: Mullappally Ramachandran (Cong),1,.0
,14: PK Kunhalikutty (IUML),1,.1
,25: Other Cong leaders,10,.6
,26: Other BJP leaders,17,1.0
,27: Other CPM leaders,3,.2
,30: Any UDF leader (if someone says so),4,.2
,31: Any LDF leader (if someone says so),26,1.5
,95: Other leaders,655,39.3
,98: No response,126,7.6
,Total,1667,100.0
