state,constituency,constituency_id,state_key,constituency_key,winner_2019,winner_2024,winner_party_2019,winner_party_2024,bjp_vote_share_2019,bjp_vote_share_2024,inc_vote_share_2019,inc_vote_share_2024,bjp_swing_2019_2024,inc_swing_2019_2024,winner_changed,margin_2019,margin_2024,margin_change,turnout_2019,turnout_2024,turnout_change,fertility_rate_nfhs5,electricity_pct_nfhs5,improved_sanitation_pct_nfhs5,lpg_pct_nfhs5,mobile_phone_pct_nfhs5,bank_account_pct_nfhs5,women_secondary_edu_pct_nfhs5,female_literacy_pct_nfhs5,male_literacy_pct_nfhs5,wealth_index_mean_nfhs5,urban_pct_nfhs5,fertility_rate_change,electricity_pct_change,improved_sanitation_pct_change,lpg_pct_change,mobile_phone_pct_change,bank_account_pct_change,women_secondary_edu_pct_change,female_literacy_pct_change,male_literacy_pct_change,wealth_index_mean_change,urban_pct_change,nfhs5_coverage_share,change_coverage_share,change_quality_flag,districts_used,districts_missing,manual_demographic_fields_count,manual_demographic_source_count,demographic_source_type
Andaman & Nicobar Islands,Andaman & Nicobar Islands,ANDAMAN_&_NICOBAR_ISLANDS__ANDAMAN_&_NICOBAR_ISLANDS,ANDAMAN & NICOBAR ISLANDS,ANDAMAN NICOBAR ISLANDS,KULDEEP RAI SHARMA,BISHNU PADA RAY,INC,BJP,45.29802794072245,50.58218197260437,45.976767520839765,38.53560741479601,5.2841540318819185,-7.441160106043753,True,0.6787395801173162,12.046574557808356,11.36783497769104,29.92674372234835,32.44,2.5132562776516494,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,election_only
Andhra Pradesh,Amalapuram,ANDHRA_PRADESH__AMALAPURAM,ANDHRA PRADESH,AMALAPURAM,CHINTA ANURADHA,G M HARISH (BALAYOGI),YSRCP,TDP,0.9355216786506556,0.0,0.6397138442446437,1.1591676619737363,-0.9355216786506556,0.5194538177290926,True,3.2277687880963057,26.300393665081863,23.072624876985557,33.29491982493306,52.01,18.715080175066937,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,election_only
Andhra Pradesh,Anakapalle,ANDHRA_PRADESH__ANAKAPALLE,ANDHRA PRADESH,ANAKAPALLE,Dr.Beesetti Venkata Satyavathi,C.M.RAMESH,YSRCP,BJP,1.0719496548622478,57.50023390365584,0.8172041621618567,1.9354395728768337,56.428284248793595,1.118235410714977,True,,22.374016472853597,,,47.59,,,100.0,31.83698391475677,31.83698391475677,48.87773793606758,48.87773793606759,,,,51732.05371858968,14.79622989344597,,23.950576912698224,12.463575874576744,23.320497734184254,45.41057957092771,,,,,,-10.753228648271572,1.0,1.0,low,VISAKHAPATNAM→Visakhapatnam,,0,0,generated
Andhra Pradesh,Ananthapur,ANDHRA_PRADESH__ANANTHAPUR,ANDHRA PRADESH,ANANTHAPUR,TALARI RANGAIAH,AMBICA G LAKSHMINARAYANA VALMIKI,YSRCP,TDP,0.5664878202138708,0.0,2.2408452320111807,3.0002888030502044,-0.5664878202138708,0.7594435710390237,True,,13.09020652195042,,,43.42,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,election_only
Andhra Pradesh,Araku,ANDHRA_PRADESH__ARAKU,ANDHRA PRADESH,ARAKU,GODDETI. MADHAVI,GUMMA THANUJA RANI,YSRCP,YSRCP,1.66276111221753,36.62045008566312,1.6500114467799183,0.0,34.95768897344559,-1.6500114467799183,False,,4.343700217700288,,,30.63,,,100.0,55.489201908605395,38.76488698232371,37.85575517914764,67.93064512123229,,,,40064.6318336178,9.772073622260182,,15.473869478888515,33.47392131658751,27.32845646031769,34.990217970831836,,,,,,-16.306128762199442,1.0,1.0,low,VIZIANAGARAM→Vizianagaram; VISAKHAPATNAM→Visakhapatnam; SRIKAKULAM→Srikakulam,,0,0,generated
Andhra Pradesh,Bapatla,ANDHRA_PRADESH__BAPATLA,ANDHRA PRADESH,BAPATLA,NANDIGAM SURESH,KRISHNA PRASAD TENNETI,YSRCP,TDP,0.8172969114688446,0.0,1.0386958622715343,3.325709497249653,-0.8172969114688446,2.2870136349781185,True,1.2684643882472173,15.993219270494984,14.724754882247767,40.734582489883714,47.48,6.745417510116283,,100.0,23.96958210909088,19.976643024863257,18.509703786000095,29.316156317226387,,,,-11915.4944823817,9.056886378681686,,32.30771270469765,6.085638632882613,12.780151449862869,16.989468767614063,,,,,,0.2395232720427014,1.0,1.0,low,GUNTUR→Guntur; PRAKASAM→Prakasam,,0,0,generated
Andhra Pradesh,Chittoor,ANDHRA_PRADESH__CHITTOOR,ANDHRA PRADESH,CHITTOOR,N. REDDEPPA,DAGGUMALLA PRASADA RAO,YSRCP,TDP,0.7954697030327282,0.0,1.867640995792256,2.1249498716220168,-0.7954697030327282,0.2573088758297608,True,10.403479573647644,15.539198101006647,5.135718527359003,43.84247931214767,47.34,3.4975206878523366,,84.7997903302299,39.199161320919565,23.99895165114944,39.199161320919565,65.20020966977012,,,,35881.995427701375,8.798741981379328,,8.569339471751064,32.51628753835006,19.184900224860613,38.62113388949784,,,,,,-5.073916372741962,1.0,1.0,low,CHITTOOR→Chittoor,,0,0,generated
Andhra Pradesh,Eluru,ANDHRA_PRADESH__ELURU,ANDHRA PRADESH,ELURU,KOTAGIRI SRIDHAR,PUTTA MAHESH KUMAR,YSRCP,TDP,0.6334704647784547,0.0,1.534576929535824,1.5068930262241065,-0.6334704647784547,-0.0276839033117175,True,12.495076898284012,13.158505957458814,0.6634290591748027,42.43449637919684,45.56,3.1255036208031655,,100.0,68.40372417924826,48.560946331245226,63.84239630736901,64.32073112135723,,,,69394.02924532449,17.041376751021208,,8.632675445402413,-3.743753551580894,4.217165707080007,42.7498936908801,,,,,,-50.61609353149586,1.0,1.0,low,WEST GODAVARI→West Godavari; KRISHNA→Krishna,,0,0,generated
Andhra Pradesh,Guntur,ANDHRA_PRADESH__GUNTUR,ANDHRA PRADESH,GUNTUR,Jayadev Galla,DR CHANDRA SEKHAR PEMMASANI,TDP,TDP,0.8761544802193754,0.0,1.0510746044688986,0.0,-0.8761544802193754,-1.0510746044688986,False,0.3111417607737934,24.182826786850583,23.87168502607679,34.45937827314508,48.23,13.77062172685492,,100.0,23.561703476729047,34.48146012291062,12.641946830547475,53.16048670763688,,,,-19993.02461117041,12.641946830547475,,27.17763470531061,7.566434928416783,29.90391183595295,12.641946830547475,,,,,,12.641946830547475,1.0,1.0,low,GUNTUR→Guntur,,0,0,generated
Andhra Pradesh,Hindupur,ANDHRA_PRADESH__HINDUPUR,ANDHRA PRADESH,HINDUPUR,KURUVA GORANTLA MADHAV,B K PARTHASARATHI,YSRCP,TDP,1.031367621108184,0.0,2.0288170314244005,3.887416783693734,-1.031367621108184,1.8585997522693336,True,10.515243023233223,9.349950823919984,-1.1652921993132388,44.77214174467659,43.75,-1.0221417446765884,,100.0,48.29750039691737,40.81541686512535,7.48208353179202,40.81541686512535,,,,-5333.622417383877,22.446250595376057,,24.329914702860393,33.39497980723527,30.12614712004644,4.708047396447055,,,,,,0.4634268212752985,1.0,1.0,low,ANANTAPUR→Anantapur,,0,0,generated
