year,poll_type,source,source_file,source_page,geography_level,state,voter_group_type,voter_group,party_or_alliance,vote_share,confidence,data_origin,approval_status,evidence_text,notes,candidate_id
2019,pre_poll,CSDS-Lokniti National Election Study,pre-poll/2019/prepoll_2019_results.pdf,92,state,Kerala,electorate,all voters,AAP,30.0,high,taxonomy_auto,approved,"NES 2019 Prepoll-Survey findings.docx Q29: If Vidhan Sabha or State elections are held in the Kerala tomorrow, which party will you vote for? N (%) 001: Congress 22 7.2 002: BJP 14 4.7 004: CPI-M 25 8.3 012: AAP 1 .3 016: IUML 2 .7 045: UDF 20 6.8 04",party_marginal_percent,16ef83fe-faea-4771-999d-aeb21d0bfb9b
2019,pre_poll,CSDS-Lokniti National Election Study,pre-poll/2019/prepoll_2019_results.pdf,92,state,Kerala,electorate,all voters,Others,60.1,high,taxonomy_auto,approved,"NES 2019 Prepoll-Survey findings.docx Q29: If Vidhan Sabha or State elections are held in the Kerala tomorrow, which party will you vote for? N (%) 001: Congress 22 7.2 002: BJP 14 4.7 004: CPI-M 25 8.3 012: AAP 1 .3 016: IUML 2 .7 045: UDF 20 6.8 04",party_marginal_percent,c40e085d-5631-4e46-85ea-152ece394a33
2019,post_poll,CSDS-Lokniti National Election Study,post-poll/2019/postpoll_results_2019.pdf,263,state,West Bengal,electorate,all voters,BSP,90.0,high,taxonomy_auto,approved,"All India Postpoll NES 2019-Survey Findings WEST BENGAL WBQ1: If Assembly elections are held in West Bengal tomorrow, which party would you vote for? N (%) 001: INC 46 2.9 002: BJP 457 28.4 004: CPI(M) 44 2.7 005: CPI 4 .3 007: AITC 651 40.4 009: LJP",party_marginal_percent,54faf87d-a804-46b0-bc07-99775ce8c8b0
2019,post_poll,CSDS-Lokniti National Election Study,post-poll/2019/postpoll_results_2019.pdf,183,state,Madhya Pradesh,electorate,all voters,BSP,0.0,high,taxonomy_auto,approved,"All India Postpoll NES 2019-Survey Findings MADHYA PRADESH MPQ1: If Assembly elections are held again in Madhya Pradesh tomorrow for some reason, which party would you vote for? N (%) 001: INC 345 36.1 002: BJP 540 56.6 003: BSP 17 1.8 007: AITC 1 .1",party_marginal_percent,ac3351fd-9935-457d-8780-d9ae5073f37e
2019,pre_poll,CSDS-Lokniti National Election Study,pre-poll/2019/prepoll_2019_results.pdf,116,state,Jharkhand,electorate,all voters,BJP,29.8,high,taxonomy_auto,approved,NES 2019 Prepoll-Survey findings.docx e: RJD N (%) 1: Like a lot 15 4.6 2: Like somewhat 89 28.1 3: Like somewhat 123 38.6 4: Don’t like at all 52 16.5 8: No response 38 12.1 Total 317 100.0 Q29: If Vidhan Sabha or State elections are held in Jharkha,party_marginal_percent,19441cfc-a8bf-48c2-b340-7a6bbfe2d71a
2019,pre_poll,CSDS-Lokniti National Election Study,pre-poll/2019/prepoll_2019_results.pdf,116,state,Jharkhand,electorate,all voters,BSP,1.9,high,taxonomy_auto,approved,NES 2019 Prepoll-Survey findings.docx e: RJD N (%) 1: Like a lot 15 4.6 2: Like somewhat 89 28.1 3: Like somewhat 123 38.6 4: Don’t like at all 52 16.5 8: No response 38 12.1 Total 317 100.0 Q29: If Vidhan Sabha or State elections are held in Jharkha,party_marginal_percent,09129d1e-3d4b-48a1-a850-38c9aec8459e
2019,pre_poll,CSDS-Lokniti National Election Study,pre-poll/2019/prepoll_2019_results.pdf,116,state,Jharkhand,electorate,all voters,Others,12.1,high,taxonomy_auto,approved,NES 2019 Prepoll-Survey findings.docx e: RJD N (%) 1: Like a lot 15 4.6 2: Like somewhat 89 28.1 3: Like somewhat 123 38.6 4: Don’t like at all 52 16.5 8: No response 38 12.1 Total 317 100.0 Q29: If Vidhan Sabha or State elections are held in Jharkha,party_marginal_percent,3ab718f5-4460-4698-a1f5-34b902279524
2019,pre_poll,CSDS-Lokniti National Election Study,pre-poll/2019/prepoll_2019_results.pdf,89,state,Karnataka,electorate,all voters,BJP,45.7,high,taxonomy_auto,approved,NES 2019 Prepoll-Survey findings.docx N (%) 8: No response 4 .8 Total 568 100.0 c: Congress N (%) 1: Like a lot 243 42.9 2: Like somewhat 103 18.2 3: Like somewhat 162 28.5 4: Don’t like at all 57 10.0 8: No response 3 .5 Total 568 100.0 Q29: If Vidh,party_marginal_percent,99a29cff-81a8-4a4b-a07e-05fe6490c721
2019,pre_poll,CSDS-Lokniti National Election Study,pre-poll/2019/prepoll_2019_results.pdf,89,state,Karnataka,electorate,all voters,BSP,2.1,high,taxonomy_auto,approved,NES 2019 Prepoll-Survey findings.docx N (%) 8: No response 4 .8 Total 568 100.0 c: Congress N (%) 1: Like a lot 243 42.9 2: Like somewhat 103 18.2 3: Like somewhat 162 28.5 4: Don’t like at all 57 10.0 8: No response 3 .5 Total 568 100.0 Q29: If Vidh,party_marginal_percent,ebb09a82-1992-40d3-8b89-5c0db242e9b4
2019,pre_poll,CSDS-Lokniti National Election Study,pre-poll/2019/prepoll_2019_results.pdf,89,state,Karnataka,electorate,all voters,TMC,40.0,high,taxonomy_auto,approved,NES 2019 Prepoll-Survey findings.docx N (%) 8: No response 4 .8 Total 568 100.0 c: Congress N (%) 1: Like a lot 243 42.9 2: Like somewhat 103 18.2 3: Like somewhat 162 28.5 4: Don’t like at all 57 10.0 8: No response 3 .5 Total 568 100.0 Q29: If Vidh,party_marginal_percent,51a0c370-9bf9-4804-93ce-c76698099a95
