year,geography_level,state,voter_group_type,voter_group,party_or_alliance,pre_poll_vote_share,post_poll_vote_share,pre_to_post_shift,absolute_shift,shift_direction,notes
2019,national,,caste,,Regional,8.2,9.8,1.6,1.6,increased_post_poll,
2019,national,,caste,,Regional,8.2,2.4,-5.8,5.8,decreased_post_poll,
2019,national,,caste,,Regional,8.2,100.0,91.8,91.8,increased_post_poll,
2019,national,,caste,,Regional,8.2,1.5,-6.7,6.7,decreased_post_poll,
2019,national,,caste,,Regional,8.2,1.6,-6.6,6.6,decreased_post_poll,
2019,national,,caste,,Regional,8.2,2.9,-5.3,5.3,decreased_post_poll,
2019,national,,caste,,Regional,8.2,3.7,-4.5,4.5,decreased_post_poll,
2019,national,,caste,,Regional,8.2,1.9,-6.3,6.3,decreased_post_poll,
2019,national,,caste,,Regional,8.2,2.0,-6.2,6.2,decreased_post_poll,
2019,national,,caste,,Regional,8.2,2.1,-6.1,6.1,decreased_post_poll,
2019,national,,caste,,Regional,8.2,1.8,-6.4,6.4,decreased_post_poll,
2019,national,,caste,,Regional,8.2,1.9,-6.3,6.3,decreased_post_poll,
2019,national,,caste,,Regional,8.2,4.5,-3.7,3.7,decreased_post_poll,
2019,national,,caste,,Regional,8.2,4.1,-4.1,4.1,decreased_post_poll,
2019,national,,caste,,Regional,8.2,4.4,-3.8,3.8,decreased_post_poll,
2019,national,,caste,,Regional,8.2,4.7,-3.5,3.5,decreased_post_poll,
2019,national,,caste,,Regional,8.2,4.3,-3.9,3.9,decreased_post_poll,
2019,national,,caste,,Regional,8.2,4.5,-3.7,3.7,decreased_post_poll,
2019,national,,caste,,Regional,8.2,5.0,-3.2,3.2,decreased_post_poll,
2019,national,,caste,,Regional,8.2,4.2,-4.0,4.0,decreased_post_poll,
2019,national,,caste,,Regional,8.2,4.7,-3.5,3.5,decreased_post_poll,
2019,national,,caste,,Regional,8.2,5.3,-2.9,2.9,decreased_post_poll,
2019,national,,caste,,Regional,8.2,4.6,-3.6,3.6,decreased_post_poll,
