state,constituency,candidate,sex,age,category,party,party_symbol,evm_votes,postal_votes,votes,over_total_electors_in_constituency,over_total_votes_polled_in_constituency,total_electors,year,rank,winner,vote_share,next_votes,margin_votes,swing,sim_vote_share,sim_rank
Andhra Pradesh,Vizianagaram,Bellana Chandra Sekhar,MALE,57.0,GENERAL,YSRCP,Ceiling Fan,573466.0,4952.0,578418.0,38.45915504195535,47.31694906796528,1503980.0,2019,1.0,True,47.493451789570486,530382.0,48036.0,0.0,47.493451789570486,1.0
Arunachal Pradesh,ARUNACHAL EAST,Tapir Gao,MALE,54.0,ST,BJP,Lotus,148567.0,5316.0,153883.0,45.28794424758967,52.03689989483259,339788.0,2019,1.0,True,52.38017434755822,83935.0,69948.0,2.0,54.38017434755822,1.0
Arunachal Pradesh,ARUNACHAL WEST,KIREN RIJIJU,MALE,47.0,ST,BJP,Lotus,216494.0,9302.0,225796.0,48.686539809174704,62.02385955659572,463775.0,2019,1.0,True,63.016940637995035,50953.0,174843.0,2.0,65.01694063799503,1.0
Assam,Autonomous District,HOREN SING BEY,MALE,49.0,ST,BJP,Lotus,380183.0,1133.0,381316.0,47.907330280358565,61.71579877577048,795945.0,2019,1.0,True,61.72808728661967,141690.0,239626.0,2.0,63.72808728661967,1.0
Assam,Barpeta,Abdul Khaleque,MALE,44.0,GENERAL,INC,Hand,643441.0,1732.0,645173.0,38.28581330196915,44.226039341709125,1685149.0,2019,1.0,True,44.233892724893025,504866.0,140307.0,-1.0,43.233892724893025,1.0
Assam,Dhubri,BADRUDDIN AJMAL,MALE,63.0,GENERAL,AIUDF,Lock and Key,718131.0,633.0,718764.0,38.67304147391053,42.65514896223157,1858566.0,2019,1.0,True,42.65649063355895,492506.0,226258.0,0.0,42.65649063355895,1.0
Assam,Dibrugarh,RAMESWAR TELI,MALE,48.0,GENERAL,BJP,Lotus,657983.0,1600.0,659583.0,50.184392069200854,64.92009779604564,1314319.0,2019,1.0,True,64.93569271118427,295017.0,364566.0,2.0,66.93569271118427,1.0
Assam,Gauhati,QUEEN OJA,FEMALE,67.0,GENERAL,BJP,Lotus,1007156.0,1780.0,1008936.0,46.253482411330026,57.19753961280082,2181319.0,2019,1.0,True,57.203798482444014,663330.0,345606.0,2.0,59.203798482444014,1.0
Assam,Jorhat,TOPON KUMAR GOGOI,MALE,50.0,GENERAL,BJP,Lotus,540942.0,2346.0,543288.0,39.80029816085302,51.31070436901456,1365035.0,2019,1.0,True,51.35217138563185,460635.0,82653.0,2.0,53.35217138563185,1.0
Assam,Kaliabor,Gaurav Gogoi,MALE,36.0,GENERAL,INC,Hand,785014.0,1078.0,786092.0,45.309515383258656,55.17228794317779,1734938.0,2019,1.0,True,55.17647034050286,576098.0,209994.0,-1.0,54.17647034050286,1.0
Assam,Karimganj,KRIPANATH MALLAH,MALE,46.0,SC,BJP,Lotus,471946.0,1100.0,473046.0,35.297383248282124,44.578197444306234,1340173.0,2019,1.0,True,44.62395007131591,434657.0,38389.0,2.0,46.62395007131591,1.0
Assam,Kokrajhar,Naba Kumar Sarania,MALE,50.0,ST,IND,Battery Torch,482556.0,2004.0,484560.0,27.27828512045432,32.74620474892955,1776358.0,2019,1.0,True,32.75193732954373,446774.0,37786.0,0.0,32.75193732954373,1.0
Assam,Lakhimpur,PRADAN BARUAH,MALE,53.0,ST,BJP,Lotus,774017.0,2389.0,776406.0,45.45667977936937,60.47011176447681,1708013.0,2019,1.0,True,60.48711854028041,425855.0,350551.0,2.0,62.48711854028041,1.0
Assam,Mangaldoi,DILIP SAIKIA,MALE,45.0,GENERAL,BJP,Lotus,732740.0,2729.0,735469.0,40.854009777601505,48.82233960139908,1800237.0,2019,1.0,True,48.83245347110133,596924.0,138545.0,2.0,50.83245347110133,1.0
Assam,Nowgong,Sri Rupak Sharma,MALE,46.0,GENERAL,BJP,Lotus,720727.0,2245.0,722972.0,40.28489152190291,48.40388210151952,1794648.0,2019,2.0,False,48.40871122717153,10757.0,,2.0,50.40871122717153,1.0
Assam,Silchar,RAJDEEP ROY,MALE,48.0,GENERAL,BJP,Lotus,496235.0,3179.0,499414.0,41.766801592346035,52.53174010455564,1195720.0,2019,1.0,True,52.58672248803827,417818.0,81596.0,2.0,54.58672248803827,1.0
Assam,Tezpur,PALLAB LOCHAN DAS,MALE,41.0,GENERAL,BJP,Lotus,681437.0,2729.0,684166.0,45.62204637249365,57.402014456092665,1499639.0,2019,1.0,True,57.48347331027831,441325.0,242841.0,2.0,59.48347331027831,1.0
Bihar,Araria,PRADEEP KUMAR SINGH,MALE,52.0,GENERAL,BJP,Lotus,618004.0,430.0,618434.0,34.25394045437148,52.869310385803345,1805439.0,2019,1.0,True,52.874327778870246,481193.0,137241.0,2.0,54.874327778870246,1.0
Bihar,Arrah,R. K. Singh,MALE,66.0,GENERAL,BJP,Lotus,560106.0,6374.0,566480.0,27.11269948160986,52.33245632187305,2089353.0,2019,1.0,True,52.41865337138331,419195.0,147285.0,2.0,54.41865337138331,1.0
Bihar,Aurangabad,SUSHIL KUMAR SINGH,MALE,53.0,GENERAL,BJP,Lotus,426116.0,1605.0,427721.0,24.541004760503142,45.7226268321024,1742883.0,2019,1.0,True,45.75040565792528,357169.0,70552.0,2.0,47.75040565792528,1.0
Bihar,Banka,GIRIDHARI YADAV,MALE,58.0,GENERAL,JD(U),Arrow,476948.0,840.0,477788.0,28.11519871201146,47.97742654590002,1699394.0,2019,1.0,True,47.980028238431984,277256.0,200532.0,0.0,47.980028238431984,1.0
Bihar,Begusarai,Giriraj Singh,MALE,66.0,GENERAL,BJP,Lotus,687577.0,4616.0,692193.0,35.345147167406566,56.43630712684763,1958382.0,2019,1.0,True,56.47816487352255,269976.0,422217.0,2.0,58.47816487352255,1.0
Bihar,Bhagalpur,AJAY KUMAR MANDAL,MALE,41.0,GENERAL,JD(U),Arrow,616724.0,1530.0,618254.0,33.89884966718207,59.26616831962208,1823820.0,2019,1.0,True,59.30391609545352,340624.0,277630.0,0.0,59.30391609545352,1.0
Bihar,Buxar,Ashwini Kumar Choubey,MALE,66.0,GENERAL,BJP,Lotus,468690.0,4363.0,473053.0,25.85875051178737,47.93021413185107,1829373.0,2019,1.0,True,47.93511953557796,355444.0,117609.0,2.0,49.93511953557796,1.0
Bihar,Darbhanga,Gopal Jee Thakur,MALE,49.0,GENERAL,BJP,Lotus,585013.0,1655.0,586668.0,35.45226615003163,60.76249857588218,1654811.0,2019,1.0,True,60.7948633983975,318689.0,267979.0,2.0,62.7948633983975,1.0
Bihar,Gaya (SC),Vijay Kumar,MALE,55.0,SC,JD(U),Arrow,465748.0,1259.0,467007.0,27.39693158965526,48.7657337618806,1704596.0,2019,1.0,True,48.78641689509928,314581.0,152426.0,0.0,48.78641689509928,1.0
Bihar,Gopalganj (SC),DR. ALOK KUMAR SUMAN,MALE,61.0,SC,JD(U),Arrow,562424.0,5726.0,568150.0,30.8858752909736,55.37222139922188,1839514.0,2019,1.0,True,55.4359746935239,281716.0,286434.0,0.0,55.4359746935239,1.0
Bihar,Hajipur (SC),PASHU PATI KUMAR PARAS,MALE,66.0,SC,LJP,Bungalow,539665.0,1645.0,541310.0,29.68255117170707,53.718442362654805,1823664.0,2019,1.0,True,53.76448748878892,335861.0,205449.0,0.0,53.76448748878892,1.0
Bihar,Jahanabad,CHANDESHWAR PRASAD,MALE,68.0,GENERAL,JD(U),Arrow,333191.0,2393.0,335584.0,21.12645377203243,40.81373527941593,1588454.0,2019,1.0,True,40.822076113202726,333833.0,1751.0,0.0,40.822076113202726,1.0
Bihar,Jamui (SC),CHIRAG KUMAR PASWAN,MALE,37.0,SC,LJP,Bungalow,527860.0,1274.0,529134.0,30.784831866624312,55.72406617373713,1718814.0,2019,1.0,True,55.748959317780255,288085.0,241049.0,0.0,55.748959317780255,1.0
Bihar,Jhanjharpur,Ramprit Mandal,MALE,63.0,GENERAL,JD(U),Arrow,601597.0,794.0,602391.0,32.51918979365877,56.70144043012413,1852417.0,2019,1.0,True,56.799225316388856,279440.0,322951.0,0.0,56.799225316388856,1.0
Bihar,Karakat,MAHABALI SINGH,MALE,64.0,GENERAL,JD(U),Arrow,396282.0,2126.0,398408.0,22.492990841516804,45.817932576309936,1771254.0,2019,1.0,True,45.85737996634431,313866.0,84542.0,0.0,45.85737996634431,1.0
Bihar,Katihar,DULAL CHANDRA GOSWAMI,MALE,51.0,GENERAL,JD(U),Arrow,558984.0,439.0,559423.0,33.835666067681856,50.02490411691433,1653353.0,2019,1.0,True,50.049743498900455,502220.0,57203.0,0.0,50.049743498900455,1.0
Bihar,Khagaria,Choudhary Mehboob Ali Kaiser,MALE,52.0,GENERAL,LJP,Bungalow,509138.0,1055.0,510193.0,30.432866037481492,52.73797796386438,1676454.0,2019,1.0,True,52.77059783019054,261623.0,248570.0,0.0,52.77059783019054,1.0
Bihar,Kishanganj,Dr. Mohammad Jawed,MALE,54.0,GENERAL,INC,Hand,366820.0,197.0,367017.0,22.114107122521546,33.315027558511915,1659651.0,2019,1.0,True,33.31663040133333,332551.0,34466.0,-1.0,32.31663040133333,1.0
Bihar,Madhepura,Dinesh Chandra Yadav,MALE,67.0,GENERAL,JD(U),Arrow,623460.0,874.0,624334.0,33.12322303294157,54.40098566464398,1884883.0,2019,1.0,True,54.41890951943476,322807.0,301527.0,0.0,54.41890951943476,1.0
Bihar,Madhubani,ASHOK KUMAR YADAV,MALE,49.0,GENERAL,BJP,Lotus,594811.0,1032.0,595843.0,33.23536728621964,61.76420588241391,1792798.0,2019,1.0,True,61.82816786827545,140903.0,454940.0,2.0,63.82816786827545,1.0
Bihar,Maharajganj,"Janardan Singh 'Sigriwal""",MALE,55.0,GENERAL,BJP,Lotus,543523.0,2829.0,546352.0,30.222462174349808,56.15191949754828,1807768.0,2019,1.0,True,56.1684296234308,315580.0,230772.0,2.0,58.1684296234308,1.0
Bihar,Munger,RAJIV RANJAN SINGH ALIAS LALAN SINGH,MALE,65.0,GENERAL,JD(U),Arrow,525519.0,3243.0,528762.0,28.006091021040508,51.01708635609745,1888025.0,2019,1.0,True,51.02560341533271,360825.0,167937.0,0.0,51.02560341533271,1.0
Bihar,Muzaffarpur,Ajay Nishad,MALE,50.0,GENERAL,BJP,Lotus,664074.0,2804.0,666878.0,38.53554326276052,63.00175624724258,1730553.0,2019,1.0,True,63.02682390656336,256890.0,409988.0,2.0,65.02682390656335,1.0
Bihar,Nalanda,Kaushlendra Kumar,MALE,60.0,GENERAL,JD(U),Arrow,539183.0,1705.0,540888.0,25.576210428459493,52.418027782461806,2114809.0,2019,1.0,True,52.4479145455286,284751.0,256137.0,0.0,52.4479145455286,1.0
Bihar,Nawada,Chandan Singh,MALE,36.0,GENERAL,LJP,Bungalow,491956.0,3728.0,495684.0,26.092105948844768,52.47049035081312,1899747.0,2019,1.0,True,52.59458736797876,347612.0,148072.0,0.0,52.59458736797876,1.0
Bihar,Paschim Champaran,DR. SANJAY JAISWAL,MALE,54.0,GENERAL,BJP,Lotus,600735.0,2971.0,603706.0,36.95049160741916,59.57391799465744,1633824.0,2019,1.0,True,59.599619324419315,309800.0,293906.0,2.0,61.599619324419315,1.0
Bihar,Pataliputra,RAM KRIPAL YADAV,MALE,58.0,GENERAL,BJP,Lotus,506557.0,3000.0,509557.0,26.46390846121926,47.23329152797205,1925479.0,2019,1.0,True,47.27974695406815,470236.0,39321.0,2.0,49.27974695406815,1.0
Bihar,Patna Sahib,RAVI SHANKAR PRASAD,MALE,64.0,GENERAL,BJP,Lotus,604956.0,2550.0,607506.0,28.308654953755997,61.80505606146465,2146008.0,2019,1.0,True,61.84620553098134,322849.0,284657.0,2.0,63.84620553098134,1.0
Bihar,Purnia,SANTOSH KUMAR,MALE,43.0,GENERAL,JD(U),Arrow,632435.0,489.0,632924.0,35.853378892796286,54.84662332136615,1765312.0,2019,1.0,True,54.84895228521414,369463.0,263461.0,0.0,54.84895228521414,1.0
Bihar,Purvi Champaran,RADHA MOHAN SINGH,MALE,69.0,GENERAL,BJP,Lotus,574081.0,3706.0,577787.0,34.834313233719506,57.77090092837467,1658672.0,2019,1.0,True,57.81338803281969,284139.0,293648.0,2.0,59.81338803281969,1.0
Bihar,Samastipur (SC),Ramchandra Paswan,MALE,58.0,SC,LJP,Bungalow,561460.0,983.0,562443.0,33.49809115977678,55.15385316899578,1679030.0,2019,1.0,True,55.19422977846471,310800.0,251643.0,0.0,55.19422977846471,1.0
Bihar,Saran,Rajiv Pratap Rudy,MALE,58.0,GENERAL,BJP,Lotus,496992.0,2994.0,499986.0,29.98861000699954,52.98622849361233,1667253.0,2019,1.0,True,53.01966024050391,361575.0,138411.0,2.0,55.01966024050391,1.0
Bihar,Sasaram (SC),CHHEDI PASWAN,MALE,63.0,SC,BJP,Lotus,492364.0,2436.0,494800.0,27.67526643316826,50.71870288044921,1787878.0,2019,1.0,True,50.761785854614885,329055.0,165745.0,2.0,52.761785854614885,1.0
Bihar,Sheohar,RAMA DEVI,FEMALE,69.0,GENERAL,BJP,Lotus,606581.0,2097.0,608678.0,36.097294828951235,60.569374690897945,1686215.0,2019,1.0,True,60.59156306399126,268318.0,340360.0,2.0,62.59156306399126,1.0
Bihar,Sitamarhi,Sunil Kumar Pintu,MALE,58.0,GENERAL,JD(U),Arrow,565533.0,2212.0,567745.0,32.39714138003052,54.611869949980765,1752454.0,2019,1.0,True,54.65134971492488,317206.0,250539.0,0.0,54.65134971492488,1.0
Bihar,Siwan,Kavita Singh,FEMALE,33.0,GENERAL,JD(U),Arrow,447171.0,1302.0,448473.0,24.921383167245608,45.537188404325526,1799551.0,2019,1.0,True,45.53903798702288,331515.0,116958.0,0.0,45.53903798702288,1.0
Bihar,Supaul,Dileshwar Kamait,MALE,73.0,GENERAL,JD(U),Arrow,596807.0,570.0,597377.0,35.33478842081603,53.7695005202539,1690620.0,2019,1.0,True,53.778746044535275,330524.0,266853.0,0.0,53.778746044535275,1.0
Bihar,Ujiarpur,Nityanand Rai,MALE,53.0,GENERAL,BJP,Lotus,542341.0,1565.0,543906.0,33.73478881101532,56.08076200531622,1612300.0,2019,1.0,True,56.11420388658019,266628.0,277278.0,2.0,58.11420388658019,1.0
Bihar,Vaishali,Veena Devi (W/o Dinesh Prasad Singh),FEMALE,48.0,GENERAL,LJP,Bungalow,566707.0,1508.0,568215.0,32.73159933017777,52.869455343609815,1735983.0,2019,1.0,True,52.870488401738115,333631.0,234584.0,0.0,52.870488401738115,1.0
Bihar,Valmiki Nagar,BAIDYANATH PRASAD MAHTO,MALE,62.0,GENERAL,JD(U),Arrow,601227.0,1433.0,602660.0,36.18488599833564,58.38421826122253,1665502.0,2019,1.0,True,58.39219447916364,248044.0,354616.0,0.0,58.39219447916364,1.0
Chandigarh,CHANDIGARH,KIRRON KHER,FEMALE,66.0,GENERAL,BJP,Lotus,230967.0,221.0,231188.0,35.747275906910005,50.628398487201,646729.0,2019,1.0,True,50.636049832664575,184218.0,46970.0,2.0,52.636049832664575,1.0
Chhattisgarh,BASTAR,DEEPAK BAIJ,MALE,38.0,ST,INC,Hand,401539.0,988.0,402527.0,29.18719301120568,44.051672154972685,1379122.0,2019,1.0,True,44.09582777379755,363545.0,38982.0,-1.0,43.09582777379755,1.0
Chhattisgarh,BILASPUR,ARUN SAO,MALE,51.0,GENERAL,BJP,Lotus,633268.0,1291.0,634559.0,33.807932324357616,52.43158293954775,1876953.0,2019,1.0,True,52.46743518042324,492796.0,141763.0,2.0,54.46743518042324,1.0
Chhattisgarh,DURG,VIJAY BAGHEL,MALE,59.0,GENERAL,BJP,Lotus,847445.0,1929.0,849374.0,43.77609496415188,60.98674607009741,1940269.0,2019,1.0,True,61.018422466731224,457396.0,391978.0,2.0,63.018422466731224,1.0
Chhattisgarh,JANJGIR-CHAMPA,GUHARAM AJGALLEY,MALE,52.0,SC,BJP,Lotus,570486.0,2304.0,572790.0,30.192384934327254,45.87920933876076,1897134.0,2019,1.0,True,45.90950987857171,489535.0,83255.0,2.0,47.90950987857171,1.0
Chhattisgarh,KANKER,MOHAN MANDAVI,MALE,61.0,ST,BJP,Lotus,543376.0,2857.0,546233.0,35.038474564964154,47.07918944565923,1558952.0,2019,1.0,True,47.12183389651249,539319.0,6914.0,2.0,49.12183389651249,1.0
Chhattisgarh,KORBA,JYOTI NAND DUBEY,MALE,52.0,GENERAL,BJP,Lotus,495960.0,1101.0,497061.0,32.94325442061451,43.700628526062864,1508840.0,2019,2.0,False,43.72061644660978,37417.0,,2.0,45.72061644660978,1.0
Chhattisgarh,MAHASAMUND,CHUNNI LAL SAHU,MALE,51.0,GENERAL,BJP,Lotus,614924.0,1656.0,616580.0,37.64337272604614,50.424978757195774,1637951.0,2019,1.0,True,50.44280005072259,526069.0,90511.0,2.0,52.44280005072259,1.0
Chhattisgarh,RAIGARH,GOMATI SAI,FEMALE,43.0,ST,BJP,Lotus,656939.0,1396.0,658335.0,37.970533018419026,48.73880336792916,1733805.0,2019,1.0,True,48.76107676035682,592308.0,66027.0,2.0,50.76107676035682,1.0
Chhattisgarh,RAIPUR,Sunil Kumar Soni,MALE,57.0,GENERAL,BJP,Lotus,836211.0,1691.0,837902.0,39.678312366401514,59.97257258031038,2111738.0,2019,1.0,True,60.01088630259625,489664.0,348238.0,2.0,62.01088630259625,1.0
Chhattisgarh,RAJNANDGAON,SANTOSH PANDEY,MALE,51.0,GENERAL,BJP,Lotus,660956.0,1431.0,662387.0,38.59031879002062,50.64593180709516,1716459.0,2019,1.0,True,50.6786745246677,550421.0,111966.0,2.0,52.6786745246677,1.0
Chhattisgarh,SARGUJA,Renuka Singh Saruta,FEMALE,55.0,ST,BJP,Lotus,662428.0,1283.0,663711.0,40.097593157241946,51.80320882661471,1655239.0,2019,1.0,True,51.82452570452312,505838.0,157873.0,2.0,53.82452570452312,1.0
Dadra & Nagar Haveli,Dadra And Nagar Haveli,DELKAR MOHANBHAI SANJIBHAI,MALE,56.0,ST,IND,Batsman,90399.0,22.0,90421.0,36.164204952225546,45.44134201744864,250029.0,2019,1.0,True,45.44157038540981,81420.0,9001.0,0.0,45.44157038540981,1.0
Daman & Diu,Daman & diu,LALUBHAI BABUBHAI PATEL,MALE,63.0,GENERAL,BJP,Lotus,37586.0,11.0,37597.0,30.88302940693281,42.98126278966081,121740.0,2019,1.0,True,42.983228343756075,27655.0,9942.0,2.0,44.983228343756075,1.0
Goa,North Goa,SHRIPAD YESSO NAIK,MALE,66.0,GENERAL,BJP,Lotus,244034.0,810.0,244844.0,43.97649979075402,57.072395257875186,556761.0,2019,1.0,True,57.12272646677305,164597.0,80247.0,2.0,59.12272646677305,1.0
Goa,South Goa,ADV. NARENDRA SAWAIKAR,MALE,52.0,GENERAL,BJP,Lotus,191205.0,601.0,191806.0,33.10698849749375,45.1607890411991,579352.0,2019,2.0,False,45.17599952894071,20891.0,,2.0,47.17599952894071,1.0
Gujarat,Ahmedabad East,Patel Hasmukhbhai Somabhai,MALE,58.0,GENERAL,BJP,Lotus,745810.0,4024.0,749834.0,41.38497039767619,67.00546170728394,1811851.0,2019,1.0,True,67.16733833945288,315504.0,434330.0,2.0,69.16733833945288,1.0
Gujarat,Ahmedabad West,DR. KIRIT P. SOLANKI,MALE,69.0,SC,BJP,Lotus,638241.0,3381.0,641622.0,39.044323158587176,64.21145018228982,1643317.0,2019,1.0,True,64.3537166607825,320076.0,321546.0,2.0,66.3537166607825,1.0
Gujarat,Amreli,Kachhadiya Naranbhai Bhikhabhai,MALE,64.0,GENERAL,BJP,Lotus,527593.0,1442.0,529035.0,32.48700759187719,58.043673603286216,1628451.0,2019,1.0,True,58.18897958240895,327604.0,201431.0,2.0,60.18897958240895,1.0
Gujarat,Anand,PATEL MITESH RAMESHBHAI (BAKABHAI),MALE,54.0,GENERAL,BJP,Lotus,631581.0,1516.0,633097.0,38.233496590915955,57.03144987226192,1655870.0,2019,1.0,True,57.104651466949775,435379.0,197718.0,2.0,59.104651466949775,1.0
Gujarat,Banaskantha,PARBATBHAI SAVABHAI PATEL,MALE,70.0,GENERAL,BJP,Lotus,675650.0,3458.0,679108.0,40.009096350619544,61.52795180744724,1697384.0,2019,1.0,True,61.620516096366785,310812.0,368296.0,2.0,63.620516096366785,1.0
Gujarat,Bardoli,PARBHUBHAI NAGARBHAI VASAVA,MALE,49.0,ST,BJP,Lotus,740448.0,1825.0,742273.0,40.638512673786195,54.99764752953554,1826526.0,2019,1.0,True,55.063210384277006,526826.0,215447.0,2.0,57.063210384277006,1.0
Gujarat,Bharuch,Mansukhbhai Dhanjibhai Vasava,MALE,61.0,ST,BJP,Lotus,635374.0,2421.0,637795.0,40.76620354243061,55.42871991503991,1564519.0,2019,1.0,True,55.473700232664335,303581.0,334214.0,2.0,57.473700232664335,1.0
Gujarat,Bhavnagar,DR.BHARATIBEN DHIRUBHAI SHIYAL,FEMALE,55.0,GENERAL,BJP,Lotus,655272.0,6001.0,661273.0,37.396036977951105,63.32564673705904,1768297.0,2019,1.0,True,63.50584233428312,331754.0,329519.0,2.0,65.50584233428313,1.0
Gujarat,Chhota Udaipur,RATHVA GITABEN VAJESINGBHAI,FEMALE,47.0,ST,BJP,Lotus,761472.0,2973.0,764445.0,45.74083038295219,61.89562408151864,1671253.0,2019,1.0,True,62.02599843077944,386502.0,377943.0,2.0,64.02599843077944,1.0
Gujarat,Dahod,JASHVANTSINH SUMANBHAI BHABHOR,MALE,52.0,ST,BJP,Lotus,558977.0,2783.0,561760.0,35.133297768082464,52.777597706106114,1598939.0,2019,1.0,True,52.836122993344695,434164.0,127596.0,2.0,54.836122993344695,1.0
Gujarat,Gandhinagar,AMIT SHAH,MALE,54.0,GENERAL,BJP,Lotus,889925.0,4699.0,894624.0,45.97784324165421,69.57582130086031,1945772.0,2019,1.0,True,69.66988295212953,337610.0,557014.0,2.0,71.66988295212953,1.0
Gujarat,Jamnagar,POONAMBEN HEMATBHAI MAADAM,FEMALE,44.0,GENERAL,BJP,Lotus,587501.0,4087.0,591588.0,35.69877731017894,58.48915763424552,1657166.0,2019,1.0,True,58.5171593477519,354784.0,236804.0,2.0,60.5171593477519,1.0
Gujarat,Junagadh,CHUDASAMA RAJESHBHAI NARANBHAI,MALE,36.0,GENERAL,BJP,Lotus,543429.0,4315.0,547744.0,33.34079996883491,54.38003597907971,1642864.0,2019,1.0,True,54.51583141161471,397533.0,150211.0,2.0,56.51583141161471,1.0
Gujarat,Kachchh,CHAVDA VINOD LAKHAMSHI,MALE,40.0,SC,BJP,Lotus,631753.0,5281.0,637034.0,36.52045695717703,62.20111858396019,1744321.0,2019,1.0,True,62.25911309443529,331521.0,305513.0,2.0,64.25911309443529,1.0
Gujarat,Kheda,Chauhan Devusinh,MALE,54.0,GENERAL,BJP,Lotus,711757.0,2815.0,714572.0,39.60980649967739,64.89189255457589,1804028.0,2019,1.0,True,65.04192027729006,347427.0,367145.0,2.0,67.04192027729006,1.0
Gujarat,Mahesana,SHARDABEN ANILBHAI PATEL,FEMALE,71.0,GENERAL,BJP,Lotus,656686.0,2839.0,659525.0,39.998629363521296,60.80381532935611,1648869.0,2019,1.0,True,60.95774434394578,378006.0,281519.0,2.0,62.95774434394578,1.0
Gujarat,Navsari,C. R. Patil,MALE,64.0,GENERAL,BJP,Lotus,969430.0,3309.0,972739.0,49.336091756278215,74.29821666987463,1971658.0,2019,1.0,True,74.36740167184243,283071.0,689668.0,2.0,76.36740167184243,1.0
Gujarat,Panchmahal,Ratansinh Magansinh Rathod,MALE,59.0,GENERAL,BJP,Lotus,727301.0,4835.0,732136.0,41.961940940942085,67.43334825433493,1744762.0,2019,1.0,True,67.56041473650795,303595.0,428541.0,2.0,69.56041473650795,1.0
Gujarat,Patan,DABHI BHARATSINHJI SHANKARJI,MALE,64.0,GENERAL,BJP,Lotus,629813.0,3555.0,633368.0,35.0499683737465,56.12889561217174,1807043.0,2019,1.0,True,56.23659274623176,439489.0,193879.0,2.0,58.23659274623176,1.0
Gujarat,Porbandar,RAMESHBHAI LAVJIBHAI DHADUK,MALE,57.0,GENERAL,BJP,Lotus,560011.0,3870.0,563881.0,33.92034735991068,59.28681000139837,1662368.0,2019,1.0,True,59.359206355723,334058.0,229823.0,2.0,61.359206355723,1.0
Gujarat,Rajkot,KUNDARIA MOHANBHAI KALYANJIBHAI,MALE,67.0,GENERAL,BJP,Lotus,755296.0,3349.0,758645.0,40.26053698405648,63.41594917662794,1884339.0,2019,1.0,True,63.470543500176944,390238.0,368407.0,2.0,65.47054350017694,1.0
