state,constituency,winning_party,alliance_2019,winner_vote_share,margin_votes,party_type,ideology,effective_num_parties,top2_margin_pct
Andaman & Nicobar Islands,Andaman & Nicobar Islands,INC,INDIA,45.976767520839765,1407.0,national,centre-left,2.3937623009991134,0.6787395801173162
Andhra Pradesh,Amalapuram,YSRCP,OTHER,39.41600866253817,39795.0,regional,regional_centre,3.034662427987764,3.2277687880963057
Andhra Pradesh,Anakapalli,YSRCP,OTHER,47.33389261609491,89192.0,regional,regional_centre,2.5604097280255473,7.201667190153174
Andhra Pradesh,Anantapur,YSRCP,OTHER,51.79206529658662,141428.0,regional,regional_centre,2.2758846136977287,10.53619666454594
Andhra Pradesh,Aruku,YSRCP,OTHER,52.31922928737745,224089.0,regional,regional_centre,2.6504089868397327,20.854450936123236
Andhra Pradesh,Bapatla,YSRCP,OTHER,47.23732956860367,16065.0,regional,regional_centre,2.2942678412239346,1.2684643882472173
Andhra Pradesh,Chittoor,YSRCP,OTHER,52.0505171765676,137271.0,regional,regional_centre,2.2458258261393715,10.403479573647644
Andhra Pradesh,Eluru,YSRCP,OTHER,50.96748832575383,165925.0,regional,regional_centre,2.4287064839654455,12.495076898284012
Andhra Pradesh,Guntur,TDP,NDA,43.501983759953944,4205.0,regional,regional_centre,2.5963609167215984,0.3111417607737934
Andhra Pradesh,Hindupur,YSRCP,OTHER,52.790034321643255,140748.0,regional,regional_centre,2.1829817792055275,10.515243023233225
Andhra Pradesh,Kadapa,YSRCP,OTHER,63.79027911437648,380726.0,regional,regional_centre,1.9429250387170651,30.99763727343634
Andhra Pradesh,Kakinada,YSRCP,OTHER,43.54495790321992,25738.0,regional,regional_centre,2.6782300673140798,2.0846309292879255
Andhra Pradesh,Kurnool,YSRCP,OTHER,50.95079048107129,149067.0,regional,regional_centre,2.445411713145113,12.544274429513088
Andhra Pradesh,Machilipatnam,YSRCP,OTHER,46.02794539479499,60238.0,regional,regional_centre,2.563519821632499,4.840065243417406
Andhra Pradesh,Nandyal,YSRCP,OTHER,55.491639166710925,250119.0,regional,regional_centre,2.2703868313133824,19.25335599529825
Andhra Pradesh,Narasaraopet,YSRCP,OTHER,51.867721334056846,154002.0,regional,regional_centre,2.273189179830925,10.713778853779687
Andhra Pradesh,Narsapuram,YSRCP,OTHER,38.14379768675206,32676.0,regional,regional_centre,3.1610989058576275,2.774471062324551
Andhra Pradesh,Nellore,YSRCP,OTHER,53.132157919436594,148571.0,regional,regional_centre,2.193857697635335,11.543655344528048
Andhra Pradesh,Ongole,YSRCP,OTHER,55.06701590025984,214851.0,regional,regional_centre,2.1899629972849297,16.005372595294283
Andhra Pradesh,Rajahmundry,YSRCP,OTHER,46.546019879609126,121634.0,regional,regional_centre,2.7162051685585182,9.727397121143419
Andhra Pradesh,Rajampet,YSRCP,OTHER,57.353592180039435,268284.0,regional,regional_centre,2.193237264151901,21.9122900729691
Andhra Pradesh,Srikakulam,TDP,NDA,46.18773054161781,6653.0,regional,regional_centre,2.3647536786097723,0.574858143190049
Andhra Pradesh,Tirupati,YSRCP,OTHER,55.03378339798175,228376.0,regional,regional_centre,2.243480456321802,17.38663052953335
Andhra Pradesh,Vijayawada,TDP,NDA,45.041327812001306,8726.0,regional,regional_centre,2.4743203798404383,0.6829400388663771
Andhra Pradesh,Visakhapatnam,YSRCP,OTHER,35.24134626708202,4414.0,regional,regional_centre,3.319221848356624,0.3560383753551122
Andhra Pradesh,Vizianagaram,YSRCP,OTHER,47.493451789570486,48036.0,regional,regional_centre,2.3989063788851928,3.944198572941737
Arunachal Pradesh,ARUNACHAL EAST,BJP,NDA,52.38017434755822,69948.0,national,centre-right,2.7252925167401463,23.80957243661095
Arunachal Pradesh,ARUNACHAL WEST,BJP,NDA,63.016940637995035,174843.0,national,centre-right,2.281274746445545,48.79657280008931
Assam,Autonomous District,BJP,NDA,61.72808728661967,239626.0,national,centre-right,2.263655409236053,38.79106736707488
Assam,Barpeta,INC,INDIA,44.233892724893025,140307.0,national,centre-left,2.899928096273954,9.61962882289179
Assam,Dhubri,AIUDF,OTHER,42.65649063355895,226258.0,unknown,unknown,3.087818108961827,13.427734635802274
Assam,Dibrugarh,BJP,NDA,64.93569271118427,364566.0,national,centre-right,1.9734041964702402,35.89138250825993
