party,candidate_count
mimm,1
HAMS,1
YBS,1
JNSKJNDL,1
RJnJnP,1
SSD,1
LSNP,1
RSHTLKM,1
RSWD,1
BhAmAP,1
BHJJP,1
RJKPS,1
YKP,1
TAGRNP,1
SANKISVP,1
pms,1
SaBP,1
SMJWDLKPRS,1
BJNJGD,1
HVD,1
RACHEP,1
AJD,1
HMSP,1
AKNDBHRJNP,1
SAAFP,1
JKiP,1
BED,1
BHAGP,1
PBLBRP,1
JHP,1
BhNP,1
JRVP,1
HJPS,1
BHAJASP,1
bhmm,1
AASPP,1
DS,1
NSBHP,1
CoAP,1
SRKRP,1
ABTP,1
YIPP,1
GJRTLKTNTP,1
APKAWZP,1
STHSHKRVP,1
RPWP,1
HNDSWRJD,1
BJNP,1
AKLVJYP,1
DHBHP,1
AMJNMTP,1
MAIIJP,1
STWDRKSKP,1
JaSD,1
ABD,1
AVIRP,1
RVP,1
BLNDBHRTP,1
ABKMP,1
SWSSP,1
JSKP,1
SMSSMJP,1
RJP(E),1
RJAVP,1
GRBDMCTP,1
NYP,1
RJUP,1
ABMVMP,1
AMB,1
NPM,1
RJANSWP,1
ABUAJP,1
BHRTJNTM,1
SBKP,1
JMM(U),1
RTBHP,1
DPRMP,1
KCVP,1
VTIPP,1
KKMP,1
DrAPP,1
KPPR,1
DIGVBHP,1
BBKD,1
RPIB,1
SDC,1
BTJSP,1
KP,1
PSS,1
KEC,1
KEC(M),1
SWJP,1
NWLBRP,1
MPJVP,1
SWTNKSP,1
CSBGP,1
MSMDNP,1
KRJAP,1
ABASP,1
ANSP,1
RJnPty,1
AaSamP,1
RTJAWP,1
SMARTIP,1
SamSP,1
NWLP,1
LSMP,1
SJSMP,1
BSaP,1
AKNDBRTSMR,1
RSTHNDEKD,1
PSPU,1
MANBP,1
ABHKP,1
BHJMP,1
APKGNTRP,1
ANRP,1
RTJNMS,1
rpsn,1
PUNP,1
AINRS,1
ABMP,1
WPOI,1
KMGRKSNP,1
BLKSKTIP,1
LKRJJNTP,1
ABHRTJNSVP,1
RSSDP,1
RSHTBHUP,1
BPS,1
BMAP,1
ABML(S),1
BJVA,1
RJSNP,1
BAAP,1
AimPP,1
KNBHJSWP,1
BHRASP,1
ASGP,1
BVA,1
