state,constituency,actual_winner,actual_party,actual_vote_share,actual_margin_votes,sim_winner,sim_party,sim_vote_share,flipped
Maharashtra,Amravati,BALWANT BASWANT WANKHADE,INC,44.8432529893599,19731.0,BALWANT BASWANT WANKHADE,INC,46.07362109483407,False
Bihar,Araria,PRADEEP KUMAR SINGH,BJP,47.91355304336719,20094.0,PRADEEP KUMAR SINGH,BJP,47.913553043367195,False
Kerala,Alathur,K.RADHAKRISHNAN,CPI(M),40.659075975442114,20111.0,K.RADHAKRISHNAN,CPI(M),40.65907597544211,False
Punjab,Ludhiana,AMRINDER SINGH RAJA WARRING,INC,30.422685210974382,20942.0,AMRINDER SINGH RAJA WARRING,INC,30.422685210974382,False
Uttar Pradesh,Kanpur,RAMESH AWASTHI,BJP,49.92754080478163,20968.0,RAMESH AWASTHI,BJP,48.905653882430215,False
Tamil Nadu,DHARMAPURI,MANI. A.,DMK,34.67349771443592,21300.0,MANI. A.,DMK,34.67349771443592,False
Odisha,Kandhamal,SUKANTA KUMAR PANIGRAHI,BJP,41.80491541435472,21371.0,SUKANTA KUMAR PANIGRAHI,BJP,41.80491541435471,False
Uttar Pradesh,Chandauli,BIRENDRA SINGH,SP,42.4967689178405,21565.0,BIRENDRA SINGH,SP,44.4967689178405,False
Haryana,SONIPAT,SATPAL BRAHAMCHARI,INC,48.81755674659947,21816.0,SATPAL BRAHAMCHARI,INC,48.81755674659948,False
Jharkhand,Dumka,NALIN SOREN,JMM,46.22542081457135,22527.0,NALIN SOREN,JMM,46.22542081457135,False
Bihar,Purnia,RAJESH RANJAN ALIAS PAPPU YADAV,IND,47.46070557698162,23847.0,RAJESH RANJAN ALIAS PAPPU YADAV,IND,47.46070557698161,False
Andaman & Nicobar Islands,Andaman & Nicobar Islands,BISHNU PADA RAY,BJP,50.58218197260437,24396.0,BISHNU PADA RAY,BJP,50.58218197260436,False
Uttar Pradesh,Muzaffarnagar,HARENDRA SINGH MALIK,SP,43.639058877190315,24672.0,HARENDRA SINGH MALIK,SP,45.639058877190315,False
Karnataka,Davanagere,DR. PRABHA MALLIKARJUN,INC,47.94564848587666,26094.0,DR. PRABHA MALLIKARJUN,INC,47.94564848587666,False
West Bengal,Medinipur,JUNE MALIAH,AITC,47.3953520707523,27191.0,JUNE MALIAH,AITC,47.39535207075232,False
Karnataka,Gulbarga,RADHAKRISHNA,INC,49.77737114043207,27205.0,RADHAKRISHNA,INC,49.77737114043207,False
Ladakh,Ladakh,MOHMAD HANEEFA,IND,48.15309465482129,27862.0,MOHMAD HANEEFA,IND,48.15309465482129,False
Uttar Pradesh,Etah,DEVESH SHAKYA,SP,47.091938585543474,28052.0,DEVESH SHAKYA,SP,49.091938585543474,False
Uttar Pradesh,Amroha,KANWAR SINGH TANWAR,BJP,42.90179978211742,28670.0,KANWAR SINGH TANWAR,BJP,41.736530389915735,False
Maharashtra,Ahmednagar,NILESH DNYANDEV LANKE,NCPSP,47.13752105845669,28929.0,NILESH DNYANDEV LANKE,NCPSP,47.855351328382426,False
Haryana,KURUKSHETRA,NAVEEN JINDAL,BJP,44.96123966722836,29021.0,NAVEEN JINDAL,BJP,44.96123966722836,False
Tamil Nadu,NAMAKKAL,MATHESWARAN V S,DMK,40.30662050086234,29112.0,MATHESWARAN V S,DMK,40.306620500862344,False
Bihar,Sheohar,LOVELY ANAND,JD(U),45.15072915739076,29143.0,LOVELY ANAND,JD(U),45.15072915739076,False
Maharashtra,Buldhana,JADHAV PRATAPRAO GANPATRAO,SHS,31.53386762998695,29479.0,JADHAV PRATAPRAO GANPATRAO,SHS,31.376982716404928,False
Maharashtra,Mumbai North East,SANJAY DINA PATIL,SHSUBT,48.67264851819111,29861.0,SANJAY DINA PATIL,SHSUBT,49.66934193756678,False
Bihar,Buxar,SUDHAKAR SINGH,RJD,40.823406369585726,30091.0,SUDHAKAR SINGH,RJD,40.82340636958573,False
Gujarat,Banaskantha,GENIBEN NAGAJI THAKOR,INC,48.83214877792984,30406.0,GENIBEN NAGAJI THAKOR,INC,48.83214877792984,False
Arunachal Pradesh,Arunachal East,TAPIR GAO,BJP,45.00978534084831,30421.0,TAPIR GAO,BJP,45.0097853408483,False
Gujarat,Patan,DABHI BHARATSINHJI SHANKARJI,BJP,49.613158721843895,31876.0,DABHI BHARATSINHJI SHANKARJI,BJP,49.61315872184389,False
Karnataka,Bangalore central,P C MOHAN,BJP,50.05013254741704,32707.0,P C MOHAN,BJP,50.05013254741705,False
Maharashtra,Satara,SHRIMANT CHH UDAYANRAJE PRATAPSINHAMAHARAJ BHONSLE,BJP,47.673797416369226,32771.0,SHRIMANT CHH UDAYANRAJE PRATAPSINHAMAHARAJ BHONSLE,BJP,46.87695169174541,False
West Bengal,Bankura,ARUP CHAKRABORTY,AITC,44.33408350222495,32778.0,ARUP CHAKRABORTY,AITC,44.33408350222495,False
Uttar Pradesh,Fatehpur,NARESH CHANDRA UTTAM PATEL,SP,45.19903445883441,33199.0,NARESH CHANDRA UTTAM PATEL,SP,47.19903445883441,False
Punjab,Fatehgarh Sahib,AMAR SINGH,INC,34.13794731569526,34202.0,AMAR SINGH,INC,34.13794731569526,False
Uttar Pradesh,Kheri,UTKARSH VERMA 'MADHUR',SP,45.93570410735816,34329.0,UTKARSH VERMA 'MADHUR',SP,47.93570410735816,False
Uttar Pradesh,Deoria,SHASHANK MANI,BJP,48.359736530343866,34842.0,SHASHANK MANI,BJP,47.30585360239171,False
Uttar Pradesh,Badaun,ADITYA YADAV,SP,45.9673519185465,34991.0,ADITYA YADAV,SP,47.967351918546505,False
Odisha,Bhubaneswar,APARAJITA SARANGI,BJP,47.35833452687312,35152.0,APARAJITA SARANGI,BJP,47.35833452687313,False
Uttar Pradesh,Maharajganj,PANKAJ CHAUDHARY,BJP,48.85038716974087,35451.0,PANKAJ CHAUDHARY,BJP,47.806517520143736,False
Uttar Pradesh,Machhlishahr,PRIYA SAROJ,SP,42.57218674739143,35850.0,PRIYA SAROJ,SP,44.57218674739143,False
Maharashtra,Bhandara Gondiya,DR. PRASHANT YADAORAO PADOLE,INC,47.56099437037325,37380.0,DR. PRASHANT YADAORAO PADOLE,INC,48.805019467711816,False
Uttar Pradesh,Bijnor,CHANDAN CHAUHAN,RLD,39.48461196057913,37508.0,CHANDAN CHAUHAN,RLD,38.71040388292072,False
Uttar Pradesh,Mirzapur,ANUPRIYA PATEL,ADAL,42.66590073321543,37810.0,ANUPRIYA PATEL,ADAL,41.82931444432885,False
Telangana,Medak,MADHAVANENI RAGHUNANDAN RAO,BJP,33.992478930400885,39139.0,MADHAVANENI RAGHUNANDAN RAO,BJP,33.992478930400885,False
West Bengal,Coochbehar,JAGADISH CHANDRA BARMA BASUNIA,AITC,48.57373287789394,39250.0,JAGADISH CHANDRA BARMA BASUNIA,AITC,48.573732877893946,False
Punjab,Amritsar,GURJEET SINGH AUJLA,INC,28.176371602462748,40301.0,GURJEET SINGH AUJLA,INC,28.176371602462748,False
Maharashtra,Akola,ANUP SANJAY DHOTRE,BJP,38.96009793090279,40626.0,ANUP SANJAY DHOTRE,BJP,37.64833962904803,False
Odisha,Jagatsinghpur,BIBHU PRASAD TARAI,BJP,45.79794400472056,40696.0,BIBHU PRASAD TARAI,BJP,45.79794400472056,False
Haryana,BHIWANI-MAHENDRAGARH,DHARAMBIR SINGH,BJP,49.7436612458224,41510.0,DHARAMBIR SINGH,BJP,49.74366124582241,False
Rajasthan,KOTA,OM BIRLA,BJP,50.027830420415995,41974.0,OM BIRLA,BJP,50.027830420415995,False
Rajasthan,NAGAUR,HANUMAN BENIWAL,RLTP,48.20088932096219,42225.0,HANUMAN BENIWAL,RLTP,48.2008893209622,False
Karnataka,Hassan,SHREYAS. M. PATEL,INC,49.6667544890912,42649.0,SHREYAS. M. PATEL,INC,49.6667544890912,False
