state,constituency,winning_party,alliance_2024,winner_vote_share,margin_votes,party_type,ideology,effective_num_parties,top2_margin_pct
Bihar,Hajipur,LJPRV,NDA,53.29396775276892,170105.0,regional,dalit_assertive,2.303110500835646,14.723575377989206
Bihar,Jahanabad,RJD,INDIA,47.87652506564942,142591.0,regional,social_justice,2.9030848865054835,15.409079611398688
Bihar,Jamui,LJPRV,NDA,51.98415494575856,112482.0,regional,dalit_assertive,2.2963454686423725,11.486745238365124
Bihar,Jhanjharpur,JD(U),NDA,48.734755303129354,184169.0,regional,regional_centre,2.8876496793532267,16.838447127793515
Bihar,Karakat,CPI(ML)(L),INDIA,36.89165950962469,105858.0,national,far-left,3.7123189802097327,10.261356432322817
Bihar,Katihar,INC,INDIA,48.4054403326886,49863.0,national,centre-left,2.325095383515051,4.256170905794562
Bihar,Khagaria,LJPRV,NDA,50.72606116994728,161131.0,regional,dalit_assertive,2.5877155160741525,15.173925081034454
Bihar,Kishanganj,INC,INDIA,34.99698983319419,59692.0,national,centre-left,3.515178040327784,5.185653015075157
Bihar,Madhepura,JD(U),NDA,52.95954765457409,174534.0,regional,regional_centre,2.324241388103657,14.427934314021307
Bihar,Madhubani,BJP,NDA,53.84965671850917,151945.0,national,centre-right,2.255545915967417,14.78455388974514
Bihar,Maharajganj,BJP,NDA,52.21657632463571,102651.0,national,centre-right,2.218501323625579,10.122284685374055
Bihar,Munger,JD(U),NDA,48.29735549974058,80870.0,regional,regional_centre,2.4732195768064456,7.099582909380452
Bihar,Muzaffarpur,BJP,NDA,55.70977832910846,234927.0,national,centre-right,2.3215275701068987,21.11779299929885
Bihar,Nalanda,JD(U),NDA,48.88415853783218,169114.0,regional,regional_centre,2.7991008722740873,14.777744863389266
Bihar,Nawada,BJP,NDA,47.20337521698645,67670.0,national,centre-right,2.61654151650674,7.779323347166823
Bihar,Paschim Champaran,BJP,NDA,53.43316860850481,136568.0,national,centre-right,2.2075430546555963,12.57235863369224
Bihar,Patliputra,RJD,INDIA,49.85639367237921,85174.0,regional,social_justice,2.307681236547387,6.924158136865401
Bihar,Patna Sahib,BJP,NDA,54.69755350089633,153846.0,national,centre-right,2.1618387951475997,14.304655712341102
Bihar,Purnia,IND,OTHER,47.46070557698162,23847.0,independent,independent,2.3090036066707595,1.9941564284304647
Bihar,Purvi Champaran,BJP,NDA,50.49818941815499,88287.0,national,centre-right,2.301837317219466,8.222779801953642
Bihar,Samastipur,LJPRV,NDA,52.96822925802491,187251.0,regional,dalit_assertive,2.43204333274627,17.106922031222602
Bihar,Saran,BJP,NDA,46.18191928012311,13661.0,national,centre-right,2.406606160294644,1.3373365651566118
Bihar,Sasaram,INC,INDIA,46.76106920675432,19157.0,national,centre-left,2.3619525460873914,1.7461887291206182
Bihar,Sheohar,JD(U),NDA,45.15072915739076,29143.0,regional,regional_centre,2.591505505909608,2.7607943145238423
Bihar,Sitamarhi,JD(U),NDA,47.14102114092242,51356.0,regional,regional_centre,2.4735741002025806,4.6943670520442495
Bihar,Siwan,JD(U),NDA,38.727558019995634,92857.0,regional,regional_centre,3.5945326785030627,9.304140807079637
Bihar,Supaul,JD(U),NDA,48.33329813485997,169803.0,regional,regional_centre,2.8063128927882075,13.792630089496178
Bihar,Ujiarpur,BJP,NDA,49.513563414287745,60102.0,national,centre-right,2.2861569691205434,5.7675698706802265
Bihar,Vaishali,LJPRV,NDA,48.38003173898947,89634.0,regional,dalit_assertive,2.4883077145055177,7.6475607050833645
Bihar,Valmiki Nagar,JD(U),NDA,47.50478748990316,98675.0,regional,regional_centre,2.654409978244596,8.955555757240226
Chandigarh,Chandigarh,INC,INDIA,48.223693728785264,2504.0,national,centre-left,2.173540746128055,0.5573423849535359
Chhattisgarh,BASTAR,BJP,NDA,45.50330307376947,55245.0,national,centre-right,2.697607401926903,5.483946217719961
Chhattisgarh,BILASPUR,BJP,NDA,53.25133139897895,164558.0,national,centre-right,2.206490230011257,12.08785396848716
Chhattisgarh,DURG,BJP,NDA,61.9979945384554,438226.0,national,centre-right,2.010484265858289,28.40482840469877
Chhattisgarh,JANJGIR-CHAMPA,BJP,NDA,48.71279377118888,60000.0,national,centre-right,2.294717313758818,4.309601792794346
Chhattisgarh,KANKER,BJP,NDA,47.22698784364828,1884.0,national,centre-right,2.2462329102624223,0.14888231579962508
Chhattisgarh,KORBA,INC,INDIA,46.53357958333911,43283.0,national,centre-left,2.479415663782298,3.5324035572951544
Chhattisgarh,MAHASAMUND,BJP,NDA,53.06308819980695,145456.0,national,centre-right,2.1786393458367472,10.968870656370655
Chhattisgarh,RAIGARH,BJP,NDA,55.629351016714104,240391.0,national,centre-right,2.1617576760531305,16.544858272566792
Chhattisgarh,RAIPUR,BJP,NDA,66.19490721629994,575285.0,national,centre-right,1.8942325039604055,36.2554395606127
Chhattisgarh,RAJNANDGAON,BJP,NDA,49.264379792428144,44411.0,national,centre-right,2.1915604010609098,3.0726197073570276
Chhattisgarh,SURGUJA,BJP,NDA,49.00812152255013,64822.0,national,centre-right,2.2758524247843166,4.454296765752588
Dadra & Nagar Haveli and Daman & Diu,Dadar & Nagar Haveli,BJP,NDA,58.89156954686071,57584.0,national,centre-right,2.24383259076776,28.00941689203649
Dadra & Nagar Haveli and Daman & Diu,Daman & Diu,IND,OTHER,46.01558272914187,6225.0,independent,independent,2.6243672592187455,6.736283951953254
Goa,North Goa,BJP,NDA,56.436718698688615,116252.0,national,centre-right,2.354186432263914,25.450883376754163
Goa,South Goa,INC,INDIA,48.35212643167895,13535.0,national,centre-left,2.265858619860696,3.0043061351327296
Gujarat,Ahmedabad East,BJP,NDA,68.28258174183468,461755.0,national,centre-right,1.847289798887189,40.923428154127436
Gujarat,Ahmedabad West,BJP,NDA,63.2810770437161,286437.0,national,centre-right,1.9455330151950958,29.632047305838945
Gujarat,Amreli,BJP,NDA,66.27735827097781,321068.0,national,centre-right,1.8958547108748953,36.633783114604086
Gujarat,Anand,BJP,NDA,52.44009044760606,89939.0,national,centre-right,2.1034865733496404,7.700461227994921
Gujarat,Banaskantha,INC,INDIA,48.83214877792984,30406.0,national,centre-left,2.1919837349184337,2.209894156782852
Gujarat,Bardoli,BJP,NDA,57.03958612234597,230253.0,national,centre-right,2.063359638498746,17.191617021308367
