party,votes,vote_share_pct,seats,seat_share_pct,representation_gap
BJP,235974144.0,36.56458698250643,239.0,44.095940959409596,7.531353976903169
INC,136758952.0,21.191027590041482,99.0,18.265682656826566,-2.925344933214916
SP,29549389.0,4.578727084482691,37.0,6.826568265682657,2.2478411811999663
AITC,28213393.0,4.371712277172782,29.0,5.350553505535055,0.9788412283622732
IND,17850062.0,2.765896863014503,7.0,1.2915129151291513,-1.4743839478853518
YSRCP,13316134.0,2.063357161340995,4.0,0.7380073800738007,-1.3253497812671944
BSP,13153830.0,2.0382078859796713,0.0,0.0,-2.0382078859796713
TDP,12775270.0,1.9795493829188544,16.0,2.952029520295203,0.9724801373763485
DMK,11754710.0,1.8214119096418382,22.0,4.059040590405904,2.237628680764066
CPI(M),11342553.0,1.7575474954247075,4.0,0.7380073800738007,-1.0195401153509067
RJD,10107402.0,1.566158788973759,4.0,0.7380073800738007,-0.8281514088999582
SHSUBT,9567779.0,1.4825433055703694,9.0,1.6605166051660518,0.17797329959568242
BJD,9412674.0,1.458509527259803,0.0,0.0,-1.458509527259803
ADMK,8952587.0,1.387218279643198,0.0,0.0,-1.387218279643198
JD(U),8039663.0,1.2457591839957625,12.0,2.214022140221402,0.9682629562256395
SHS,7401447.0,1.1468665508875042,7.0,1.2915129151291513,0.14464636424164712
AAAP,7147800.0,1.1075635254070861,3.0,0.5535055350553505,-0.5540579903517356
NOTA,6371839.0,0.987327074927441,0.0,0.0,-0.987327074927441
NCPSP,5921162.0,0.9174939224973382,8.0,1.4760147601476015,0.5585208376502633
BHRS,3657237.0,0.5666949697766076,0.0,0.0,-0.5666949697766076
NTK,3600088.0,0.5578396369590288,0.0,0.0,-0.5578396369590288
CPI,3157184.0,0.48921092383654363,2.0,0.36900369003690037,-0.12020723379964326
LJPRV,2810250.0,0.43545292219637716,5.0,0.9225092250922509,0.4870563028958737
JMM,2652955.0,0.41107979973507325,3.0,0.5535055350553505,0.14242573532027725
JD(S),2173701.0,0.33681859351701343,2.0,0.36900369003690037,0.032185096519886935
NCP,2059179.0,0.3190732187084472,1.0,0.18450184501845018,-0.134571373689997
PMK,1879689.0,0.29126094399800223,0.0,0.0,-0.29126094399800223
SAD,1814318.0,0.2811315985743213,1.0,0.18450184501845018,-0.09662975355587111
CPI(ML)(L),1736761.0,0.26911401213653663,2.0,0.36900369003690037,0.09988967790036374
IUML,1716186.0,0.26592588158794117,3.0,0.5535055350553505,0.2875796534674093
VBA,1582855.0,0.2452660208747074,0.0,0.0,-0.2452660208747074
