candidates,unnamed_1,men,women,third_gender,total,year
,Nominated,18,5,0.0,23,2024
,Nomination Rejected,7,1,0.0,8,2024
,Withdrawn,2,0,0.0,2,2024
,Contested,9,4,0.0,13,2024
,Forfeited Deposit,9,2,0.0,11,2024
ELECTORS,,,,,,2024
,General,753690,800809,111.0,1554610,2024
,OverSeas,19,4,0.0,23,2024
,Service,2379,141,0.0,2520,2024
,Total,756088,800954,111.0,1557153,2024
VOTERS,,,,,,2024
,General,560845,582168,0.0,1143013,2024
,OverSeas,0,0,0.0,0,2024
,Proxy,,,,0,2024
,Postal,,,,22774,2024
,Total,,,,1165787,2024
,Votes Not Counted From CU(s) as Per ECI Instructions,,,,0,2024
,POLLING PERCENTAGE,,,,74.87,2024
VOTES,,,,,,2024
,Total Votes Polled On EVM,,,,1143013,2024
,Total Deducted Votes From EVM,,,,50205,2024
,Total Valid Votes polled on EVM,,,,1092808,2024
,Postal Votes Counted,,,,22774,2024
,Postal Votes Deducted,,,,1607,2024
,Valid Postal Votes,,,,21167,2024
,Total Valid Votes Polled,,,,1113975,2024
,Test Votes polled On EVM,,,,0,2024
,Votes Polled for 'NOTA'(Including Postal),,,,50470,2024
,Tendered Votes,,,,2,2024
POLLING STATION,,,,,,2024
,Number,2052,Average Electors Per Polling,,759,2024
,Dates(s) of Re-Poll if Any,,,,,2024
,Numbers Of Polling Stations where Re-Poll was Order,,,,,2024
DATES,,13/05/2024,04/06/2024,,04/06/2024,2024
RESULT,,Party,Candidates,,Votes,2024
,Winner,Yuvajana Sramika Rythu Congress Party,GUMMA THANUJA RANI,,477005,2024
,Runner-Up,Bharatiya Janata Party,KOTHAPALLI GEETHA,,426425,2024
,Margin,50580,,,,2024
Note -This report is based on election related data of 542 PCs only excluding data of PC-24:Surat due to unopposed election in the PC. Important Statistical Information of PC - Surat may be seen in Report2A:Highlights(Surat PC).,,,,,,2024
Disclaimer,,,,,,2024
These statistical reports are prepared only for academic and research purposes from the secondary data filled in the Index Cards. The primary data is in the statutory forms maintained by the concerned Returning Officers and the data kept in statutory forms is final.,,,,,,2024
