state,total_seats,flipped_seats,close_seats,avg_margin_votes,median_margin_votes,flip_rate_pct
Uttar Pradesh,80,9,11,96791.0125,65374.0,11.25
Maharashtra,48,1,7,109118.45833333333,95544.0,2.083333333333333
Puducherry,1,0,0,136516.0,136516.0,0.0
Manipur,2,0,0,97609.5,97609.5,0.0
Meghalaya,2,0,0,263575.5,263575.5,0.0
Mizoram,1,0,0,68288.0,68288.0,0.0
NCT OF Delhi,7,0,0,144904.42857142858,124333.0,0.0
Nagaland,1,0,0,50984.0,50984.0,0.0
Odisha,21,0,1,106488.95238095238,99974.0,0.0
Andaman & Nicobar Islands,1,0,0,24396.0,24396.0,0.0
Andhra Pradesh,25,0,1,205201.8,220479.0,0.0
Rajasthan,25,0,2,170156.28,115677.0,0.0
Sikkim,1,0,0,80830.0,80830.0,0.0
Tamil Nadu,39,0,2,222254.76923076922,209409.0,0.0
Telangana,17,0,1,206619.76470588235,172897.0,0.0
Tripura,2,0,0,549198.5,549198.5,0.0
Uttarakhand,5,0,0,233739.4,234097.0,0.0
Punjab,13,0,3,70516.76923076923,44111.0,0.0
Madhya Pradesh,29,0,0,335606.3103448276,375860.0,0.0
Lakshadweep,1,0,0,2647.0,2647.0,0.0
Goa,2,0,0,64893.5,64893.5,0.0
Arunachal Pradesh,2,0,0,65579.5,65579.5,0.0
Assam,14,0,1,267453.0714285714,235649.0,0.0
Bihar,40,0,4,103835.175,100243.5,0.0
Chandigarh,1,0,1,2504.0,2504.0,0.0
Chhattisgarh,11,0,1,166687.36363636365,64822.0,0.0
Dadra & Nagar Haveli and Daman & Diu,2,0,0,31904.5,31904.5,0.0
Gujarat,25,0,1,326354.84,321068.0,0.0
Ladakh,1,0,0,27862.0,27862.0,0.0
Haryana,10,0,1,129912.9,69230.0,0.0
Himachal Pradesh,4,0,0,150114.5,136904.0,0.0
Jammu and Kashmir,5,0,0,186844.6,188416.0,0.0
Jharkhand,14,0,1,194003.0,173333.0,0.0
Karnataka,28,0,3,139474.25,113933.5,0.0
Kerala,20,0,4,119169.4,93957.5,0.0
West Bengal,42,0,6,141548.14285714287,103374.5,0.0
