state,constituency,candidate,gender,age,category,party,party_symbol,total_votes_polled_in_the_constituency,valid_votes,evm_votes,postal_votes,votes,over_total_electors_in_constituency,over_total_votes_polled_in_constituency,over_total_valid_votes_polled_in_constituency,total_electors,year,rank,winner,vote_share,next_votes,margin_votes,raw_swing,sim_vote_share,sim_rank
Andaman & Nicobar Islands,Andaman & Nicobar Islands,BISHNU PADA RAY,MALE,73.0,GENERAL,BJP,Lotus,202597.0,200705.0,102182.0,254.0,102436.0,32.44,50.56,51.04,315745.0,2024,1.0,True,50.58218197260437,78040.0,24396.0,0.0,50.58218197260436,1.0
Andaman & Nicobar Islands,Andaman & Nicobar Islands,KULDEEP RAI SHARMA,MALE,56.0,GENERAL,INC,Hand,202597.0,200705.0,77829.0,211.0,78040.0,24.72,38.52,38.88,315745.0,2024,2.0,False,38.53560741479601,8254.0,,0.0,38.53560741479601,2.0
Andaman & Nicobar Islands,Andaman & Nicobar Islands,MANOJ PAUL,MALE,35.0,GENERAL,ANDC,Coconut farm,202597.0,200705.0,8236.0,18.0,8254.0,2.61,4.07,4.11,315745.0,2024,3.0,False,4.0757676012522595,6017.0,,0.0,4.075767601252259,3.0
Andaman & Nicobar Islands,Andaman & Nicobar Islands,D AYYAPPAN,MALE,60.0,GENERAL,CPI(M),"Hammer, Sickle and Star",202597.0,200705.0,6009.0,8.0,6017.0,1.91,2.97,3.0,315745.0,2024,4.0,False,2.971152611671292,2203.0,,0.0,2.9711526116712914,4.0
Andaman & Nicobar Islands,Andaman & Nicobar Islands,V.K. ABDUL AZIZ,MALE,42.0,GENERAL,IND,Chakki,202597.0,200705.0,2195.0,8.0,2203.0,0.7,1.09,1.1,315745.0,2024,5.0,False,1.0878260268425886,1809.0,,0.0,1.0878260268425886,5.0
Andaman & Nicobar Islands,Andaman & Nicobar Islands,NOTA,,,,NOTA,NOTA,202597.0,200705.0,1802.0,7.0,1809.0,0.57,0.89,0.9,315745.0,2024,6.0,False,0.893271576286084,914.0,,0.0,0.893271576286084,6.0
Andaman & Nicobar Islands,Andaman & Nicobar Islands,K J B SELVARAJ,MALE,50.0,GENERAL,ADMK,Two leaves,202597.0,200705.0,911.0,3.0,914.0,0.29,0.45,0.46,315745.0,2024,7.0,False,0.4513268218493537,719.0,,0.0,0.4513268218493537,7.0
Andaman & Nicobar Islands,Andaman & Nicobar Islands,DR ARUN KUMAR MALLIK,MALE,64.0,GENERAL,BSP,Elephant,202597.0,200705.0,714.0,5.0,719.0,0.23,0.35,0.36,315745.0,2024,8.0,False,0.3550371826145352,542.0,,0.0,0.35503718261453515,8.0
Andaman & Nicobar Islands,Andaman & Nicobar Islands,RINKU MALA MONDAL,FEMALE,36.0,GENERAL,IND,Camera,202597.0,200705.0,539.0,3.0,542.0,0.17,0.27,0.27,315745.0,2024,9.0,False,0.2676358177706233,507.0,,0.0,0.26763581777062323,9.0
Andaman & Nicobar Islands,Andaman & Nicobar Islands,K VENKAT RAM BABU,MALE,50.0,GENERAL,IND,Auto- rickshaw,202597.0,200705.0,506.0,1.0,507.0,0.16,0.25,0.25,315745.0,2024,10.0,False,0.2503530620105276,380.0,,0.0,0.25035306201052754,10.0
Andaman & Nicobar Islands,Andaman & Nicobar Islands,USHA KUMARI,FEMALE,39.0,GENERAL,IND,Flute,202597.0,200705.0,378.0,2.0,380.0,0.12,0.19,0.19,315745.0,2024,11.0,False,0.1876413482524665,351.0,,0.0,0.18764134825246648,11.0
Andaman & Nicobar Islands,Andaman & Nicobar Islands,SALAMAT MONDAL,MALE,48.0,GENERAL,SUCI,Battery Torch,202597.0,200705.0,349.0,2.0,351.0,0.11,0.17,0.17,315745.0,2024,12.0,False,0.173321350622673,342.0,,0.0,0.17332135062267298,12.0
Andaman & Nicobar Islands,Andaman & Nicobar Islands,ANAND RAMNATH ARLEKAR,MALE,58.0,GENERAL,IND,Gas cylinder,202597.0,200705.0,342.0,0.0,342.0,0.11,0.17,0.17,315745.0,2024,13.0,False,0.1688772134272198,,,0.0,0.16887721342721979,13.0
Andhra Pradesh,Amalapuram,G M HARISH (BALAYOGI),MALE,33.0,SC,TDP,Bicycle,1301934.0,1287588.0,786149.0,10832.0,796981.0,52.01,61.22,61.9,1532229.0,2024,1.0,True,61.25411765067565,454785.0,342196.0,0.0,61.25411765067565,1.0
Andhra Pradesh,Amalapuram,RAPAKA VARAPRASADA RAO,MALE,65.0,SC,YSRCP,Ceiling fan,1301934.0,1287588.0,450362.0,4423.0,454785.0,29.68,34.93,35.32,1532229.0,2024,2.0,False,34.95372398559379,15082.0,,0.0,34.95372398559379,2.0
Andhra Pradesh,Amalapuram,GOUTHAM JANGA,MALE,54.0,SC,INC,Hand,1301934.0,1287588.0,14523.0,559.0,15082.0,0.98,1.16,1.17,1532229.0,2024,3.0,False,1.1591676619737363,13518.0,,0.0,1.1591676619737363,3.0
Andhra Pradesh,Amalapuram,NOTA,,,,NOTA,NOTA,1301934.0,1287588.0,13418.0,100.0,13518.0,0.88,1.04,1.05,1532229.0,2024,4.0,False,1.0389622367432014,5388.0,,0.0,1.0389622367432014,4.0
Andhra Pradesh,Amalapuram,DORABABU YALLA,MALE,59.0,SC,BSP,Elephant,1301934.0,1287588.0,5202.0,186.0,5388.0,0.35,0.41,0.42,1532229.0,2024,5.0,False,0.4141092270729671,3741.0,,0.0,0.4141092270729671,5.0
Andhra Pradesh,Amalapuram,KATRU NAGA BABU,MALE,30.0,SC,TLGUNGP,Diamond,1301934.0,1287588.0,3736.0,5.0,3741.0,0.24,0.29,0.29,1532229.0,2024,6.0,False,0.2875246136748274,2977.0,,0.0,0.2875246136748274,6.0
Andhra Pradesh,Amalapuram,VADDI LALITH KUMAR,MALE,64.0,SC,IND,Bucket,1301934.0,1287588.0,2974.0,3.0,2977.0,0.19,0.23,0.23,1532229.0,2024,7.0,False,0.2288053394573539,2111.0,,0.0,0.22880533945735393,7.0
Andhra Pradesh,Amalapuram,MAKEY DAVY PRASAD,MALE,71.0,SC,IND,Whistle,1301934.0,1287588.0,2104.0,7.0,2111.0,0.14,0.16,0.16,1532229.0,2024,8.0,False,0.1622465809857152,1745.0,,0.0,0.1622465809857152,8.0
Andhra Pradesh,Amalapuram,GUDE VENKATESWARULU,MALE,51.0,SC,IND,Coconut farm,1301934.0,1287588.0,1741.0,4.0,1745.0,0.11,0.13,0.14,1532229.0,2024,9.0,False,0.1341166668972397,872.0,,0.0,0.1341166668972397,9.0
Andhra Pradesh,Amalapuram,RAMESH JILLELLA,MALE,28.0,SC,JJSP,Pen stand,1301934.0,1287588.0,866.0,6.0,872.0,0.06,0.07,0.07,1532229.0,2024,10.0,False,0.0670199046042367,740.0,,0.0,0.0670199046042367,10.0
Andhra Pradesh,Amalapuram,YALANGI RAMESH,MALE,61.0,SC,JRBP,Coat,1301934.0,1287588.0,738.0,2.0,740.0,0.05,0.06,0.06,1532229.0,2024,11.0,False,0.0568746896870816,726.0,,0.0,0.0568746896870816,11.0
Andhra Pradesh,Amalapuram,GIDDI JNANA PRAKASA RAO,MALE,62.0,SC,RPI,Apple,1301934.0,1287588.0,717.0,9.0,726.0,0.05,0.06,0.06,1532229.0,2024,12.0,False,0.055798682044353,719.0,,0.0,0.05579868204435301,12.0
Andhra Pradesh,Amalapuram,MATHA KRISHNA,MALE,39.0,SC,PPOI,Television,1301934.0,1287588.0,718.0,1.0,719.0,0.05,0.06,0.06,1532229.0,2024,13.0,False,0.0552606782229887,635.0,,0.0,0.0552606782229887,13.0
Andhra Pradesh,Amalapuram,YADLA RAJESH,MALE,32.0,SC,LBCP,Well,1301934.0,1287588.0,628.0,7.0,635.0,0.04,0.05,0.05,1532229.0,2024,14.0,False,0.0488046323666173,581.0,,0.0,0.0488046323666173,14.0
Andhra Pradesh,Amalapuram,KAPA KALYAN,MALE,47.0,SC,RPPRINAT,Jackfruit,1301934.0,1287588.0,579.0,2.0,581.0,0.04,0.04,0.05,1532229.0,2024,15.0,False,0.0446543171732356,505.0,,0.0,0.0446543171732356,15.0
Andhra Pradesh,Amalapuram,PATHURI RAMESH,MALE,39.0,SC,PPID,Air conditioner,1301934.0,1287588.0,502.0,3.0,505.0,0.03,0.04,0.04,1532229.0,2024,16.0,False,0.0388131328269948,,,0.0,0.0388131328269948,16.0
Andhra Pradesh,Anakapalle,C.M.RAMESH,MALE,58.0,GENERAL,BJP,Lotus,1328726.0,1299097.0,750027.0,12042.0,762069.0,47.59,57.35,58.66,1601365.0,2024,1.0,True,57.50023390365584,465539.0,296530.0,0.0,57.50023390365584,1.0
Andhra Pradesh,Anakapalle,BUDI MUTYALA NAIDU,MALE,60.0,GENERAL,YSRCP,Ceiling fan,1328726.0,1299097.0,459762.0,5777.0,465539.0,29.07,35.04,35.84,1601365.0,2024,2.0,False,35.12621743080224,26235.0,,0.0,35.12621743080224,2.0
Andhra Pradesh,Anakapalle,NOTA,,,,NOTA,NOTA,1328726.0,1299097.0,26084.0,151.0,26235.0,1.64,1.97,2.02,1601365.0,2024,3.0,False,1.9795040035251543,25651.0,,0.0,1.9795040035251545,3.0
Andhra Pradesh,Anakapalle,VEGI VENKATESH,MALE,50.0,GENERAL,INC,Hand,1328726.0,1299097.0,24833.0,818.0,25651.0,1.6,1.93,1.97,1601365.0,2024,4.0,False,1.9354395728768337,19157.0,,0.0,1.9354395728768337,4.0
Andhra Pradesh,Anakapalle,PALAKA SREERAMA MURTHY,MALE,54.0,GENERAL,BSP,Elephant,1328726.0,1299097.0,19082.0,75.0,19157.0,1.2,1.44,1.47,1601365.0,2024,5.0,False,1.4454491402908856,4002.0,,0.0,1.4454491402908856,5.0
Andhra Pradesh,Anakapalle,VANKAYALA RAMACHANDRA RAO,MALE,70.0,GENERAL,IND,Air conditioner,1328726.0,1299097.0,4001.0,1.0,4002.0,0.25,0.3,0.31,1601365.0,2024,6.0,False,0.3019620744085255,3852.0,,0.0,0.3019620744085255,6.0
Andhra Pradesh,Anakapalle,LOVARAJU SIDDHA,MALE,36.0,GENERAL,IND,Telephone,1328726.0,1299097.0,3845.0,7.0,3852.0,0.24,0.29,0.3,1601365.0,2024,7.0,False,0.2906441555776213,3557.0,,0.0,0.2906441555776213,7.0
Andhra Pradesh,Anakapalle,KRISHNA SWAROOP VADLAMURI,MALE,50.0,SC,DABAP,Gas cylinder,1328726.0,1299097.0,3549.0,8.0,3557.0,0.22,0.27,0.27,1601365.0,2024,8.0,False,0.2683855818768429,3124.0,,0.0,0.2683855818768429,8.0
Andhra Pradesh,Anakapalle,GARA SURYA RAO,MALE,70.0,SC,IND,Slate,1328726.0,1299097.0,3116.0,8.0,3124.0,0.2,0.24,0.24,1601365.0,2024,9.0,False,0.2357145228516326,2619.0,,0.0,0.23571452285163264,9.0
Andhra Pradesh,Anakapalle,APPALA RAJU NAMMI,MALE,54.0,GENERAL,BCYP,Ganna kisan,1328726.0,1299097.0,2589.0,30.0,2619.0,0.16,0.2,0.2,1601365.0,2024,10.0,False,0.1976108627875883,2184.0,,0.0,0.1976108627875883,10.0
Andhra Pradesh,Anakapalle,NAGESWARA RAO PETLA,MALE,60.0,SC,IND,Lighter,1328726.0,1299097.0,2179.0,5.0,2184.0,0.14,0.16,0.17,1601365.0,2024,11.0,False,0.1647888981779659,1913.0,,0.0,0.1647888981779659,11.0
Andhra Pradesh,Anakapalle,ADARI SARAT CHANDRA,MALE,39.0,GENERAL,JBNP,Battery Torch,1328726.0,1299097.0,1886.0,27.0,1913.0,0.12,0.14,0.15,1601365.0,2024,12.0,False,0.1443411914901322,1591.0,,0.0,0.1443411914901322,12.0
Andhra Pradesh,Anakapalle,VIJAYA LAKSHMI KARRI,FEMALE,43.0,GENERAL,PPOI,Flute,1328726.0,1299097.0,1578.0,13.0,1591.0,0.1,0.12,0.12,1601365.0,2024,13.0,False,0.1200453923997911,1576.0,,0.0,0.12004539239979109,13.0
Andhra Pradesh,Anakapalle,DR. THUMMAPALA HARI SHANKAR,MALE,35.0,GENERAL,IND,Mike,1328726.0,1299097.0,1567.0,9.0,1576.0,0.1,0.12,0.12,1601365.0,2024,14.0,False,0.1189136005167007,1201.0,,0.0,0.11891360051670069,14.0
Andhra Pradesh,Anakapalle,JUNNURI J SRINIVAS,MALE,54.0,GENERAL,IND,Bat,1328726.0,1299097.0,1195.0,6.0,1201.0,0.07,0.09,0.09,1601365.0,2024,15.0,False,0.09061880343944,1062.0,,0.0,0.09061880343944,15.0
Andhra Pradesh,Anakapalle,APPALANAIDU TUMMAGUNTA,MALE,42.0,GENERAL,IND,Cot,1328726.0,1299097.0,1055.0,7.0,1062.0,0.07,0.08,0.08,1601365.0,2024,16.0,False,0.0801308653228021,,,0.0,0.0801308653228021,16.0
Andhra Pradesh,Ananthapur,AMBICA G LAKSHMINARAYANA VALMIKI,MALE,60.0,GENERAL,TDP,Bicycle,1445498.0,1431229.0,755862.0,12383.0,768245.0,43.42,53.15,53.68,1769264.0,2024,1.0,True,53.334495025089765,579690.0,188555.0,0.0,53.334495025089765,1.0
Andhra Pradesh,Ananthapur,MALAGUNDLA SANKAR NARAYANA,MALE,59.0,GENERAL,YSRCP,Ceiling fan,1445498.0,1431229.0,573769.0,5921.0,579690.0,32.76,40.1,40.5,1769264.0,2024,2.0,False,40.244288503139344,43217.0,,0.0,40.244288503139344,2.0
Andhra Pradesh,Ananthapur,MALLIKARJUNA VAJJALA,MALE,61.0,GENERAL,INC,Hand,1445498.0,1431229.0,41954.0,1263.0,43217.0,2.44,2.99,3.02,1769264.0,2024,3.0,False,3.0002888030502044,9199.0,,0.0,3.0002888030502044,3.0
Andhra Pradesh,Ananthapur,NOTA,,,,NOTA,NOTA,1445498.0,1431229.0,9014.0,185.0,9199.0,0.52,0.64,0.64,1769264.0,2024,4.0,False,0.6386296295267795,6439.0,,0.0,0.6386296295267795,4.0
Andhra Pradesh,Ananthapur,G.V.RAMANA REDDY,MALE,59.0,GENERAL,IND,Basket containing Fruits,1445498.0,1431229.0,6436.0,3.0,6439.0,0.36,0.45,0.45,1769264.0,2024,5.0,False,0.4470199135257021,6396.0,,0.0,0.4470199135257021,5.0
Andhra Pradesh,Ananthapur,BANASI NARAYANAPPA,MALE,49.0,SC,BSP,Elephant,1445498.0,1431229.0,6280.0,116.0,6396.0,0.36,0.44,0.45,1769264.0,2024,6.0,False,0.4440346896894533,5778.0,,0.0,0.4440346896894533,6.0
Andhra Pradesh,Ananthapur,V.MURALI PRASAD REDDY,MALE,53.0,GENERAL,IND,Bangles,1445498.0,1431229.0,5775.0,3.0,5778.0,0.33,0.4,0.4,1769264.0,2024,7.0,False,0.4011307750196469,4989.0,,0.0,0.4011307750196469,7.0
Andhra Pradesh,Ananthapur,DR.NALLANI RAMESH NAIDU,MALE,44.0,GENERAL,ARPS,Glass tumbler,1445498.0,1431229.0,4862.0,127.0,4989.0,0.28,0.35,0.35,1769264.0,2024,8.0,False,0.3463553888149911,2935.0,,0.0,0.3463553888149911,8.0
Andhra Pradesh,Ananthapur,M.SURENDRA,MALE,38.0,SC,PPOI,Baby walker,1445498.0,1431229.0,2927.0,8.0,2935.0,0.17,0.2,0.21,1769264.0,2024,9.0,False,0.203758882776508,2540.0,,0.0,0.203758882776508,9.0
Andhra Pradesh,Ananthapur,U.C.VENKATASUBBAIAH,MALE,59.0,GENERAL,JCVIVP,Gas cylinder,1445498.0,1431229.0,2533.0,7.0,2540.0,0.14,0.18,0.18,1769264.0,2024,10.0,False,0.1763364777691075,1518.0,,0.0,0.1763364777691075,10.0
Andhra Pradesh,Ananthapur,P.CHOWDESWARI,FEMALE,38.0,GENERAL,IND,Bucket,1445498.0,1431229.0,1514.0,4.0,1518.0,0.09,0.11,0.11,1769264.0,2024,11.0,False,0.1053853438005926,1494.0,,0.0,0.1053853438005926,11.0
Andhra Pradesh,Ananthapur,VADLA KESAVAIAH,MALE,68.0,GENERAL,IND,Tray,1445498.0,1431229.0,1488.0,6.0,1494.0,0.08,0.1,0.1,1769264.0,2024,12.0,False,0.1037191723571049,1318.0,,0.0,0.1037191723571049,12.0
Andhra Pradesh,Ananthapur,B.RAGHAVENDRA PRASAD,MALE,33.0,SC,IND,Batsman,1445498.0,1431229.0,1317.0,1.0,1318.0,0.07,0.09,0.09,1769264.0,2024,13.0,False,0.091500581771529,1091.0,,0.0,0.091500581771529,13.0
Andhra Pradesh,Ananthapur,LOKANATH GOWD SURAGOWINI,MALE,40.0,GENERAL,IND,Pen nib with seven rays,1445498.0,1431229.0,1085.0,6.0,1091.0,0.06,0.08,0.08,1769264.0,2024,14.0,False,0.0757413768685418,1091.0,,0.0,0.0757413768685418,14.0
Andhra Pradesh,Ananthapur,KETHIREDDY RAGHUNATHAREDDY,MALE,48.0,GENERAL,IND,Balloon,1445498.0,1431229.0,1086.0,5.0,1091.0,0.06,0.08,0.08,1769264.0,2024,15.0,False,0.0757413768685418,904.0,,0.0,0.0757413768685418,15.0
Andhra Pradesh,Ananthapur,SREERANGARAJULA GOPINATH ROYAL,MALE,33.0,GENERAL,IND,Diamond,1445498.0,1431229.0,903.0,1.0,904.0,0.05,0.06,0.06,1769264.0,2024,16.0,False,0.0627591243713674,753.0,,0.0,0.0627591243713674,16.0
Andhra Pradesh,Ananthapur,SHAIK.NIZAM,MALE,49.0,GENERAL,SP,Bicycle pump,1445498.0,1431229.0,749.0,4.0,753.0,0.04,0.05,0.05,1769264.0,2024,17.0,False,0.0522761290394244,745.0,,0.0,0.0522761290394244,17.0
Andhra Pradesh,Ananthapur,RAMAVTH CHINNA RAMAPPA NAIK,MALE,37.0,ST,JRBP,Coat,1445498.0,1431229.0,735.0,10.0,745.0,0.04,0.05,0.05,1769264.0,2024,18.0,False,0.0517207385582618,578.0,,0.0,0.0517207385582618,18.0
Andhra Pradesh,Ananthapur,KURUBA MALLIKARJUNA.S.,MALE,37.0,GENERAL,AINDKSJNTP,Air conditioner,1445498.0,1431229.0,574.0,4.0,578.0,0.03,0.04,0.04,1769264.0,2024,19.0,False,0.0401269622639937,570.0,,0.0,0.0401269622639937,19.0
Andhra Pradesh,Ananthapur,B.NAGAMUTHYALU,MALE,42.0,GENERAL,SUCI,Bat,1445498.0,1431229.0,566.0,4.0,570.0,0.03,0.04,0.04,1769264.0,2024,20.0,False,0.0395715717828312,494.0,,0.0,0.0395715717828312,20.0
Andhra Pradesh,Ananthapur,SRINIVASA RAJU.O,MALE,35.0,GENERAL,BYPP,Apple,1445498.0,1431229.0,489.0,5.0,494.0,0.03,0.03,0.03,1769264.0,2024,21.0,False,0.034295362211787,444.0,,0.0,0.034295362211787,21.0
Andhra Pradesh,Ananthapur,DURGA PRASAD D BYATARAYANAJI,MALE,58.0,GENERAL,CHALP,Almirah,1445498.0,1431229.0,439.0,5.0,444.0,0.03,0.03,0.03,1769264.0,2024,22.0,False,0.0308241717045211,,,0.0,0.0308241717045211,22.0
Andhra Pradesh,Araku,GUMMA THANUJA RANI,FEMALE,31.0,ST,YSRCP,Ceiling fan,1165787.0,1113975.0,471470.0,5535.0,477005.0,30.63,40.92,42.82,1557153.0,2024,1.0,True,40.96415030336341,426425.0,50580.0,0.0,40.96415030336341,1.0
Andhra Pradesh,Araku,KOTHAPALLI GEETHA,FEMALE,53.0,ST,BJP,Lotus,1165787.0,1113975.0,417113.0,9312.0,426425.0,27.38,36.58,38.28,1557153.0,2024,2.0,False,36.62045008566312,123129.0,,0.0,36.62045008566312,2.0
Andhra Pradesh,Araku,APPALANARASA PACHIPENTA,MALE,41.0,ST,CPI(M),"Hammer, Sickle and Star",1165787.0,1113975.0,119016.0,4113.0,123129.0,7.91,10.56,11.05,1557153.0,2024,3.0,False,10.574050298640126,50470.0,,0.0,10.574050298640126,3.0
Andhra Pradesh,Araku,NOTA,,,,NOTA,NOTA,1165787.0,1113975.0,50205.0,265.0,50470.0,3.24,4.33,4.53,1557153.0,2024,4.0,False,4.334253657321729,25750.0,,0.0,4.334253657321729,4.0
Andhra Pradesh,Araku,AVASHYA LAHARI . VARAM,FEMALE,30.0,ST,BSP,Elephant,1165787.0,1113975.0,24858.0,892.0,25750.0,1.65,2.21,2.31,1557153.0,2024,5.0,False,2.2113539067968,9535.0,,0.0,2.2113539067968,5.0
Andhra Pradesh,Araku,SAMAREDDY BALAKRISHNA,MALE,48.0,ST,IND,Gas cylinder,1165787.0,1113975.0,9493.0,42.0,9535.0,0.61,0.82,0.86,1557153.0,2024,6.0,False,0.81884502917699,9462.0,,0.0,0.81884502917699,6.0
Andhra Pradesh,Araku,NIMMAKA JAYARAJU,MALE,64.0,ST,IND,Bat,1165787.0,1113975.0,8798.0,664.0,9462.0,0.61,0.81,0.85,1557153.0,2024,7.0,False,0.812575948198498,8136.0,,0.0,0.812575948198498,7.0
Andhra Pradesh,Araku,ATHIDHI,FEMALE,32.0,ST,IND,Plate containing food,1165787.0,1113975.0,8121.0,15.0,8136.0,0.52,0.7,0.73,1557153.0,2024,8.0,False,0.6987019567261656,7252.0,,0.0,0.6987019567261656,8.0
Andhra Pradesh,Araku,CHANTI BADNAINA,MALE,28.0,ST,JBNP,Battery Torch,1165787.0,1113975.0,7205.0,47.0,7252.0,0.47,0.62,0.65,1557153.0,2024,9.0,False,0.6227859624112775,6766.0,,0.0,0.6227859624112775,9.0
Andhra Pradesh,Araku,MOTTADAM . RAJABABU,MALE,47.0,ST,BHRTADVSIP,Hockey and ball,1165787.0,1113975.0,6370.0,396.0,6766.0,0.43,0.58,0.61,1557153.0,2024,10.0,False,0.5810493411024136,6047.0,,0.0,0.5810493411024136,10.0
Andhra Pradesh,Araku,RANJITH KUMAR PALAKA,MALE,42.0,ST,IND,Biscuit,1165787.0,1113975.0,6000.0,47.0,6047.0,0.39,0.52,0.54,1557153.0,2024,11.0,False,0.5193031873553495,4967.0,,0.0,0.5193031873553495,11.0
Andhra Pradesh,Araku,MANDALA GIRIDHARA RAO,MALE,42.0,ST,IND,Belt,1165787.0,1113975.0,4931.0,36.0,4967.0,0.32,0.43,0.45,1557153.0,2024,12.0,False,0.4265551400023186,4959.0,,0.0,0.4265551400023186,12.0
Andhra Pradesh,Araku,RAMBABU JALLI,MALE,45.0,ST,TLRDSMTP,Rubber stamp,1165787.0,1113975.0,4933.0,26.0,4959.0,0.32,0.43,0.45,1557153.0,2024,13.0,False,0.4258681174293333,4542.0,,0.0,0.4258681174293333,13.0
Andhra Pradesh,Araku,VUYAKA NIREEKSHAN (V. CHENCHU),MALE,43.0,ST,IPBP,Trumpet,1165787.0,1113975.0,4500.0,42.0,4542.0,0.29,0.39,0.41,1557153.0,2024,14.0,False,0.3900570658124686,,,0.0,0.3900570658124686,14.0
Andhra Pradesh,Bapatla,KRISHNA PRASAD TENNETI,MALE,64.0,SC,TDP,Bicycle,1308243.0,1287022.0,706757.0,10736.0,717493.0,47.48,54.84,55.75,1511177.0,2024,1.0,True,55.16015821702178,509462.0,208031.0,0.0,55.16015821702178,1.0
Andhra Pradesh,Bapatla,NANDIGAM SURESH BABU,MALE,46.0,SC,YSRCP,Ceiling fan,1308243.0,1287022.0,503816.0,5646.0,509462.0,33.71,38.94,39.58,1511177.0,2024,2.0,False,39.1669389465268,43259.0,,0.0,39.1669389465268,2.0
Andhra Pradesh,Bapatla,J.D. SEELAM,MALE,70.0,SC,INC,Hand,1308243.0,1287022.0,41673.0,1586.0,43259.0,2.86,3.31,3.36,1511177.0,2024,3.0,False,3.325709497249653,13723.0,,0.0,3.325709497249653,3.0
Andhra Pradesh,Bapatla,NOTA,,,,NOTA,NOTA,1308243.0,1287022.0,13599.0,124.0,13723.0,0.91,1.05,1.07,1511177.0,2024,4.0,False,1.0550107822824613,6857.0,,0.0,1.0550107822824613,4.0
Andhra Pradesh,Bapatla,DOKKA JAGAN MOHANA RAO,MALE,61.0,SC,BSP,Elephant,1308243.0,1287022.0,6774.0,83.0,6857.0,0.45,0.52,0.53,1511177.0,2024,5.0,False,0.52715943555424,2964.0,,0.0,0.52715943555424,5.0
Andhra Pradesh,Bapatla,NALAMALA TIRUPATI RAO,MALE,46.0,SC,NavaP,Glass tumbler,1308243.0,1287022.0,2888.0,76.0,2964.0,0.2,0.23,0.23,1511177.0,2024,6.0,False,0.2278694132977639,1318.0,,0.0,0.2278694132977639,6.0
Andhra Pradesh,Bapatla,BUSSA. NAGARAJU,MALE,34.0,SC,IND,Almirah,1308243.0,1287022.0,1311.0,7.0,1318.0,0.09,0.1,0.1,1511177.0,2024,7.0,False,0.1013265474785603,1051.0,,0.0,0.10132654747856032,7.0
Andhra Pradesh,Bapatla,GADDE. VIJAYA LAKSHMI,FEMALE,34.0,SC,IND,Bucket,1308243.0,1287022.0,1046.0,5.0,1051.0,0.07,0.08,0.08,1511177.0,2024,8.0,False,0.0807998493171221,897.0,,0.0,0.0807998493171221,8.0
Andhra Pradesh,Bapatla,KATTAPOGU. VIJAY KUMAR,MALE,57.0,SC,PPOI,Television,1308243.0,1287022.0,893.0,4.0,897.0,0.06,0.07,0.07,1511177.0,2024,9.0,False,0.0689604803401127,797.0,,0.0,0.0689604803401127,9.0
Andhra Pradesh,Bapatla,KONDRU KIRAN KUMAR,MALE,46.0,SC,IND,Ganna kisan,1308243.0,1287022.0,791.0,6.0,797.0,0.05,0.06,0.06,1511177.0,2024,10.0,False,0.0612725784069898,729.0,,0.0,0.06127257840698979,10.0
Andhra Pradesh,Bapatla,KATTA ANAND BABU,MALE,32.0,SC,IND,Air conditioner,1308243.0,1287022.0,704.0,25.0,729.0,0.05,0.06,0.06,1511177.0,2024,11.0,False,0.0560448050924662,673.0,,0.0,0.056044805092466204,11.0
Andhra Pradesh,Bapatla,MERUGUPALA SADASIVA RAO,MALE,37.0,SC,IPBP,Trumpet,1308243.0,1287022.0,669.0,4.0,673.0,0.04,0.05,0.05,1511177.0,2024,12.0,False,0.0517395800099173,549.0,,0.0,0.0517395800099173,12.0
Andhra Pradesh,Bapatla,KATTA HEMANAND,MALE,43.0,SC,IND,Diamond,1308243.0,1287022.0,547.0,2.0,549.0,0.04,0.04,0.04,1511177.0,2024,13.0,False,0.0422065816128449,412.0,,0.0,0.0422065816128449,13.0
Andhra Pradesh,Bapatla,PARRE. KOTAIAH,MALE,41.0,SC,JRBP,Coat,1308243.0,1287022.0,408.0,4.0,412.0,0.03,0.03,0.03,1511177.0,2024,14.0,False,0.0316741559644665,306.0,,0.0,0.0316741559644665,14.0
Andhra Pradesh,Bapatla,PALADUG VIJENDRA RAO (BAHUJAN),MALE,58.0,SC,LBCP,Well,1308243.0,1287022.0,294.0,12.0,306.0,0.02,0.02,0.02,1511177.0,2024,15.0,False,0.0235249799153562,255.0,,0.0,0.0235249799153562,15.0
Andhra Pradesh,Bapatla,CHINNAM MURALIDHAR,MALE,67.0,SC,AlPP,Cot,1308243.0,1287022.0,252.0,3.0,255.0,0.02,0.02,0.02,1511177.0,2024,16.0,False,0.0196041499294635,,,0.0,0.0196041499294635,16.0
Andhra Pradesh,Chittoor,DAGGUMALLA PRASADA RAO,MALE,62.0,SC,TDP,Bicycle,1425910.0,1406881.0,765536.0,12535.0,778071.0,47.34,54.57,55.3,1643593.0,2024,1.0,True,54.83787302032551,557592.0,220479.0,0.0,54.837873020325524,1.0
Andhra Pradesh,Chittoor,REDDEPPA.N .,MALE,73.0,SC,YSRCP,Ceiling fan,1425910.0,1406881.0,552469.0,5123.0,557592.0,33.93,39.1,39.63,1643593.0,2024,2.0,False,39.29867491931886,30150.0,,0.0,39.29867491931888,2.0
Andhra Pradesh,Chittoor,MOTUKUR JAGAPATHI,MALE,48.0,SC,INC,Hand,1425910.0,1406881.0,29431.0,719.0,30150.0,1.83,2.11,2.14,1643593.0,2024,3.0,False,2.1249498716220168,13511.0,,0.0,2.124949871622017,3.0
