state,constituency,candidate,gender,age,category,party,party_symbol,total_votes_polled_in_the_constituency,valid_votes,evm_votes,postal_votes,votes,over_total_electors_in_constituency,over_total_votes_polled_in_constituency,over_total_valid_votes_polled_in_constituency,total_electors,year,rank,winner,vote_share,next_votes,margin_votes,raw_swing,sim_vote_share,sim_rank
Rajasthan,JODHPUR,GAJENDRA SINGH SHEKHAWAT,MALE,56.0,GENERAL,BJP,Lotus,1385918.0,1373247.0,722978.0,7078.0,730056.0,34.14,52.68,53.16,2138241.0,2024,1.0,True,52.75588616586624,614379.0,115677.0,0.0,52.75588616586623,1.0
Rajasthan,JODHPUR,KARAN SINGH UCHIYARDA,MALE,55.0,GENERAL,INC,Hand,1385918.0,1373247.0,608228.0,6151.0,614379.0,28.73,44.33,44.74,2138241.0,2024,2.0,False,44.396742971359366,10591.0,,0.0,44.39674297135936,2.0
Rajasthan,JODHPUR,NOTA,,,,NOTA,NOTA,1385918.0,1373247.0,10511.0,80.0,10591.0,0.5,0.76,0.77,2138241.0,2024,3.0,False,0.7653352487791201,7429.0,,0.0,0.76533524877912,3.0
Rajasthan,JODHPUR,SUNIL KUMAR PAREEK,MALE,44.0,GENERAL,IND,Telephone,1385918.0,1373247.0,7424.0,5.0,7429.0,0.35,0.54,0.54,2138241.0,2024,4.0,False,0.5368402948900088,6395.0,,0.0,0.5368402948900087,4.0
Rajasthan,JODHPUR,MANJU MEGHWAL,FEMALE,37.0,GENERAL,BSP,Elephant,1385918.0,1373247.0,6347.0,48.0,6395.0,0.3,0.46,0.47,2138241.0,2024,5.0,False,0.4621205661356315,3680.0,,0.0,0.4621205661356314,5.0
Rajasthan,JODHPUR,ANANDARAM URF ANAND CHOUHAN,MALE,49.0,SC,ASPKR,Kettle,1385918.0,1373247.0,3662.0,18.0,3680.0,0.17,0.27,0.27,2138241.0,2024,6.0,False,0.2659270810600662,3238.0,,0.0,0.26592708106006613,6.0
Rajasthan,JODHPUR,SUNIL BHANDARI,MALE,64.0,GENERAL,IND,Hand cart,1385918.0,1373247.0,3236.0,2.0,3238.0,0.15,0.23,0.24,2138241.0,2024,7.0,False,0.2339869262153518,1750.0,,0.0,0.23398692621535178,7.0
Rajasthan,JODHPUR,VISHEK VISHNOI,MALE,42.0,GENERAL,IND,Cot,1385918.0,1373247.0,1718.0,32.0,1750.0,0.08,0.13,0.13,2138241.0,2024,8.0,False,0.1264598890910641,1195.0,,0.0,0.12645988909106406,8.0
Rajasthan,JODHPUR,SHIVA RAM,MALE,43.0,SC,IND,Hockey and ball,1385918.0,1373247.0,1191.0,4.0,1195.0,0.06,0.09,0.09,2138241.0,2024,9.0,False,0.0863540385507552,1125.0,,0.0,0.08635403855075519,9.0
Rajasthan,JODHPUR,LIKHAMA RAM,MALE,64.0,GENERAL,IND,Apple,1385918.0,1373247.0,1123.0,2.0,1125.0,0.05,0.08,0.08,2138241.0,2024,10.0,False,0.0812956429871126,1027.0,,0.0,0.08129564298711259,10.0
Rajasthan,JODHPUR,NARESH KANDARA,MALE,48.0,SC,IND,Air conditioner,1385918.0,1373247.0,1007.0,20.0,1027.0,0.05,0.07,0.07,2138241.0,2024,11.0,False,0.074213889198013,782.0,,0.0,0.07421388919801299,11.0
Rajasthan,JODHPUR,SATYANARAYAN,MALE,40.0,GENERAL,BSKRP,Auto- rickshaw,1385918.0,1373247.0,776.0,6.0,782.0,0.04,0.06,0.06,2138241.0,2024,12.0,False,0.056509504725264,654.0,,0.0,0.05650950472526399,12.0
Rajasthan,JODHPUR,PAPPU DAN,MALE,30.0,GENERAL,RTORP,Pressure cooker,1385918.0,1373247.0,650.0,4.0,654.0,0.03,0.05,0.05,2138241.0,2024,13.0,False,0.0472598671231748,547.0,,0.0,0.047259867123174794,13.0
