state,constituency,candidate,gender,age,category,party,party_symbol,total_votes_polled_in_the_constituency,valid_votes,general,postal,votes,over_total_electors_in_constituency,over_total_votes_polled_in_constituency,over_total_valid_votes_polled_in_constituency,total_electors,year,rank,winner,vote_share,next_votes,margin_votes,raw_swing,sim_vote_share,sim_rank
Odisha,Jajpur,RABINDRA NARAYAN BEHERA,MALE,61.0,SC,BJP,Lotus,1161596.0,1154420.0,528959.0,5280.0,534239.0,34.5,45.99,46.28,1548594.0,2024,1.0,True,46.00717528642586,532652.0,1587.0,0.0,46.00717528642586,1.0
Odisha,Kalahandi,MALVIKA DEVI,FEMALE,43.0,GENERAL,BJP,Lotus,1338480.0,1314529.0,538535.0,5768.0,544303.0,31.98,40.67,41.41,1702038.0,2024,1.0,True,40.794862109179434,410490.0,133813.0,0.0,40.794862109179434,1.0
Odisha,Kandhamal,SUKANTA KUMAR PANIGRAHI,MALE,57.0,GENERAL,BJP,Lotus,999765.0,980371.0,413320.0,3095.0,416415.0,31.06,41.65,42.48,1340580.0,2024,1.0,True,41.80491541435472,395044.0,21371.0,0.0,41.80491541435471,1.0
Odisha,Kendrapara,BAIJAYANT PANDA,MALE,60.0,GENERAL,BJP,Lotus,1283464.0,1271293.0,612916.0,2789.0,615705.0,34.29,47.97,48.43,1795725.0,2024,1.0,True,48.21087958105345,549169.0,66536.0,0.0,48.21087958105344,1.0
Odisha,Keonjhar,ANANTA NAYAK,MALE,55.0,ST,BJP,Lotus,1258771.0,1231852.0,571133.0,2790.0,573923.0,36.1,45.59,46.59,1589941.0,2024,1.0,True,45.672143019142695,476881.0,97042.0,0.0,45.672143019142695,1.0
Odisha,Koraput,SAPTAGIRI SANKAR ULAKA,MALE,45.0,ST,INC,Hand,1155221.0,1110513.0,468948.0,2098.0,471046.0,31.79,40.78,42.42,1481642.0,2024,1.0,True,41.04564684149301,323318.0,147728.0,0.0,41.04564684149302,1.0
Odisha,Mayurbhanj,NABA CHARAN MAJHI,MALE,62.0,ST,BJP,Lotus,1178141.0,1154097.0,580579.0,5392.0,585971.0,37.9,49.74,50.77,1546274.0,2024,1.0,True,49.91022528853115,366637.0,219334.0,0.0,49.91022528853116,1.0
Odisha,Nabarangpur,BALABHADRA MAJHI,MALE,63.0,ST,BJP,Lotus,1250175.0,1199207.0,478330.0,3066.0,481396.0,31.78,38.51,40.14,1514610.0,2024,1.0,True,38.74492444515986,393860.0,87536.0,0.0,38.74492444515986,1.0
Odisha,Puri,SAMBIT PATRA,MALE,50.0,GENERAL,BJP,Lotus,1201434.0,1189328.0,625372.0,3958.0,629330.0,39.59,52.38,52.91,1589698.0,2024,1.0,True,52.57832903625752,524621.0,104709.0,0.0,52.57832903625752,1.0
Odisha,Sambalpur,DHARMENDRA PRADHAN,MALE,54.0,GENERAL,BJP,Lotus,1200815.0,1184264.0,587827.0,4335.0,592162.0,39.44,49.31,50.0,1501538.0,2024,1.0,True,49.48096799072819,472326.0,119836.0,0.0,49.48096799072819,1.0
