state,constituency,candidate,gender,age,category,party,party_symbol,total_votes_polled_in_the_constituency,valid_votes,evm_votes,postal_votes,votes,over_total_electors_in_constituency,over_total_votes_polled_in_constituency,over_total_valid_votes_polled_in_constituency,total_electors,year,rank,winner,vote_share,next_votes,margin_votes
Andhra Pradesh,Kadapa,Y. S. AVINASH REDDY,MALE,39.0,GENERAL,YSRCP,Ceiling fan,1327619.0,1305129.0,598406.0,6737.0,605143.0,36.87,45.58,46.37,1641349.0,2024,1.0,True,45.77567654456401,542448.0,62695.0
Andhra Pradesh,Kadapa,CHADIPIRALLA BHUPESH SUBBARAMI REDDY,MALE,37.0,GENERAL,TDP,Bicycle,1327619.0,1305129.0,532358.0,10090.0,542448.0,33.05,40.86,41.56,1641349.0,2024,2.0,False,41.0331511564137,141039.0,
Andhra Pradesh,Kakinada,TANGELLA UDAY SRINIVAS (TEA TIME UDAY),MALE,38.0,GENERAL,JnP,Glass tumbler,1331386.0,1312583.0,718971.0,10728.0,729699.0,44.63,54.81,55.59,1634921.0,2024,1.0,True,54.8727142291001,500208.0,229491.0
Andhra Pradesh,Kakinada,CHALAMALASETTY SUNIL,MALE,54.0,GENERAL,YSRCP,Ceiling fan,1331386.0,1312583.0,495188.0,5020.0,500208.0,30.6,37.57,38.11,1634921.0,2024,2.0,False,37.61519563424056,21109.0,
Andhra Pradesh,Kurnoolu,BASTIPATI NAGARAJU PANCHALINGALA,MALE,45.0,GENERAL,TDP,Bicycle,1339542.0,1320269.0,650335.0,8579.0,658914.0,38.22,49.19,49.91,1724191.0,2024,1.0,True,49.51336809991133,547616.0,111298.0
Andhra Pradesh,Kurnoolu,B Y RAMAIAH,MALE,57.0,GENERAL,YSRCP,Ceiling fan,1339542.0,1320269.0,543801.0,3815.0,547616.0,31.76,40.88,41.48,1724191.0,2024,2.0,False,41.150002254317016,70373.0,
Andhra Pradesh,Machilipatnam,BALASHOWRY VALLABHANENI,MALE,55.0,GENERAL,JnP,Glass tumbler,1315489.0,1299878.0,712149.0,12290.0,724439.0,47.04,55.07,55.73,1540045.0,2024,1.0,True,55.216218852991304,501260.0,223179.0
Andhra Pradesh,Machilipatnam,SIMHADRI CHANDRA SEKHAR RAO,MALE,70.0,GENERAL,YSRCP,Ceiling fan,1315489.0,1299878.0,495211.0,6049.0,501260.0,32.55,38.1,38.56,1540045.0,2024,2.0,False,38.2056762022067,31825.0,
Andhra Pradesh,Nandyal,DR BYREDDY SHABARI,FEMALE,40.0,GENERAL,TDP,Bicycle,1410776.0,1393721.0,689417.0,11714.0,701131.0,40.66,49.7,50.31,1724191.0,2024,1.0,True,49.92324222560519,589156.0,111975.0
Andhra Pradesh,Nandyal,POCHA BRAHMANANDA REDDY,MALE,66.0,GENERAL,YSRCP,Ceiling fan,1410776.0,1393721.0,583155.0,6001.0,589156.0,34.17,41.76,42.27,1724191.0,2024,2.0,False,41.95018861905786,56204.0,
Andhra Pradesh,Narsapuram,BHUPATHI RAJU SRINIVASA VARMA (B.J.P.VARMA),MALE,56.0,GENERAL,BJP,Lotus,1232553.0,1223597.0,699382.0,8118.0,707500.0,48.0,57.4,57.82,1473811.0,2024,1.0,True,57.46071555037213,430636.0,276864.0
Andhra Pradesh,Narsapuram,UMABALA GUDURI,FEMALE,57.0,GENERAL,YSRCP,Ceiling fan,1232553.0,1223597.0,426037.0,4599.0,430636.0,29.22,34.94,35.19,1473811.0,2024,2.0,False,34.97477413674919,35237.0,
Andhra Pradesh,Narsaraopet,LAVU SRIKRISHNA DEVARAYALU,MALE,41.0,GENERAL,TDP,Bicycle,1504877.0,1488370.0,798097.0,9899.0,807996.0,46.54,53.69,54.29,1736162.0,2024,1.0,True,53.88188206077879,648267.0,159729.0
Andhra Pradesh,Narsaraopet,ANIL KUMAR POLUBOINA,MALE,44.0,GENERAL,YSRCP,Ceiling fan,1504877.0,1488370.0,642186.0,6081.0,648267.0,37.34,43.08,43.56,1736162.0,2024,2.0,False,43.23022148363963,18046.0,
Andhra Pradesh,Nellore,PRABHAKAR REDDY VEMIREDDY,MALE,68.0,GENERAL,TDP,Bicycle,1378697.0,1360072.0,750771.0,15431.0,766202.0,44.73,55.57,56.34,1712840.0,2024,1.0,True,55.69749260167383,520300.0,245902.0
Andhra Pradesh,Nellore,VENUMBAKA VIJAYASAI REDDY,MALE,66.0,GENERAL,YSRCP,Ceiling fan,1378697.0,1360072.0,514375.0,5925.0,520300.0,30.38,37.74,38.26,1712840.0,2024,2.0,False,37.82214794616941,54844.0,
Andhra Pradesh,Ongole,MAGUNTA SREENIVASULU REDDY,MALE,70.0,GENERAL,TDP,Bicycle,1425958.0,1409009.0,689829.0,12065.0,701894.0,43.47,49.22,49.81,1614525.0,2024,1.0,True,49.352207192447835,651695.0,50199.0
Andhra Pradesh,Ongole,DR CHEVIREDDY BHASKAR REDDY,MALE,51.0,GENERAL,YSRCP,Ceiling fan,1425958.0,1409009.0,644052.0,7643.0,651695.0,40.36,45.7,46.25,1614525.0,2024,2.0,False,45.8225695992305,26722.0,
Andhra Pradesh,Rajahmundry,DAGGUBATI PURANDHESHWARI,FEMALE,67.0,GENERAL,BJP,Lotus,1329162.0,1300862.0,718641.0,7874.0,726515.0,44.74,54.66,55.85,1623852.0,2024,1.0,True,54.81903301675021,487376.0,239139.0
Andhra Pradesh,Rajahmundry,DR. GUDURI SRINIVAS,MALE,60.0,GENERAL,YSRCP,Ceiling fan,1329162.0,1300862.0,483172.0,4204.0,487376.0,30.01,36.67,37.47,1623852.0,2024,2.0,False,36.77485122202796,32508.0,
Andhra Pradesh,Rajampet,P V MIDHUN REDDY,MALE,46.0,GENERAL,YSRCP,Ceiling fan,1337920.0,1321539.0,639111.0,5733.0,644844.0,38.67,48.2,48.79,1667385.0,2024,1.0,True,48.377607677470614,568773.0,76071.0
Andhra Pradesh,Rajampet,NALLARI KIRAN KUMAR REDDY,MALE,63.0,GENERAL,BJP,Lotus,1337920.0,1321539.0,557030.0,11743.0,568773.0,34.11,42.51,43.04,1667385.0,2024,2.0,False,42.670594828420505,53300.0,
Andhra Pradesh,Srikakulam,KINJARAPU RAMMOHAN NAIDU,MALE,36.0,GENERAL,TDP,Bicycle,1241169.0,1211081.0,734501.0,19827.0,754328.0,45.81,60.78,62.29,1646686.0,2024,1.0,True,61.04528173014827,426427.0,327901.0
Andhra Pradesh,Srikakulam,TILAK PERADA,MALE,50.0,GENERAL,YSRCP,Ceiling fan,1241169.0,1211081.0,420394.0,6033.0,426427.0,25.9,34.36,35.21,1646686.0,2024,2.0,False,34.509333277224144,24605.0,
Andhra Pradesh,Thirupathi,GURUMOORTHY MADDILA,MALE,38.0,SC,YSRCP,Ceiling fan,1387466.0,1366452.0,626702.0,5526.0,632228.0,36.54,45.57,46.27,1730318.0,2024,1.0,True,45.72846221167825,617659.0,14569.0
Andhra Pradesh,Thirupathi,VARA PRASAD RAO VELAGAPALLI,MALE,71.0,SC,BJP,Lotus,1387466.0,1366452.0,608494.0,9165.0,617659.0,35.7,44.52,45.2,1730318.0,2024,2.0,False,44.6747000151891,65523.0,
Andhra Pradesh,Vijayawada,KESINENI SIVANATH (CHINNI),MALE,55.0,GENERAL,TDP,Bicycle,1371102.0,1355212.0,784722.0,9432.0,794154.0,46.59,57.92,58.6,1704469.0,2024,1.0,True,58.2051516961606,512069.0,282085.0
Andhra Pradesh,Vijayawada,KESINENI SRINIVAS (NANI),MALE,58.0,GENERAL,YSRCP,Ceiling fan,1371102.0,1355212.0,505637.0,6432.0,512069.0,30.04,37.35,37.79,1704469.0,2024,2.0,False,37.53057193428637,24106.0,
Andhra Pradesh,Visakhapatnam,SRIBHARAT MATHUKUMILI,MALE,35.0,GENERAL,TDP,Bicycle,1391130.0,1381812.0,893884.0,13583.0,907467.0,46.98,65.23,65.67,1931398.0,2024,1.0,True,65.42070829954042,403220.0,504247.0
Andhra Pradesh,Visakhapatnam,JHANSI LAKSHMI. BOTCHA.,FEMALE,61.0,GENERAL,YSRCP,Ceiling fan,1391130.0,1381812.0,397821.0,5399.0,403220.0,20.88,28.99,29.18,1931398.0,2024,2.0,False,29.06875732179868,30267.0,
Andhra Pradesh,Vizianagaram,APPALANAIDU KALISETTI,MALE,50.0,GENERAL,TDP,Bicycle,1307632.0,1275992.0,729284.0,13829.0,743113.0,46.71,56.83,58.24,1590994.0,2024,1.0,True,57.19588806396345,493762.0,249351.0
Andhra Pradesh,Vizianagaram,BELLANA CHANDRASEKHAR,MALE,62.0,GENERAL,YSRCP,Ceiling fan,1307632.0,1275992.0,487691.0,6071.0,493762.0,31.03,37.76,38.7,1590994.0,2024,2.0,False,38.003851476476285,23250.0,
Arunachal Pradesh,Arunachal East,TAPIR GAO,MALE,59.0,ST,BJP,Lotus,326063.0,318548.0,140715.0,4866.0,145581.0,38.48,44.65,45.7,378357.0,2024,1.0,True,45.00978534084831,115160.0,30421.0
