sr_no,party_type,abbreviation,party_symbol,party_name,year
389,U,KMGRKSNP,Coconut farm,Kamgaar Kisan Party,2024
390,U,KMSMP,Bucket,Kamera Samaj Party,2024
391,U,KMSP,"Ganna kisan,Nail cutter,Tiller",Kisan Mazdoor Sangharsh Party,2024
392,U,KNBHJSWP,Diamond,Kunbi Bahujan Sawrajya Party,2024
393,U,KP,Ship,Kannada Paksha,2024
394,U,KPJD,Truck,Karpoori Janta Dal,2024
395,U,KPPR,Sewing machine,Karnataka Praja Party (RaithaParva),2024
396,U,KPPU,"Black board,Boat with man and sail,Ship,Walking stick",Kamatapur People’s Party (United),2024
397,U,KRJAP,Saw,Kranti Janshakti Party,2024
398,U,KRS,Battery Torch,Karnataka Rashtra Samithi,2024
399,U,KRUNDSVKRA,Coconut farm,Karunada Sevakara Party,2024
400,U,KRUP,Chappals,Krupaa Party,2024
401,U,KS,Bat,Kalinga Sena,2024
402,U,KSNVSWP,Hockey and ball,Kisan Vishwa Party,2024
403,U,KTKD,Plate containing food,Kisan Kranti Dal,2024
404,U,LBCP,"Ring,Well",Liberation Congress Party,2024
405,U,LCPY,"Bucket,Gas cylinder",Loktantra Congress Party,2024
406,U,LGP,"Box,CCTV Camera",Log Party,2024
407,U,LJD,Whistle,Loktantrik Janta Dal,2024
408,U,LJSPty,Scissors,Lok Jan Sangharsh Party,2024
409,U,LKHAP,Apple,Lokhit Adhikar Party,2024
410,U,LKRJJNTP,Auto- rickshaw,Lokrajya Janata Party,2024
411,U,LKSNP,Whistle,Lok Sena Party,2024
412,U,LKSWRJP,"Gas cylinder,Sewing machine",Lok Swarajya Party,2024
413,U,LLRP,Matchbox,Loktantrik Lok Rajyam Party,2024
414,U,LOKJANP,Triangle,Loktantrik Janshakti Party,2024
415,U,LPRSTRP,Biscuit,Lokpriya Rashtrawadi Party,2024
416,U,LSD,Gas cylinder,Lok Sewa Dal,2024
417,U,LSEP,Sewing machine,Lokshahi Ekta Party,2024
418,U,LSMP,Ganna kisan,Lok Samaj Party,2024
419,U,LSNP,Telephone,Loktantrik Samajik Nyay Party,2024
420,U,LSWP,Whistle,Loktantrik Samajwadi Party,2024
421,U,MADP,Auto- rickshaw,Moulik Adhikar Party,2024
422,U,MAHMMK,"Air conditioner,Chappals",Mahathma Makkal Munnetra Kazhakam,2024
423,U,MAHP,Plastering trowel,Mahanwadi Party,2024
424,U,MAIIJP,Whistle,Mission All India Independent Justice Party,2024
425,U,MANAK,Pressure cooker,Makkal Nalvaazhvuk Katchi,2024
426,U,MANBP,Room cooler,Manviya Bharat Party,2024
427,U,ManKP,Soap dish,Manav Kranti Party,2024
428,U,MARD,Boat with man and sail,Mera Adhikaar Rashtriya Dal,2024
429,U,MBCOI,Scissors,Most Backward Classes Of India,2024
430,U,MBMP,Apple,Mera Bharat Mahan Party,2024
431,U,MCPI,Computer,Marxist Communist Party of India (United),2024
432,U,MDMK,Matchbox,Marumalarchi Dravida Munnetra Kazhagam,2024
433,U,MEDP,Flute,Megh Desham Party,2024
434,U,mimm,Gas cylinder,Mithilanchal Mukti Morcha,2024
435,U,MJLMSMJP,Bat,Majloom Samaj Party,2024
436,U,MKUP,Scissors,Majdoor Kisan Union Party,2024
437,U,MLCNG,"Auto- rickshaw,Ganna kisan",Malwa Congress,2024
438,U,MLD,Diamond,Manas Lokshakti Dal,2024
439,U,MLPOIRF,Bat,Marxist Leninist Party of India (Red Flag),2024
440,U,MMKA,Gas cylinder,Tamizhaga Murpokku Makkal Katchi,2024
441,U,MNDB,Boat with man and sail,Mission Naya Digant Party,2024
442,U,MNDP,Crane,Minorities Democratic Party,2024
443,U,MNGSMJP,Bat,Mang Samaj Party,2024
444,U,MNK,Bead necklace,Makkal Nala Kazhagam,2024
445,U,MOSP,"Batsman,Hockey and ball",Moolniwasi Samaj Party,2024
446,U,MPC,Electric bulb,Mizoram People's Conference,2024
447,U,MPJVP,Pressure cooker,Madhya Pradesh Jan Vikas Party,2024
448,U,MPOI,"Black board,Whistle",Mulnibasi Party of India,2024
449,U,MSMDNP,Letter box,Manav Samadhan Party,2024
450,U,MTP,Glass tumbler,Maa Telangana Party,2024
451,U,MTRSP,Camera,Mana Telangana Rashtra Samaikya Party,2024
452,U,MVA,"Gas cylinder,Road roller,T.V. Remote,Whistle",Maharashtra Vikas Aghadi,2024
453,U,MwSP,"Diamond,Scissors",Manavtawadi Samaj Party,2024
454,U,NADLMMKLK,Auto- rickshaw,Naadaalum Makkal Katchi,2024
455,U,nafp,Auto- rickshaw,National Future Party,2024
456,U,NAPt,Apple,National Apni Party,2024
457,U,NATJUP,"Telephone,Truck",Nationalist Justice Party,2024
458,U,NAUP,Diamond,National Awami United Party,2024
459,U,NavaP,"Glass tumbler,Hour glass,Mike",Navataram Party,2024
460,U,NBBHNRSVP,"Gas cylinder,Television",Naba Bharata Nirmana Seva Party,2024
461,U,NBEP,"Auto- rickshaw,Gas cylinder,Spanner,Television,Whistle",Naki Bharatiya Ekta Party,2024
462,U,NBHS,"Gas cylinder,Matchbox,Tiller",Navabharath Sena,2024
463,U,NBNGPLPP,Auto- rickshaw,North Bengal People’s Party,2024
464,U,NBPP,Gas cylinder,National Black Panther Party,2024
465,U,NDS,"Apple,Diamond",Nyaydharmsabha,2024
466,U,NETHNP,Coconut farm,Neethi Nijayithi Party,2024
467,U,NGPP,Pot,New Generation People’s Party,2024
468,U,NIDP,"Air conditioner,Battery Torch",Naam Indiar Party,2024
469,U,NIP,Baby walker,New India Party,2024
470,U,NIUP,"Air conditioner,Chain,Ganna kisan",New India United Party,2024
471,U,NJMP,Whistle,National Janmandal Party,2024
472,U,NJNDL,Letter box,National Jan Dal,2024
473,U,NLP,Ganna kisan,National Loktantrik Party,2024
474,U,NMSP,Hockey and ball,National Maha Sabha Party,2024
475,U,NNKP,"Gas Stove,Glass tumbler,Hand cart,Plastering trowel,Road roller",National Nava Kranthi Party,2024
476,U,NNRP,Shoe,Naari Nar Rakshak Party,2024
477,U,NP,Throwing a javelin,National Party,2024
478,U,NPM,Boat with man and sail,Navyug Pragatisheel Morcha,2024
479,U,NPT,Bat,Navodayam Party,2024
480,U,NRCP,"Bucket,Glass tumbler",Navarang Congress Party,2024
481,U,NRPI,Road roller,National Republic Party Of India,2024
482,U,NRSP,Trumpet,New Rashtriya Samaj Party,2024
483,U,NSBHP,Ship,Navsarjan Bharat Party,2024
484,U,NSCBRAP,Box,Netaji Subhash Chander Bose Rashtriya Azad Party,2024
485,U,NTK,Mike,Naam Tamilar Katchi,2024
486,U,NWLBRP,Ring,New Labour Party,2024
487,U,NWLP,Diamond,National World Leader Party,2024
488,U,NYP,Auto- rickshaw,National Youth Party,2024
489,U,ODSHJP,Flute,Odisha Janata Party,2024
490,U,PAP,Diamond,Prajatantra Aadhar Party,2024
491,U,PASIP,Sewing machine,Public Adhikar Socialist Indian Party,2024
492,U,PBI,"Flute,Plate containing food,Ship","Proutist Bloc, India",2024
493,U,PBLBRP,Air conditioner,Prabal Bharat Party,2024
494,U,PBM,"Air conditioner,Kettle",Prabuddhwadi Bahujan Morcha,2024
495,U,PCHVP,Table,Paschimanchal Vikas Party,2024
496,U,PDS,Pen nib with seven rays,Party for Democratic Socialism,2024
497,U,PECP,Glass tumbler,Peace Party,2024
498,U,PEOPRTCP,Brief case,People Protection Party,2024
499,U,PEP,Pressure cooker,Praja Ektha Party,2024
500,U,PGSP,Helmet,Pragatisheel Samaj Party,2024
501,U,PHCPP,Gas cylinder,Pehchan People’s Party,2024
502,U,PHJSP,"Batsman,Ganna kisan,Stumps,Whistle",Prahar Janshakti Party,2024
503,U,PLTIJSTP,Kettle,Political Justice Party,2024
504,U,PMK,Mango,Pattali Makkal Katchi,2024
505,U,PMPT,"Batsman,Diesel pump",Purvanchal Mahapanchayat,2024
506,U,pms,Auto- rickshaw,Pragatisheel Magahi Samaj,2024
507,U,PMSP,Ganna kisan,Pragatisheel Manav Samaj Party,2024
508,U,PMTDK,Chappals,Puthiya Makkal Tamil Desam Katchi,2024
509,U,PNGDSP,Nagrik,Punnagai Desam Party,2024
510,U,PNJBNP,"Diamond,Football player",Punjab National Party,2024
511,U,PPI,Almirah,Parcham Party of India,2024
512,U,PPID,"Air conditioner,Auto- rickshaw,Basket,Basket containing Fruits,Black board,School bag",Peoples Party of India (Democratic),2024
513,U,PPIS,Grapes,People's Party of India(secular),2024
514,U,PPOI,"Baby walker,Flute,Television",Pyramid Party of India,2024
515,U,PPSP,Air conditioner,Pachchasi Parivartan Samaj Party,2024
516,U,PRCP,"Auto- rickshaw,Bat,Bead necklace,Carrom board,Ganna kisan,Ship",Prabuddha Republican Party,2024
517,U,PRJP,Ring,Prithviraj Janshakti Party,2024
518,U,PRJPP,Boat with man and sail,Praja Prasthanam Party,2024
519,U,PRJVLGUP,Camera,Praja Velugu Party,2024
520,U,PRJVNIP,Matchbox,Prajavani Party,2024
521,U,PRSHP,Pot,Praja Shanthi Party,2024
522,U,PRVPOI,Air conditioner,Parivartan Party of India,2024
523,U,PS,Almirah,Prajarajya Samithi,2024
524,U,PSJP,Auto- rickshaw,Parivartan Samaj Party,2024
525,U,PSPU,Whistle,Pichhara Samaj Party United,2024
526,U,PSS,Ganna kisan,Proutist Sarva Samaj,2024
527,U,PUNP,Whistle,People’s Union Party,2024
528,U,PuPP,"Auto- rickshaw,Laptop,Pencil sharpner,Sewing machine,Syringe",Public Political Party,2024
529,U,RACHEP,Television,Rashtrawadi Chetna Party,2024
530,U,RaCP,Hockey and ball,Rashtriya Congress(J) Party,2024
531,U,RaJPa,"Batsman,Computer,Telephone",Rashtriya Jankranti Party,2024
532,U,RAJUP,Walking stick,Rashtriya Janutthan Party,2024
533,U,RaNP,"Bucket,Pot",Rashtra Nirman Party,2024
534,U,RasLP,Coconut farm,Rashtriya Lokswaraj Party,2024
535,U,RASMARP,"Batsman,Rubber stamp,Trumpet",Rashtriya Maratha Party,2024
536,U,RASTSA,Chakki,Rashtriya Janshakti Samaj Party,2024
537,U,RATLJNTAP,Whistle,Rastriya Atal Janta Party,2024
538,U,raup,Cauliflower,Rashtriya Uttarakhand Party,2024
539,U,RBS,"Sewing machine,Whistle",Republican Bahujan Sena,2024
540,U,RCMP,Ring,Rani Chennamma Party,2024
541,U,RDD,Boat with man and sail,Rashtra Dharak Dal,2024
542,U,RGD,Batsman,Rashtriya Garib Dal,2024
543,U,RGOP,Saw,Rashtriya Gondvana Party,2024
544,U,RJ,Scissors,Rashtriya Janmorcha,2024
545,U,RJANSWP,Water melon,Rashtriya Jansangharsh Swaraj Party,2024
546,U,RJAVP,Electric pole,Rashtriya Jatigat Aarakshan Virodhi Party,2024
547,U,RJBP,Cauliflower,Rashtriya Jansambhavna Party,2024
548,U,RJBVP,Table,Rashtriya Jantantrik Bharat Vikas Party,2024
549,U,RJKMP,Flute,Rashtriya Jan Karmath Party,2024
550,U,RJKPS,Boat with man and sail,Rashtriya Jan Kalyan Party Secular,2024
551,U,RJnJnP,Bat,Rashtriya Jan Jan Party,2024
552,U,RJnPty,Sewing machine,Rashtriya Jansena Party,2024
553,U,RJP(E),Glass tumbler,Rashtriya Janshakti Party(Eklavya),2024
554,U,RJsbhP,Coconut farm,Rashtriya Jansabha Party,2024
555,U,RJSNP,Coat,Rashtriya Janhit Sangharsh Party,2024
556,U,RJSPS,Chakki,Rashtriya Janshakti Party (Secular),2024
557,U,RJSTHNRJP,Binoculars,Rajasthan Raj Party,2024
558,U,RJUP,Auto- rickshaw,Rashtriya Jan Utkarsh Party,2024
559,U,RKBP,"Camera,Ganna kisan,Pressure cooker,Ring,Road roller",Rashtriya Kisan Bahujan Party,2024
560,U,RKSYPP,Plate containing food,Rishivadi Karm Sheel Young Parmarthi Party,2024
561,U,RLD,Hand pump,Rashtriya Lok Dal,2024
562,U,RLPI,Green chilli,Rashtravadi Loktantrik Party (India),2024
563,U,RMBP,"Chappals,Diamond,Pressure cooker",Rashtriya Mahaswaraj Bhumi Party,2024
564,U,RMEP,Truck,Rashtriya Mazdoor Ekta Party,2024
565,U,RMGLMP,Bucket,Rashtriya Mangalam Party,2024
566,U,RNVP,Apple,Rashtriya Narayanwadi Vikas Party,2024
567,U,RPC(S),"Diamond,Ganna kisan,Gas cylinder,Glass tumbler,Ring",Rashtriya Praja Congress (Secular),2024
568,U,RPI,"Apple,Carrom board,Letter box,Ring",Republican Party of India,2024
569,U,RPI(A),"Almirah,Auto- rickshaw,Bat,Coconut farm,Diamond,Gas cylinder,Head phone,Laptop,Pressure cooker,Sewing machine,Ship",Republican Party of India (A),2024
570,U,RPI(S),T.V. Remote,Republican Party of India (Sivaraj),2024
571,U,RPIA,Scissors,Radical Party of India (Ambedkarist),2024
572,U,RPIB,Balloon,Republican Party of India Bharatha,2024
573,U,RPIK,"Gas cylinder,Gas Stove,Television",Republican Party of India (Karnataka),2024
574,U,RPIS,Gas Stove,Republican Party of India (Social),2024
575,U,RPPRINAT,"Basket containing Fruits,Battery Torch,Dolli,Ganna kisan,Hockey and ball,Jackfruit,Pen nib with seven rays,School bag,Ship",Republican Party of India (Athawale),2024
576,U,rpsn,Gas cylinder,Republican Sena,2024
577,U,RPWP,CCTV Camera,Rashtriya Power Party,2024
578,U,RRP,Balloon,Rashtriya Rashtrawadi Party,2024
579,U,RRS,Diamond,Rayalaseema Rashtra Samithi,2024
580,U,RSD,Whistle,Rashtriya Sawarn Dal,2024
581,U,RSHSNSP,Almirah,Rashtriya Sanskriti Party,2024
582,U,RSHTBHUP,Truck,Rashtriy Bahujan Party,2024
583,U,RSHTLKM,Gas cylinder,Rashtriya Lok Morcha,2024
584,U,RSHTMNVP,Nagrik,Rashtriya Manav Party,2024
585,U,RSHTSMNYPP,"Air conditioner,Baby walker",Rashtra Samanya Praja Party,2024
586,U,RSMD,Scissors,Rashtriya Samanta Dal,2024
587,U,RSOSP,"Ganna kisan,Hockey and ball",Rashtriya Shoshit Samaj Party,2024
588,U,RSPS,"Almirah,Black board,Diamond,Refrigerator,Television,Whistle",Rashtriya Samaj Paksha,2024
589,U,RSSCMJP,Envelope,Rashtriya Secular Majlis Party,2024
590,U,RSSDP,Batsman,Rashtriya Sant Sandesh Party,2024
591,U,RSTHNDEKD,Auto- rickshaw,Rashtriya Hind Ekta Dal,2024
592,U,RSTJLKPS,Cot,Rashtrawadi Janlok Party (Satya),2024
593,U,RSTRSMPRP,Helmet,Rashtra Samarpan Party,2024
594,U,RSTRSNTP,Diamond,Rashtriya Sanatan Party,2024
595,U,RSTRSURKP,Bricks,Rashtriya Suraksha Party,2024
596,U,RSTWDIBHRT,"Air conditioner,Diamond",Rashtravadi Bharat Party,2024
597,U,RSUP,Truck,Rashtra Uday Party,2024
598,U,RSVP,Trumpet,Rashtriya Samta Vikas Party,2024
599,U,RSWD,Almirah,Rashtra Sewa Dal,2024
600,U,RTBHP,Tiller,Raita Bharat Party,2024
601,U,RTJAWP,Diamond,Rashtriya Jan Awaz Party,2024
602,U,RTJNMS,Whistle,Rashtriya Janmanch (Secular),2024
603,U,RTJSD,Battery Torch,Rashtriya Jansanchar Dal,2024
604,U,RTORP,"Letter box,Pressure cooker",Right to Recall Party,2024
605,U,RTPP,Sewing machine,Rashtriya Republican Party,2024
606,U,RtrJP,Cot,Rashtriya Janta Party,2024
607,U,RTRYDVBHMP,"Apple,Flute",Rashtriya Devbhumi Party,2024
608,U,RTSMJD,"Ring,Whistle",Rashtriya Samaj Dal (R),2024
609,U,RUC,"Auto- rickshaw,Bat,Coconut farm,Gas cylinder",Rashtriya Ulama Council,2024
610,U,RViP,Gas cylinder,Rashtriya Vikalp Party,2024
611,U,RVP,Ganna kisan,Rashtriya Vikas Party,2024
612,U,SAAFP,Brush,Sathi Aur Aapka Faisala Party,2024
613,U,SABJANP,Electric pole,Sabhi Jan Party,2024
614,U,SaBP,Almirah,Sankhyanupati Bhagidari Party,2024
615,U,SACP,Whistle,Sabse Achchhi Party,2024
616,U,SACSP,Stethoscope,Sacho Sach Party,2024
617,U,SAD(M),Bucket,Shiromani Akali Dal (Amritsar)(Simranjit Singh Mann),2024
618,U,SAJP,"Cauliflower,Coconut farm,Tiller",Samajwadi Janata Party(Karnataka),2024
619,U,SamAP,Petrol pump,Saman Adhikar Party,2024
620,U,SAMO,Battery Torch,Samruddha Odisha,2024
621,U,SamSP,Electric pole,Samata Samadhan Party,2024
622,U,SANBP,Diamond,Sanyukt Bharat Paksh,2024
623,U,SANKISVP,Ganna kisan,Sanyukt Kisan Vikas Party,2024
624,U,SAP,"Air conditioner,Almirah,Batsman,Battery Torch,Box,Coat,Flute,Gas cylinder,Nagrik,Sewing machine,Telephone",Samata Party,2024
625,U,SaPP,Scissors,Samaj Parivartan Party,2024
626,U,SaRaPa,"Battery Torch,Ring",Sanman Rajkiya Paksha,2024
627,U,SaSP,"Bangles,CCTV Camera,Computer,Ganna kisan,Gas cylinder,Grapes,Whistle",Sainik Samaj Party,2024
628,U,SaSPa,Auto- rickshaw,Sarvjan Samta Party,2024
629,U,SatBP,Black board,Satya Bahumat Party,2024
630,U,SBKP,Auto- rickshaw,Sampoorna Bharat Kranti Party,2024
631,U,SBM,Television,Samaj Bhalai Morcha,2024
632,U,SBNP,Gas cylinder,Swaraj Bhartiya Nyay Party,2024
633,U,SBSP,Walking stick,Suheldev Bharatiya Samaj Party,2024
634,U,SBSPSP,Almirah,Subhashwadi Bhartiya Samajwadi Party (Subhas Party),2024
635,U,SDC,Ship,Secular Democratic Congress,2024
636,U,SDPI,"Auto- rickshaw,Gas cylinder,Sewing machine",Social Democratic Party Of India,2024
637,U,SERSNMH,"Ganna kisan,Gas Stove",Swarajya Sena (Maharashtra),2024
638,U,SJAP,Gas cylinder,Sarvjan Awaz Party,2024
639,U,SJPA,"Gas cylinder,Whistle",Sarva Janata Party,2024
640,U,SJPI,Nagrik,Social Justice Party of India,2024
641,U,SJSMP,Laptop,Sajag Samaj Party,2024
642,U,SJVP,Apple,Sanjhi Virasat Party,2024
643,U,SKJLP,"Ship,Television",Sakala Janula Party,2024
644,U,SLDP,Air conditioner,Shiromani Lok Dal Party,2024
645,U,SMARTIP,Auto- rickshaw,Smart Indians Party,2024
646,U,SMBSP,"Bench,Sofa",Samrat Mihir Bhoj Samaj Party,2024
647,U,SMJDRP,"Bat,Gas cylinder",Samajhdar Party,2024
648,U,SMJSKTP,"Almirah,Scissors",Samaj Shakti Party,2024
649,U,SMJSNGP,School bag,Samajik Sangharsh Party,2024
650,U,SMJVKP,"Electric pole,Ganna kisan",Samaj Vikas Kranti Party,2024
651,U,SMJWDLKPRS,Apple,Samajwadi Lok Parishad,2024
652,U,SMKNK,"Bead necklace,Gas cylinder,Ring",Samaniya Makkal Nala Katchi,2024
653,U,SMKP,Plastering trowel,Samyak Party,2024
654,U,SMNKJP,"Gas cylinder,Road roller,Ship",Samnak Janta Party,2024
655,U,SMSSMJP,Battery Torch,Samst Samaj Party,2024
656,U,SNHRABHRTP,Pen nib with seven rays,Sunahara Bharat Party,2024
657,U,SNYGWDIP,Bat,Sanyogwadi Party,2024
658,U,SP(I),"Air conditioner,Basket containing Fruits,Battery Torch,CCTV Camera,Coconut farm,Frock,Ganna kisan,Gas cylinder,Pot",Socialist Party (India),2024
659,U,SPAKP,Swing,Sapaks Party,2024
660,U,SPIP,Binoculars,Super Power India Party,2024
661,U,SPSTWDJAP,Bat,Spashtwadi Jan Aadhar Party,2024
662,U,SRKRP,Funnel,Swaraj Kranti Party,2024
663,U,SRPP,Flute,Sikkim Republican Party,2024
664,U,SRPSP,Jackfruit,Sardar Patel Siddhant Party,2024
665,U,SRSMJNP,Table,Sarva Samaj Janata Party,2024
666,U,SRVADID,Man blowing turha,Sarv Adi Dal,2024
667,U,SRVLKTSP,Apple,Sarvlokhit Samaj Party,2024
668,U,SRVRP,Diamond,Sarvar Party,2024
669,U,SSBD,"Gas cylinder,Scissors",Shakti Sena (Bharat Desh),2024
670,U,SSD,Saw,Shoshit Samaj Dal,2024
671,U,SSF,Table,Sehajdhari Sikh Party,2024
672,U,ssrd,Grapes,Sanatan Sanskriti Raksha Dal,2024
673,U,SSS,Diamond,Swarajya Shakti Sena,2024
674,U,STHSHKRVP,Gas cylinder,Saath Sahakar Vikas Party,2024
675,U,STWDRKSKP,Window,Satyawadi Rakshak Party,2024
676,U,SUCI,"Auto- rickshaw,Bat,Battery Torch,Gas cylinder,Glass tumbler,Pot,Pressure cooker,Saw",Socialist Unity Centre Of India (COMMUNIST),2024
677,U,SUSP,Glass tumbler,Sunder Samaj Party,2024
678,U,svjn,Dish antenna,Sarvjan Lok Shakti Party,2024
679,U,SVPP,"Mike,Whistle",Sardar Vallabhbhai Patel Party,2024
680,U,SVSAP,"Ludo,Tongs",Sarv Samaj Party,2024
681,U,SWAJANPA,Swing,Swatantra Jantaraj Party,2024
682,U,SWJP,Hand cart,Samajwadi Jan Parishad,2024
683,U,SWNTRABYKT,Nagrik,Swatantrata Abhivyakti Party,2024
684,U,SWP,Whistle,Swabhimani Paksha,2024
685,U,SWSSP,Glass tumbler,Swayam Shashan Party,2024
686,U,SWTNKSP,Ganna kisan,Swatantra Kisan Party,2024
687,U,SZPB,Pot,Supreme Zero Party of Bharat,2024
688,U,TAGRNP,Nagrik,The Agrani Party,2024
689,U,TCPY,Bat,Telugu Congress Party,2024
690,U,TJP,Battery Torch,Telangana Jaghir Party,2024
691,U,TK,Matchbox,Thakkam Katchi,2024
692,U,TLGNARJYS,Glass tumbler,Telangana Rajya Samithi,2024
693,U,TLGUNGP,Diamond,Telugu Nava Garjana Party,2024
694,U,TLRDSMTP,Rubber stamp,Telugu Rajadhikara Samiti Party,2024
695,U,TMC(M),Bicycle,Tamil Maanila Congress (Moopanar),2024
696,U,TMK,"Well,Whistle",Tamilar Makkal Katchi,2024
697,U,TMMDK,"Auto- rickshaw,Ship",Tamil Manila Murpokku Dravida Kazhagam,2024
698,U,TMNK,Matchbox,Tamilaga Makkal Nala Katchi,2024
699,U,TMNP,Computer,Tamilnadu Makkal Nalvazhvu Periyakkam,2024
700,U,TMTHK,Diamond,Tamilaga Makkal Thannurimai Katchi,2024
701,U,TNRMPI,Gas Stove,The National Road Map Party of India,2024
702,U,TPJRP,Hockey and ball,Telangana Prajaa Jeevana Rythu Party,2024
703,U,TPSP,"Road roller,Vacuum cleaner",Telangana Praja Shakthi Party,2024
704,U,TPSTP,"Battery Torch,Bricks,Ganna kisan,Pressure cooker",Tipu Sultan Party,2024
705,U,TRP,"Almirah,Mike",Telangana Republican Party,2024
706,U,TRPS,Telephone,Telangana Rashtra Punahnirmana Samithi,2024
707,U,TSP,Chapati roller,Telangana Sakalajanula Party,2024
708,U,TTPty,Auto- rickshaw,Twenty 20 Party,2024
709,U,UKKD,"Diamond,Ice cream,Walking stick",Uttarakhand Kranti Dal,2024
710,U,UMEDPI,Auto- rickshaw,Ummeed Party of India,2024
711,U,UMK,"Auto- rickshaw,Gas cylinder",Ulzaipali Makkal Katchy,2024
712,U,UPJP,"Auto- rickshaw,Chappals",Uttama Prajaakeeya Party,2024
713,U,UPP,Scissors,Uttarakhand Parivartan Party,2024
714,U,UPRP,Battery Torch,Uttar Pradesh Republican Party,2024
715,U,URPI,"Gas cylinder,Pot",United Republican Party of India,2024
716,U,US,Boat with man and sail,Utkal Samaj,2024
717,U,UTRASMNTP,Letter box,Uttarakhand Samanta Party,2024
718,U,VBA,"Air conditioner,Almirah,Auto- rickshaw,Ganna kisan,Gas cylinder,Kettle,Pressure cooker,Road roller,Whistle",Vanchit Bahujan Aaghadi,2024
719,U,VCK,"Auto- rickshaw,Pot,T.V. Remote",Viduthalai Chiruthaigal Katchi,2024
720,U,VINPA,Gas cylinder,Vikas India Party,2024
721,U,VIP,Auto- rickshaw,Vanchitsamaj Insaaf Party,2024
722,U,VIPty,Ganna kisan,Vikas Insaf Party,2024
723,U,VKK,Coconut farm,Viduthalai Kalam Katchi,2024
724,U,VKRMSP,Spanner,Vishwa Kalyan Rashtriya Manav Samaj Party,2024
725,U,VKVIP,"Bat,Diamond,Football player,Gas cylinder,Grapes,Helmet,Ship",Viro Ke Vir Indian Party,2024
726,U,VPI,"Auto- rickshaw,Gas cylinder,Gas Stove",Voters Party International,2024
727,U,VRA,Scissors,Vidarbha Rajya Aghadi,2024
728,U,VSIP,Lady purse,Vikassheel Insaan Party,2024
729,U,VSJNP,Air conditioner,Vishal Janta Party,2024
730,U,VSP,"Ganna kisan,Matchbox",Vishva Shakti Party,2024
731,U,VTIP,Chappals,Vidiyalai Thedum Indhiyargal Party,2024
732,U,VTIPP,Envelope,Voters Independent Party,2024
733,U,VTRP,Bat,Vidhyarthula Rajakiya Party,2024
734,U,VTVTK,Pestle and mortar,Veerath Thiyagi Viswanathadoss Thozhilalarkal Katchi,2024
735,U,WAP,Chimney,Wazib Adhikar Party,2024
736,U,WPOI,Gas cylinder,Welfare Party Of India,2024
737,U,YBS,Telephone,Yuva Bihar Sena,2024
738,U,YGATLSIP,Road roller,Yuga Thulasi Party,2024
739,U,YIPP,Flute,Youth India Peace Party,2024
740,U,YKP,Water melon,Yuva Krantikari Party,2024
741,U,YSEP,Mike,Young Star Empowerment Party,2024
742,U,YVP,Ganna kisan,Yuva Vikas Party,2024
743,U,YVTRP,Gas cylinder,Yuva Taram Party,2024
744,Z,IND,"Air conditioner,Almirah,Apple,Auto- rickshaw,Baby walker,Balloon,Bangles,Basket containing Fruits,Bat,Batsman,Battery Torch,Bead necklace,Belt,Bench,Bicycle pump,Binoculars,Biscuit,Black board,Boat with man and sail,Box,Bread,Brick,Bricks,Brief case,Brush,Bucket,Cake,Calculator,Camera,Can,Capsicum,Carpet,Carrom board,Cauliflower,CCTV Camera,Chain,Chakki,Chapati roller,Chappals,Chess board,Chimney,Clip,Coat,Coconut farm,Colour tray & brush,Computer,Computer mouse,Cot,Crane,Cube,Cutting pliers,Diamond,Diesel pump,Dish antenna,Dolli,Door bell,Door handle,Drill machine,Dumbbells,Dustbin,Ear rings,Electric pole,Envelope,Flute,Football player,Fountain,Frock,Frying pan,Funnel,Ganna kisan,Gas cylinder,Gas Stove,Gift pack,Ginger,Glass tumbler,Gramophone,Grapes,Green chilli,Hand cart,Harmonium,Head phone,Helmet,Hockey and ball,Hour glass,Ice cream,Immersion rod,Iron,Jackfruit,Kettle,Lady finger,Lady purse,Laptop,Latch,Letter box,Lighter,Ludo,Lunch box,Matchbox,Mike,Mixee,Nagrik,Nail cutter,Neck tie,Noodles bowl,Pan,Pears,Peas,Pen drive,Pen nib with seven rays,Pen stand,Pencil box,Pencil sharpner,Pendulum,Pestle and mortar,Petrol pump,Phone charger,Plastering trowel,Plate containing food,Pot,Pressure cooker,Refrigerator,Ring,Road roller,Robot,Room cooler,Rubber stamp,Safety pin,Saw,School bag,Scissors,Sewing machine,Ship,Shoe,Sitar,Slate,Soap dish,Socks,Sofa,Spanner,Stethoscope,Stool,Stumps,Swing,Syringe,T.V. Remote,Table,Tea filter,Telephone,Television,Tennis racket & ball ,Tent,Throwing a javelin,Tiller,Toffee,Toffees,Tongs,Tray,Triangle,Truck,Trumpet,Tube light,Typewriter,Tyres,Vacuum cleaner,Violin,Walking stick,Wall hook,Wallet,Water melon,Water tank,Well,Wheel barrow,Whistle,Window,Wool and Needle",Independent,2024
745,Z1,NOTA,NOTA,None of the Above,2024
Summary Statement,,,,,2024
Sl. No.,Party Type,No of Parties Participated,,,2024
1,NATIONAL PARTIES,6,,,2024
2,STATE PARTIES,47,,,2024
3,REGISTERED(UNRECOGNISED) PARTIES,690,,,2024
Disclaimer,,,,,2024
These statistical reports are prepared only for academic and research purposes from the secondary data filled in the Index Cards. The primary data is in the statutory forms maintained by the concerned Returning Officers and the data kept in statutory forms is final.,,,,,2024
