sr_no,party_type,abbreviation,party_symbol,party_name,year
83,U,AHFBK,"Air conditioner,Chess board",Akhil Hind Forward Bloc (Krantikari),2024
84,U,AHIMSASP,Whistle,Ahimsa Socialist Party,2024
85,U,AHNP,"Chapati roller,Sofa",Aihra National Party,2024
86,U,AIAM,Pen nib with seven rays,All India Arya Mahasabha,2024
87,U,AIBPSP,Ring,All India Backward People Sunami Party,2024
88,U,AIJYMKG,Mixee,All India Jananayaka Makkal Kazhagam,2024
89,U,AIMEIEM,"Apple,Ship",All India Majlis-E-Inquilab-E-Millat,2024
90,U,AIMEP,Diamond,All India Mahila Empowerment Party,2024
91,U,AIMK,Boat with man and sail,Anaithu India Makkal Katchi,2024
92,U,AimPP,Battery Torch,Aim Political Party,2024
93,U,aimpr,School bag,All India Mazdoor Party (Rangreta),2024
94,U,AINDKSJNTP,Air conditioner,All India Kisan Janatha party,2024
95,U,AINRS,Ring,All India National Raksha Sena,2024
96,U,AIPDP,Ship,All India People Development Party,2024
97,U,AISF,Envelope,All India Secular Front,2024
98,U,AIUC,Ganna kisan,All India Ulama Congress,2024
99,U,AIUUK,Gas cylinder,All India Uzhavargal Uzhaippalargal Katchi,2024
100,U,AIYDPMP,"Peas,Water tank",All India Youth Development Party,2024
101,U,AJD,Telephone,Adarsh Jankalyan Dal,2024
102,U,AJM,Coconut farm,Asom Jana Morcha,2024
103,U,AJP,Ganna kisan,Azad Janata Party,2024
104,U,AJPI,"Auto- rickshaw,Diamond,Hand cart,Kettle,Road roller",Aam Janta Party (India),2024
105,U,AJPK,Auto- rickshaw,Aanaithinthiya Jananayaka Pathukappu Kazhagam,2024
106,U,AJPR,Chappals,Aam Janta Party Rashtriya,2024
107,U,AJPty,Battery Torch,Aam Janshakti Party,2024
108,U,AKBAP,Balloon,Akhil Bhartiya Aamjan Party,2024
109,U,AKBHAD,Scissors,Akhil Bhartiya Apna Dal,2024
110,U,AKBRPRVP,"Kettle,Phone charger,Ship",Akhil Bhartiya Parivar Party,2024
111,U,AKLVJYP,Carpet,Akhila Vijaya Party,2024
112,U,AKNDBHRJNP,Scissors,Akhand Bharat Janpriya Party,2024
113,U,AKNDBRTSMR,Ganna kisan,Akhand Bharat Samrajya Party,2024
114,U,ALHP,Green chilli,Al-Hind Party,2024
115,U,AllJP,Gas cylinder,All India Jaihind Party,2024
116,U,AlPP,"Cot,Table",All Peoples Party,2024
117,U,ALPU,Letter box,Aam Lok Party United,2024
118,U,AMB,Battery Torch,Amra Bangalee,2024
119,U,AMGRDMK,Pan,Anna MGR Dravida Makkal Kalgam,2024
120,U,AMiP,"Gas Stove,Letter box",Aadarsh Mithila Party,2024
121,U,AMJNMTP,Basket containing Fruits,"Aam Janmat Party,",2024
122,U,AMM,Jackfruit,Anna Makkal Katchi,2024
123,U,AMMKMNKZ,Pressure cooker,Amma Makkal Munnettra Kazagam,2024
124,U,AnAP,Battery Torch,Anjaan Aadmi Party,2024
125,U,ANC,Balloon,Ambedkar National Congress,2024
126,U,ANCHDMCP,Diamond,Arunachal Democratic Party,2024
127,U,ANDC,Coconut farm,Andaman Nicobar Democratic Congress,2024
128,U,ANRP,Stool,Adarsh Nyay Rakshak Party,2024
129,U,ANSP,Battery Torch,Ahinsa Samaj Party,2024
130,U,AODRP,Chapati roller,Alliance of Democratic Reforms Party,2024
131,U,APKAWZP,Mike,Aapki Awaaz Party,2024
132,U,APKGNTRP,Sewing machine,Aapka Gantantra Party,2024
133,U,APKSP,Plate containing food,Apna Kisan Party,2024
134,U,APNDLK,Envelope,Apna Dal (Kamerawadi),2024
135,U,APNEP,Green chilli,Apni Ekta Party,2024
136,U,APNHQP,Auto- rickshaw,Apna Haq Party,2024
137,U,apnipp,"CCTV Camera,Whistle",Apni Prajahit Party,2024
138,U,APNJBP,CCTV Camera,Aas Punjab Party,2024
139,U,APoI,Coat,Ambedkarite Party of India,2024
140,U,APRS,Gas cylinder,Andhra Pradesh Rashtra Samithi,2024
141,U,APTADMK,"Helmet,Jackfruit",Anna Puratchi Thalaivar Amma Dravida Munnetra Kazhagam,2024
142,U,ARJP,Bat,Abhinav Rajasthan Party,2024
143,U,ARP,"Bat,Truck",Ambedkarist Republican Party,2024
144,U,ARPS,"Glass tumbler,Mixee",Andhra Rastra Praja Samithi,2024
145,U,ASaP,Ganna kisan,Awami Samta Party,2024
146,U,ASDC,Nagrik,Autonomous State Demand Committee,2024
147,U,ASGP,Bat,Aadarsh Sangram Party,2024
148,U,ASJP,Road roller,Apna Samaj Party,2024
149,U,ASMJTYP,Ship,Assam Jatiya Parishad,2024
