state,constituency,candidate,sex,age,category,party,party_symbol,evm_votes,postal_votes,votes,over_total_electors_in_constituency,over_total_votes_polled_in_constituency,total_electors,year,rank,winner,vote_share,next_votes,margin_votes
Andaman & Nicobar Islands,Andaman & Nicobar Islands,S SUDERSHAN RAO,MALE,58.0,GENERAL,IND,Boat with Man and Sail,475.0,0.0,475.0,0.1491501580991676,0.22902824520969345,318471.0,2019,11,False,0.22914093856128437,306.0,
Andaman & Nicobar Islands,Andaman & Nicobar Islands,V V KHALID,MALE,51.0,GENERAL,IND,Basket containing Fruits,305.0,1.0,306.0,0.09608410184914797,0.1475424063877183,318471.0,2019,12,False,0.14761500463105898,275.0,
Andaman & Nicobar Islands,Andaman & Nicobar Islands,K KALIMUTHU,MALE,66.0,GENERAL,IND,Television,269.0,6.0,275.0,0.08635009153109703,0.1325952998582436,318471.0,2019,13,False,0.13266054337758568,273.0,
Andaman & Nicobar Islands,Andaman & Nicobar Islands,C U RASHEED,MALE,34.0,GENERAL,IND,Battery Torch,272.0,1.0,273.0,0.08572209086541632,0.13163097040472907,318471.0,2019,14,False,0.1316957394257487,221.0,
Andaman & Nicobar Islands,Andaman & Nicobar Islands,GOUR CHANDRA MAJUMDER,MALE,51.0,GENERAL,IND,Auto- Rickshaw,221.0,0.0,221.0,0.06939407355771797,0.10655840461335211,318471.0,2019,15,False,0.10661083667798704,212.0,
Andaman & Nicobar Islands,Andaman & Nicobar Islands,C G SAJI KUMAR,MALE,48.0,GENERAL,AINHCP,Tractor Chalata Kisan,212.0,0.0,212.0,0.06656807056215479,0.10221892207253687,318471.0,2019,16,False,0.1022692188947206,,
Andhra Pradesh,Amalapuram,CHINTA ANURADHA,FEMALE,46.0,SC,YSRCP,Ceiling Fan,482003.0,3955.0,485958.0,33.29491982493306,39.337104409374376,1459556.0,2019,1,True,39.41600866253817,446163.0,39795.0
Andhra Pradesh,Amalapuram,GANTI HARISH MADHUR (BALAYOGI),MALE,28.0,SC,TDP,Bicycle,443590.0,2573.0,446163.0,30.56840573434661,36.115797074232134,1459556.0,2019,2,False,36.18823987444186,255317.0,
Andhra Pradesh,Amalapuram,D M R SEKHAR,MALE,59.0,SC,JnP,Glass Tumbler,253740.0,1577.0,255317.0,17.492785477227322,20.667282947267534,1459556.0,2019,3,False,20.70873837593631,16468.0,
Andhra Pradesh,Amalapuram,NOTA,,,,NOTA,,16427.0,41.0,16468.0,1.128288328779437,1.3330440807921202,1459556.0,2019,4,False,1.335717964627969,11534.0,
Andhra Pradesh,Amalapuram,AYYAJI VEMA MANEPALLI,MALE,58.0,SC,BJP,Lotus,11376.0,158.0,11534.0,0.7902403196588551,0.9336489208074031,1459556.0,2019,5,False,0.9355216786506556,7887.0,
Andhra Pradesh,Amalapuram,JANGA GOUTHAM,MALE,49.0,SC,INC,Hand,7849.0,38.0,7887.0,0.5403698110932366,0.6384332441831098,1459556.0,2019,6,False,0.6397138442446437,2775.0,
Andhra Pradesh,Amalapuram,REVU SUDHAKAR,MALE,34.0,SC,IND,Gas Stove,2774.0,1.0,2775.0,0.19012631238541036,0.2246294221640839,1459556.0,2019,7,False,0.22507999464674608,1954.0,
Andhra Pradesh,Amalapuram,MORTHA SIVA RAMA KRISHNA,MALE,29.0,SC,PPOI,FLUTE,1950.0,4.0,1954.0,0.13387632951390696,0.1581714922193225,1459556.0,2019,8,False,0.15848876019450156,1804.0,
Andhra Pradesh,Amalapuram,PANTHAGADA VIJAYA CHAKRAVARTHY,MALE,65.0,SC,RPI(KH),Gas Cylinder,1804.0,0.0,1804.0,0.12359923154712804,0.14602936129153418,1459556.0,2019,9,False,0.14632227399738015,1804.0,
