state,nfhs4_state_raw,sdist_code,district_code_nfhs4,census_district,district_resolved,nfhs5_state,mapping_method,match_cost,confidence,state_key,district_key_resolved
Madhya Pradesh,Madhya Pradesh,8,8,CHHATARPUR,Chhatarpur,Madhya Pradesh,census_rank_nfhs5,14.643104438928798,high,MADHYA PRADESH,CHHATARPUR
Madhya Pradesh,Madhya Pradesh,10,10,SAGAR,Sagar,Madhya Pradesh,census_rank_nfhs5,12.11565819511409,high,MADHYA PRADESH,SAGAR
Madhya Pradesh,Madhya Pradesh,11,11,DAMOH,Damoh,Madhya Pradesh,census_rank_nfhs5,30.525046415077185,medium,MADHYA PRADESH,DAMOH
Madhya Pradesh,Madhya Pradesh,12,12,SATNA,Satna,Madhya Pradesh,census_rank_nfhs5,20.15558401309149,medium,MADHYA PRADESH,SATNA
Madhya Pradesh,Madhya Pradesh,13,13,REWA,Rewa,Madhya Pradesh,census_rank_nfhs5,30.310991203612197,medium,MADHYA PRADESH,REWA
Madhya Pradesh,Madhya Pradesh,14,14,UMARIA,Umaria,Madhya Pradesh,census_rank_nfhs5,5.978033877026751,high,MADHYA PRADESH,UMARIA
Madhya Pradesh,Madhya Pradesh,15,15,NEEMUCH,Neemuch,Madhya Pradesh,census_rank_nfhs5,30.473509095812393,medium,MADHYA PRADESH,NEEMUCH
Madhya Pradesh,Madhya Pradesh,16,16,MANDSAUR,Mandsaur,Madhya Pradesh,census_rank_nfhs5,23.71874386973355,medium,MADHYA PRADESH,MANDSAUR
Madhya Pradesh,Madhya Pradesh,17,17,RATLAM,Ratlam,Madhya Pradesh,census_rank_nfhs5,19.324357176247588,medium,MADHYA PRADESH,RATLAM
Madhya Pradesh,Madhya Pradesh,18,18,UJJAIN,Ujjain,Madhya Pradesh,census_rank_nfhs5,15.543751654353931,medium,MADHYA PRADESH,UJJAIN
Madhya Pradesh,Madhya Pradesh,19,19,SHAJAPUR,Shajapur,Madhya Pradesh,census_rank_nfhs5,32.136870493502364,medium,MADHYA PRADESH,SHAJAPUR
Madhya Pradesh,Madhya Pradesh,20,20,DEWAS,Dewas,Madhya Pradesh,census_rank_nfhs5,17.856588311055976,medium,MADHYA PRADESH,DEWAS
Madhya Pradesh,Madhya Pradesh,21,21,DHAR,Dhar,Madhya Pradesh,census_rank_nfhs5,16.490224127800833,medium,MADHYA PRADESH,DHAR
Madhya Pradesh,Madhya Pradesh,22,22,INDORE,Indore,Madhya Pradesh,census_rank_nfhs5,26.377207550913322,medium,MADHYA PRADESH,INDORE
Madhya Pradesh,Madhya Pradesh,23,23,KHARGONE (WEST NIMAR),Khargone (West Nimar),Madhya Pradesh,census_rank_nfhs5,32.45490764831801,medium,MADHYA PRADESH,KHARGONE WEST NIMAR
Madhya Pradesh,Madhya Pradesh,24,24,BARWANI,Barwani,Madhya Pradesh,census_rank_nfhs5,19.710519071255277,medium,MADHYA PRADESH,BARWANI
Madhya Pradesh,Madhya Pradesh,25,25,RAJGARH,Rajgarh,Madhya Pradesh,census_rank_nfhs5,27.795495829283844,medium,MADHYA PRADESH,RAJGARH
Madhya Pradesh,Madhya Pradesh,26,26,VIDISHA,Vidisha,Madhya Pradesh,census_rank_nfhs5,41.392743125009915,medium,MADHYA PRADESH,VIDISHA
Madhya Pradesh,Madhya Pradesh,27,27,BHOPAL,Bhopal,Madhya Pradesh,census_rank_nfhs5,22.527853789351724,medium,MADHYA PRADESH,BHOPAL
Madhya Pradesh,Madhya Pradesh,28,28,SEHORE,Sehore,Madhya Pradesh,census_rank_nfhs5,37.122060814163916,medium,MADHYA PRADESH,SEHORE
Madhya Pradesh,Madhya Pradesh,29,29,RAISEN,Raisen,Madhya Pradesh,census_rank_nfhs5,31.130026048833855,medium,MADHYA PRADESH,RAISEN
Madhya Pradesh,Madhya Pradesh,30,30,BETUL,Betul,Madhya Pradesh,census_rank_nfhs5,14.830479804524705,high,MADHYA PRADESH,BETUL
Madhya Pradesh,Madhya Pradesh,31,31,HARDA,Harda,Madhya Pradesh,census_rank_nfhs5,19.015200237409637,medium,MADHYA PRADESH,HARDA
Madhya Pradesh,Madhya Pradesh,32,32,HOSHANGABAD,Hoshangabad,Madhya Pradesh,census_rank_nfhs5,25.09355259528946,medium,MADHYA PRADESH,HOSHANGABAD
Madhya Pradesh,Madhya Pradesh,33,33,KATNI,Katni,Madhya Pradesh,census_rank_nfhs5,12.273857466713142,high,MADHYA PRADESH,KATNI
Madhya Pradesh,Madhya Pradesh,34,34,JABALPUR,Jabalpur,Madhya Pradesh,census_rank_nfhs5,25.894187234375238,medium,MADHYA PRADESH,JABALPUR
Madhya Pradesh,Madhya Pradesh,35,35,NARSIMHAPUR,Narsimhapur,Madhya Pradesh,census_rank_nfhs5,29.915215380855663,medium,MADHYA PRADESH,NARSIMHAPUR
Madhya Pradesh,Madhya Pradesh,36,36,DINDORI,Dindori,Madhya Pradesh,census_rank_nfhs5,18.650884922797427,medium,MADHYA PRADESH,DINDORI
Madhya Pradesh,Madhya Pradesh,37,37,MANDLA,Mandla,Madhya Pradesh,census_rank_nfhs5,30.732615234621836,medium,MADHYA PRADESH,MANDLA
Madhya Pradesh,Madhya Pradesh,38,38,CHHINDWARA,Chhindwara,Madhya Pradesh,census_rank_nfhs5,28.54954247936154,medium,MADHYA PRADESH,CHHINDWARA
Madhya Pradesh,Madhya Pradesh,39,39,SEONI,Seoni,Madhya Pradesh,census_rank_nfhs5,11.779148670772367,high,MADHYA PRADESH,SEONI
Madhya Pradesh,Madhya Pradesh,40,40,BALAGHAT,Balaghat,Madhya Pradesh,census_rank_nfhs5,25.509843513528637,medium,MADHYA PRADESH,BALAGHAT
Madhya Pradesh,Madhya Pradesh,41,41,GUNA,Guna,Madhya Pradesh,census_rank_nfhs5,34.031113028899306,medium,MADHYA PRADESH,GUNA
Madhya Pradesh,Madhya Pradesh,42,42,ASHOKNAGAR,Ashoknagar,Madhya Pradesh,census_rank_nfhs5,32.37381539341987,medium,MADHYA PRADESH,ASHOKNAGAR
Madhya Pradesh,Madhya Pradesh,43,43,SHAHDOL,Shahdol,Madhya Pradesh,census_rank_nfhs5,29.64947409105066,medium,MADHYA PRADESH,SHAHDOL
Madhya Pradesh,Madhya Pradesh,44,44,ANUPPUR,Anuppur,Madhya Pradesh,census_rank_nfhs5,26.70459042566883,medium,MADHYA PRADESH,ANUPPUR
Madhya Pradesh,Madhya Pradesh,45,45,SIDHI,Sidhi,Madhya Pradesh,census_rank_nfhs5,20.17875043061011,medium,MADHYA PRADESH,SIDHI
Maharashtra,Maharashtra,1,1,NANDURBAR,Nandurbar,Maharashtra,census_rank_nfhs5,46.151080674449034,medium,MAHARASHTRA,NANDURBAR
Maharashtra,Maharashtra,2,2,DHULE,Dhule,Maharashtra,census_rank_nfhs5,21.63454136168952,medium,MAHARASHTRA,DHULE
Maharashtra,Maharashtra,3,3,JALGAON,Jalgaon,Maharashtra,census_rank_nfhs5,22.66345685159521,medium,MAHARASHTRA,JALGAON
Maharashtra,Maharashtra,4,4,BULDANA,Buldana,Maharashtra,census_rank_nfhs5,18.665351528468896,medium,MAHARASHTRA,BULDANA
Maharashtra,Maharashtra,5,5,AKOLA,Akola,Maharashtra,census_rank_nfhs5,31.595051863395685,medium,MAHARASHTRA,AKOLA
Maharashtra,Maharashtra,6,6,WASHIM,Washim,Maharashtra,census_rank_nfhs5,24.173212903821444,medium,MAHARASHTRA,WASHIM
Maharashtra,Maharashtra,7,7,AMRAVATI,Amravati,Maharashtra,census_rank_nfhs5,19.548688071870387,medium,MAHARASHTRA,AMRAVATI
Maharashtra,Maharashtra,8,8,WARDHA,Wardha,Maharashtra,census_rank_nfhs5,15.19031029481763,medium,MAHARASHTRA,WARDHA
Maharashtra,Maharashtra,9,9,NAGPUR,Nagpur,Maharashtra,census_rank_nfhs5,14.037765034748205,high,MAHARASHTRA,NAGPUR
Maharashtra,Maharashtra,10,10,BHANDARA,Bhandara,Maharashtra,census_rank_nfhs5,42.91871104480378,medium,MAHARASHTRA,BHANDARA
Maharashtra,Maharashtra,11,11,GONDIYA,Gondiya,Maharashtra,census_rank_nfhs5,21.10736397254961,medium,MAHARASHTRA,GONDIYA
Maharashtra,Maharashtra,12,12,GADCHIROLI,Gadchiroli,Maharashtra,census_rank_nfhs5,21.395574555811866,medium,MAHARASHTRA,GADCHIROLI
Maharashtra,Maharashtra,13,13,CHANDRAPUR,Chandrapur,Maharashtra,census_rank_nfhs5,4.792323430154039,high,MAHARASHTRA,CHANDRAPUR
Maharashtra,Maharashtra,14,14,YAVATMAL,Yavatmal,Maharashtra,census_rank_nfhs5,23.366816442416514,medium,MAHARASHTRA,YAVATMAL
Maharashtra,Maharashtra,15,15,NANDED,Nanded,Maharashtra,census_rank_nfhs5,16.853659839686888,medium,MAHARASHTRA,NANDED
Maharashtra,Maharashtra,16,16,HINGOLI,Hingoli,Maharashtra,census_rank_nfhs5,11.221233071076945,high,MAHARASHTRA,HINGOLI
Maharashtra,Maharashtra,17,17,PARBHANI,Parbhani,Maharashtra,census_rank_nfhs5,16.333842174582617,medium,MAHARASHTRA,PARBHANI
Maharashtra,Maharashtra,18,18,JALNA,Jalna,Maharashtra,census_rank_nfhs5,18.621681207335516,medium,MAHARASHTRA,JALNA
Maharashtra,Maharashtra,19,19,AURANGABAD,Aurangabad,Maharashtra,census_rank_nfhs5,17.27524765535353,medium,MAHARASHTRA,AURANGABAD
Maharashtra,Maharashtra,21,21,THANE,Thane,Maharashtra,census_rank_nfhs5,19.110228528387672,medium,MAHARASHTRA,THANE
Maharashtra,Maharashtra,22,22,MUMBAI SUBURBAN,Mumbai Suburban,Maharashtra,census_rank_nfhs5,15.183833954350785,medium,MAHARASHTRA,MUMBAI SUBURBAN
Maharashtra,Maharashtra,23,23,MUMBAI,Mumbai,Maharashtra,census_rank_nfhs5,23.6302008354998,medium,MAHARASHTRA,MUMBAI
Maharashtra,Maharashtra,24,24,RAIGARH,Raigarh,Maharashtra,census_rank_nfhs5,13.932018839748054,high,MAHARASHTRA,RAIGARH
Maharashtra,Maharashtra,25,25,PUNE,Pune,Maharashtra,census_rank_nfhs5,9.66401985816336,high,MAHARASHTRA,PUNE
Maharashtra,Maharashtra,26,26,AHMADNAGAR,Ahmadnagar,Maharashtra,census_rank_nfhs5,19.219054436470948,medium,MAHARASHTRA,AHMADNAGAR
Maharashtra,Maharashtra,27,27,BID,Bid,Maharashtra,census_rank_nfhs5,39.38920542711185,medium,MAHARASHTRA,BID
Maharashtra,Maharashtra,28,28,LATUR,Latur,Maharashtra,census_rank_nfhs5,19.69652287051632,medium,MAHARASHTRA,LATUR
Maharashtra,Maharashtra,29,29,OSMANABAD,Osmanabad,Maharashtra,census_rank_nfhs5,16.660474134493768,medium,MAHARASHTRA,OSMANABAD
Manipur,Manipur,1,1,SENAPATI,Senapati (Excluding 3 Sub-Divisions),Manipur,census_rank_fuzzy_nfhs5,,medium,MANIPUR,SENAPATI EXCLUDING 3 SUB DIVISIONS
Manipur,Manipur,2,2,TAMENGLONG,Tamenglong,Manipur,census_rank_nfhs5,20.521339923607403,medium,MANIPUR,TAMENGLONG
Manipur,Manipur,3,3,CHURACHANDPUR,Churachandpur,Manipur,census_rank_nfhs5,26.180387315977157,medium,MANIPUR,CHURACHANDPUR
Manipur,Manipur,4,4,BISHNUPUR,Bishnupur,Manipur,census_rank_nfhs5,23.537493710583053,medium,MANIPUR,BISHNUPUR
Manipur,Manipur,5,5,THOUBAL,Thoubal,Manipur,census_rank_nfhs5,27.025614246722473,medium,MANIPUR,THOUBAL
Manipur,Manipur,6,6,IMPHAL WEST,Imphal West,Manipur,census_rank_nfhs5,24.963301985144785,medium,MANIPUR,IMPHAL WEST
Manipur,Manipur,7,7,IMPHAL EAST,Imphal East,Manipur,census_rank_nfhs5,36.52119876589813,medium,MANIPUR,IMPHAL EAST
Manipur,Manipur,8,8,UKHRUL,Ukhrul,Manipur,census_rank_nfhs5,19.86081615716845,medium,MANIPUR,UKHRUL
Meghalaya,Meghalaya,1,1,WEST GARO HILLS,West Garo Hills,Meghalaya,census_rank_nfhs5,14.096861700175353,high,MEGHALAYA,WEST GARO HILLS
Meghalaya,Meghalaya,2,2,EAST GARO HILLS,East Garo Hills,Meghalaya,census_rank_nfhs5,20.58173419173969,medium,MEGHALAYA,EAST GARO HILLS
Meghalaya,Meghalaya,3,3,SOUTH GARO HILLS,South Garo Hills,Meghalaya,census_rank_nfhs5,16.78710888941448,medium,MEGHALAYA,SOUTH GARO HILLS
Meghalaya,Meghalaya,4,4,WEST KHASI HILLS,West Khasi Hills,Meghalaya,census_rank_nfhs5,23.386256741087887,medium,MEGHALAYA,WEST KHASI HILLS
Meghalaya,Meghalaya,5,5,RIBHOI,Ribhoi,Meghalaya,census_rank_nfhs5,20.828878191595198,medium,MEGHALAYA,RIBHOI
Mizoram,Mizoram,1,1,MAMIT,Mamit,Mizoram,census_rank_nfhs5,40.223661064032434,medium,MIZORAM,MAMIT
Mizoram,Mizoram,2,2,KOLASIB,Kolasib,Mizoram,census_rank_nfhs5,35.62832392939157,medium,MIZORAM,KOLASIB
Mizoram,Mizoram,3,3,AIZAWL,Aizawl,Mizoram,census_rank_nfhs5,19.14352331840748,medium,MIZORAM,AIZAWL
Nagaland,Nagaland,1,1,MON,Mon,Nagaland,census_rank_nfhs5,17.74513763365099,medium,NAGALAND,MON
Nagaland,Nagaland,2,2,MOKOKCHUNG,Mokokchung,Nagaland,census_rank_nfhs5,19.474378651044127,medium,NAGALAND,MOKOKCHUNG
Nagaland,Nagaland,3,3,ZUNHEBOTO,Zunheboto,Nagaland,census_rank_nfhs5,25.477175194710107,medium,NAGALAND,ZUNHEBOTO
Nagaland,Nagaland,4,4,WOKHA,Wokha,Nagaland,census_rank_nfhs5,37.170804382453056,medium,NAGALAND,WOKHA
Nagaland,Nagaland,5,5,DIMAPUR,Dimapur,Nagaland,census_rank_nfhs5,30.578283447151343,medium,NAGALAND,DIMAPUR
Nagaland,Nagaland,6,6,PHEK,Phek,Nagaland,census_rank_nfhs5,31.16943843751981,medium,NAGALAND,PHEK
Nagaland,Nagaland,7,7,TUENSANG,Tuensang,Nagaland,census_rank_nfhs5,24.24405677981417,medium,NAGALAND,TUENSANG
New Delhi,New Delhi,1,1,NORTH WEST,North West,Delhi,census_rank,,medium,NEW DELHI,NORTH WEST
Orissa,Orissa,1,1,BARGARH,Bargarh,Odisha,census_rank,,medium,ORISSA,BARGARH
Orissa,Orissa,2,2,JHARSUGUDA,Jharsuguda,Odisha,census_rank,,medium,ORISSA,JHARSUGUDA
Orissa,Orissa,3,3,SAMBALPUR,Sambalpur,Odisha,census_rank,,medium,ORISSA,SAMBALPUR
Orissa,Orissa,4,4,DEBAGARH,Debagarh,Odisha,census_rank,,medium,ORISSA,DEBAGARH
Orissa,Orissa,5,5,SUNDARGARH,Sundargarh,Odisha,census_rank,,medium,ORISSA,SUNDARGARH
Orissa,Orissa,6,6,KENDUJHAR,Kendujhar,Odisha,census_rank,,medium,ORISSA,KENDUJHAR
Orissa,Orissa,7,7,MAYURBHANJ,Mayurbhanj,Odisha,census_rank,,medium,ORISSA,MAYURBHANJ
Orissa,Orissa,8,8,BALESHWAR,Baleshwar,Odisha,census_rank,,medium,ORISSA,BALESHWAR
Orissa,Orissa,9,9,BHADRAK,Bhadrak,Odisha,census_rank,,medium,ORISSA,BHADRAK
Orissa,Orissa,10,10,KENDRAPARA,Kendrapara,Odisha,census_rank,,medium,ORISSA,KENDRAPARA
Orissa,Orissa,11,11,JAGATSINGHAPUR,Jagatsinghapur,Odisha,census_rank,,medium,ORISSA,JAGATSINGHAPUR
Orissa,Orissa,12,12,CUTTACK,Cuttack,Odisha,census_rank,,medium,ORISSA,CUTTACK
Orissa,Orissa,13,13,JAJAPUR,Jajapur,Odisha,census_rank,,medium,ORISSA,JAJAPUR
Punjab,Punjab,1,1,GURDASPUR,Gurdaspur,Punjab,census_rank_nfhs5,9.281935905829073,high,PUNJAB,GURDASPUR
Punjab,Punjab,2,2,KAPURTHALA,Kapurthala,Punjab,census_rank_nfhs5,16.61073258739871,medium,PUNJAB,KAPURTHALA
Punjab,Punjab,3,3,JALANDHAR,Jalandhar,Punjab,census_rank_nfhs5,14.016575779562606,high,PUNJAB,JALANDHAR
Punjab,Punjab,4,4,HOSHIARPUR,Hoshiarpur,Punjab,census_rank_nfhs5,13.824804251510315,high,PUNJAB,HOSHIARPUR
Punjab,Punjab,5,5,SHAHID BHAGAT SINGH NAGAR,Shahid Bhagat Singh Nagar,Punjab,census_rank_nfhs5,14.435891294793056,high,PUNJAB,SHAHID BHAGAT SINGH NAGAR
Punjab,Punjab,6,6,FATEHGARH SAHIB,Fatehgarh Sahib,Punjab,census_rank_nfhs5,11.257303738970219,high,PUNJAB,FATEHGARH SAHIB
Punjab,Punjab,7,7,LUDHIANA,Ludhiana,Punjab,census_rank_nfhs5,3.541107750159256,high,PUNJAB,LUDHIANA
Punjab,Punjab,8,8,MOGA,Moga,Punjab,census_rank_nfhs5,6.873057215435149,high,PUNJAB,MOGA
Punjab,Punjab,9,9,FIROZPUR,Firozpur,Punjab,census_rank_nfhs5,13.663826639144125,high,PUNJAB,FIROZPUR
Punjab,Punjab,10,10,MUKTSAR,Muktsar,Punjab,census_rank_nfhs5,7.089224093270613,high,PUNJAB,MUKTSAR
Punjab,Punjab,11,11,FARIDKOT,Faridkot,Punjab,census_rank_nfhs5,3.797003778980156,high,PUNJAB,FARIDKOT
Punjab,Punjab,12,12,BATHINDA,Bathinda,Punjab,census_rank_nfhs5,8.762363082535089,high,PUNJAB,BATHINDA
Rajasthan,Rajasthan,1,1,GANGANAGAR,Ganganagar,Rajasthan,census_rank_nfhs5,23.571151081835804,medium,RAJASTHAN,GANGANAGAR
Rajasthan,Rajasthan,2,2,HANUMANGARH,Hanumangarh,Rajasthan,census_rank_nfhs5,20.195568052489357,medium,RAJASTHAN,HANUMANGARH
Rajasthan,Rajasthan,3,3,BIKANER,Bikaner,Rajasthan,census_rank_nfhs5,15.283664446777937,medium,RAJASTHAN,BIKANER
Rajasthan,Rajasthan,4,4,CHURU,Churu,Rajasthan,census_rank_nfhs5,7.938261571986355,high,RAJASTHAN,CHURU
Rajasthan,Rajasthan,5,5,JHUNJHUNUN,Jhunjhunun,Rajasthan,census_rank_nfhs5,20.239527301443125,medium,RAJASTHAN,JHUNJHUNUN
Rajasthan,Rajasthan,6,6,ALWAR,Alwar,Rajasthan,census_rank_nfhs5,17.66221904355672,medium,RAJASTHAN,ALWAR
Rajasthan,Rajasthan,7,7,BHARATPUR,Bharatpur,Rajasthan,census_rank_nfhs5,12.280539961928058,high,RAJASTHAN,BHARATPUR
Rajasthan,Rajasthan,8,8,DHAULPUR,Dhaulpur,Rajasthan,census_rank_nfhs5,31.328368655368116,medium,RAJASTHAN,DHAULPUR
Rajasthan,Rajasthan,9,9,KARAULI,Karauli,Rajasthan,census_rank_nfhs5,14.314020159517927,high,RAJASTHAN,KARAULI
Rajasthan,Rajasthan,10,10,SAWAI MADHOPUR,Sawai Madhopur,Rajasthan,census_rank_nfhs5,14.195233749825771,high,RAJASTHAN,SAWAI MADHOPUR
Rajasthan,Rajasthan,11,11,DAUSA,Dausa,Rajasthan,census_rank_nfhs5,14.005872687972962,high,RAJASTHAN,DAUSA
Rajasthan,Rajasthan,12,12,JAIPUR,Jaipur,Rajasthan,census_rank_nfhs5,27.276545673451675,medium,RAJASTHAN,JAIPUR
Rajasthan,Rajasthan,13,13,SIKAR,Sikar,Rajasthan,census_rank_nfhs5,40.257570215807675,medium,RAJASTHAN,SIKAR
Rajasthan,Rajasthan,14,14,NAGAUR,Nagaur,Rajasthan,census_rank_nfhs5,14.274835479100341,high,RAJASTHAN,NAGAUR
Rajasthan,Rajasthan,15,15,JODHPUR,Jodhpur,Rajasthan,census_rank_nfhs5,16.337968643826677,medium,RAJASTHAN,JODHPUR
Rajasthan,Rajasthan,16,16,JAISALMER,Jaisalmer,Rajasthan,census_rank_nfhs5,20.404781868857345,medium,RAJASTHAN,JAISALMER
Rajasthan,Rajasthan,17,17,BARMER,Barmer,Rajasthan,census_rank_nfhs5,40.775037261436765,medium,RAJASTHAN,BARMER
Rajasthan,Rajasthan,18,18,JALOR,Jalor,Rajasthan,census_rank_nfhs5,25.370562248280596,medium,RAJASTHAN,JALOR
Rajasthan,Rajasthan,19,19,SIROHI,Sirohi,Rajasthan,census_rank_nfhs5,40.90834903886627,medium,RAJASTHAN,SIROHI
Rajasthan,Rajasthan,20,20,PALI,Pali,Rajasthan,census_rank_nfhs5,24.94582039495424,medium,RAJASTHAN,PALI
Rajasthan,Rajasthan,21,21,AJMER,Ajmer,Rajasthan,census_rank_nfhs5,22.38376438282492,medium,RAJASTHAN,AJMER
Rajasthan,Rajasthan,22,22,TONK,Tonk,Rajasthan,census_rank_nfhs5,13.029391056133235,high,RAJASTHAN,TONK
Rajasthan,Rajasthan,23,23,BUNDI,Bundi,Rajasthan,census_rank_nfhs5,36.72717323217459,medium,RAJASTHAN,BUNDI
Rajasthan,Rajasthan,24,24,BHILWARA,Bhilwara,Rajasthan,census_rank_nfhs5,25.51305778587831,medium,RAJASTHAN,BHILWARA
Rajasthan,Rajasthan,25,25,RAJSAMAND,Rajsamand,Rajasthan,census_rank_nfhs5,26.10943418042798,medium,RAJASTHAN,RAJSAMAND
Rajasthan,Rajasthan,26,26,DUNGARPUR,Dungarpur,Rajasthan,census_rank_nfhs5,23.00252696527408,medium,RAJASTHAN,DUNGARPUR
Rajasthan,Rajasthan,27,27,BANSWARA,Banswara,Rajasthan,census_rank_nfhs5,25.68550634527394,medium,RAJASTHAN,BANSWARA
Sikkim,Sikkim,1,1,NORTH DISTRICT,North District,Sikkim,census_rank_nfhs5,27.322239771212065,medium,SIKKIM,NORTH DISTRICT
Sikkim,Sikkim,2,2,WEST DISTRICT,West District,Sikkim,census_rank_nfhs5,20.441215193529267,medium,SIKKIM,WEST DISTRICT
Sikkim,Sikkim,3,3,SOUTH DISTRICT,South District,Sikkim,census_rank_nfhs5,32.873097918100676,medium,SIKKIM,SOUTH DISTRICT
Sikkim,Sikkim,4,4,EAST DISTRICT,East District,Sikkim,census_rank_nfhs5,30.45902269221142,medium,SIKKIM,EAST DISTRICT
Tamil Nadu,Tamil Nadu,1,1,THIRUVALLUR,Thiruvallur,Tamil Nadu,census_rank,,medium,TAMIL NADU,THIRUVALLUR
Tamil Nadu,Tamil Nadu,2,2,CHENNAI,Chennai,Tamil Nadu,census_rank,,medium,TAMIL NADU,CHENNAI
Tamil Nadu,Tamil Nadu,3,3,KANCHEEPURAM,Kancheepuram,Tamil Nadu,census_rank,,medium,TAMIL NADU,KANCHEEPURAM
Tamil Nadu,Tamil Nadu,4,4,VELLORE,Vellore,Tamil Nadu,census_rank,,medium,TAMIL NADU,VELLORE
Tamil Nadu,Tamil Nadu,5,5,TIRUVANNAMALAI,Tiruvannamalai,Tamil Nadu,census_rank,,medium,TAMIL NADU,TIRUVANNAMALAI
Tamil Nadu,Tamil Nadu,6,6,VILUPPURAM,Viluppuram,Tamil Nadu,census_rank,,medium,TAMIL NADU,VILUPPURAM
Tamil Nadu,Tamil Nadu,7,7,SALEM,Salem,Tamil Nadu,census_rank,,medium,TAMIL NADU,SALEM
Tamil Nadu,Tamil Nadu,8,8,NAMAKKAL,Namakkal,Tamil Nadu,census_rank,,medium,TAMIL NADU,NAMAKKAL
Tamil Nadu,Tamil Nadu,9,9,ERODE,Erode,Tamil Nadu,census_rank,,medium,TAMIL NADU,ERODE
Tamil Nadu,Tamil Nadu,10,10,THE NILGIRIS,The Nilgiris,Tamil Nadu,census_rank,,medium,TAMIL NADU,THE NILGIRIS
Tamil Nadu,Tamil Nadu,11,11,DINDIGUL,Dindigul,Tamil Nadu,census_rank,,medium,TAMIL NADU,DINDIGUL
Tamil Nadu,Tamil Nadu,12,12,KARUR,Karur,Tamil Nadu,census_rank,,medium,TAMIL NADU,KARUR
Tamil Nadu,Tamil Nadu,13,13,TIRUCHIRAPPALLI,Tiruchirappalli,Tamil Nadu,census_rank,,medium,TAMIL NADU,TIRUCHIRAPPALLI
Tamil Nadu,Tamil Nadu,14,14,PERAMBALUR,Perambalur,Tamil Nadu,census_rank,,medium,TAMIL NADU,PERAMBALUR
Tamil Nadu,Tamil Nadu,15,15,ARIYALUR,Ariyalur,Tamil Nadu,census_rank,,medium,TAMIL NADU,ARIYALUR
Tamil Nadu,Tamil Nadu,16,16,CUDDALORE,Cuddalore,Tamil Nadu,census_rank,,medium,TAMIL NADU,CUDDALORE
Tamil Nadu,Tamil Nadu,17,17,NAGAPATTINAM,Nagapattinam,Tamil Nadu,census_rank,,medium,TAMIL NADU,NAGAPATTINAM
Tamil Nadu,Tamil Nadu,18,18,THIRUVARUR,Thiruvarur,Tamil Nadu,census_rank,,medium,TAMIL NADU,THIRUVARUR
Tamil Nadu,Tamil Nadu,19,19,THANJAVUR,Thanjavur,Tamil Nadu,census_rank,,medium,TAMIL NADU,THANJAVUR
Tamil Nadu,Tamil Nadu,20,20,PUDUKKOTTAI,Pudukkottai,Tamil Nadu,census_rank,,medium,TAMIL NADU,PUDUKKOTTAI
Tamil Nadu,Tamil Nadu,21,21,SIVAGANGA,Sivaganga,Tamil Nadu,census_rank,,medium,TAMIL NADU,SIVAGANGA
Tripura,Tripura,1,1,WEST TRIPURA,West Tripura,Tripura,census_rank_nfhs5,15.113482163783061,medium,TRIPURA,WEST TRIPURA
Tripura,Tripura,2,2,SOUTH TRIPURA,South Tripura,Tripura,census_rank_nfhs5,18.848979398562896,medium,TRIPURA,SOUTH TRIPURA
Tripura,Tripura,3,3,DHALAI,Dhalai,Tripura,census_rank_nfhs5,15.448831264195622,medium,TRIPURA,DHALAI
Uttar Pradesh,Uttar Pradesh,2,2,MUZAFFARNAGAR,Muzaffarnagar,Uttar Pradesh,census_rank_nfhs5,26.85065735265369,medium,UTTAR PRADESH,MUZAFFARNAGAR
Uttar Pradesh,Uttar Pradesh,3,3,BIJNOR,Bijnor,Uttar Pradesh,census_rank_nfhs5,27.77786470464161,medium,UTTAR PRADESH,BIJNOR
Uttar Pradesh,Uttar Pradesh,4,4,MORADABAD,Moradabad,Uttar Pradesh,census_rank_nfhs5,19.59644593489252,medium,UTTAR PRADESH,MORADABAD
Uttar Pradesh,Uttar Pradesh,5,5,RAMPUR,Rampur,Uttar Pradesh,census_rank_nfhs5,16.175117530180437,medium,UTTAR PRADESH,RAMPUR
Uttar Pradesh,Uttar Pradesh,6,6,JYOTIBA PHULE NAGAR,Jyotiba Phule Nagar,Uttar Pradesh,census_rank_nfhs5,28.214113181828047,medium,UTTAR PRADESH,JYOTIBA PHULE NAGAR
Uttar Pradesh,Uttar Pradesh,7,7,MEERUT,Meerut,Uttar Pradesh,census_rank_nfhs5,27.2068346478195,medium,UTTAR PRADESH,MEERUT
Uttar Pradesh,Uttar Pradesh,8,8,BAGHPAT,Baghpat,Uttar Pradesh,census_rank_nfhs5,18.21803859675744,medium,UTTAR PRADESH,BAGHPAT
Uttar Pradesh,Uttar Pradesh,9,9,GHAZIABAD,Ghaziabad,Uttar Pradesh,census_rank_nfhs5,20.15955663742944,medium,UTTAR PRADESH,GHAZIABAD
Uttar Pradesh,Uttar Pradesh,10,10,GAUTAM BUDDHA NAGAR,Gautam Buddha Nagar,Uttar Pradesh,census_rank_nfhs5,21.022673569827294,medium,UTTAR PRADESH,GAUTAM BUDDHA NAGAR
Uttar Pradesh,Uttar Pradesh,11,11,BULANDSHAHR,Bulandshahr,Uttar Pradesh,census_rank_nfhs5,26.04050792715746,medium,UTTAR PRADESH,BULANDSHAHR
