state,census_state_code,nfhs_state_code,population_total,population_density,urban_pct,rural_pct,hindu_pct,muslim_pct,christian_pct,sikh_pct,buddhist_pct,jain_pct,sc_pct,st_pct,sex_ratio,literacy_rate,male_literacy,female_literacy,youth_pct,working_age_pct,elderly_pct,internet_pct,bank_account_pct,mobile_phone_pct,women_secondary_edu_pct,fertility_rate,electricity_pct,lpg_pct,improved_sanitation_pct
ANDAMAN & NICOBAR ISLANDS,35.0,,380581.0,,37.702355083411945,62.297644916588055,69.4454005848952,8.51671523276254,21.279044408417658,0.3379044145661501,0.0888115801892369,0.0081454407865868,0.0,7.496433085203938,875.9753735132177,77.32414387475991,81.02538066061685,73.09886894378482,18.42997942619311,,,,,,,,,,
ANDHRA PRADESH,28.0,,49386799.0,,29.583634282513433,70.41636571748657,,,,,,,17.100517083522664,5.327628138037454,996.3886832229582,60.28439300145774,66.70686651843629,53.83864183515168,,,,,,,,,,,
ARUNACHAL PRADESH,12.0,,1383727.0,,22.935810315185005,77.064189684815,29.043012097039373,1.954504031503324,30.261171459399144,0.2375468571473997,11.766410570871278,0.05571908331629,0.0,68.78676212865689,938.2318829211443,55.35810170647822,61.61375631730521,48.690608600882335,20.78907183281095,,,,,,,,,,
ASSAM,18.0,,31205576.0,,14.095371929683337,85.90462807031668,61.46580662379056,34.222553687200005,3.7360854995914834,0.0662445711625383,0.1762281202564567,0.0831550105019692,7.150391968409749,12.447682427012403,957.7582478885868,61.45689155040753,66.30494553667904,56.39501503098394,19.156787876628204,,,,,,,,,,
BIHAR,10.0,,104099452.0,,11.294983570134452,88.70501642986555,82.68889446219178,16.86637985375754,0.1241572337960049,0.0228425794210713,0.0244506570505289,0.0181691638492006,15.914901261920186,1.2839385552192917,917.8884795222505,50.43691584466746,58.23341238354869,41.94296836322701,16.846803381827602,,,,,,,,,,
CHANDIGARH,4.0,,1055450.0,,97.25320953147947,2.7467904685205364,80.7782462456772,4.87441375716519,0.8261878819460894,13.106163247903735,0.1099057274148467,0.1857027808043962,18.86266521388981,0.0,817.6636017793454,76.31228385996495,80.14046012919714,71.63043638515798,21.380643327490645,,,,,,,,,,
CHHATTISGARH,22.0,,25545198.0,,23.24208643832003,76.75791356167997,93.24566206141756,2.0160266520541357,1.9202904592871035,0.2741650309384957,0.2758522364947025,0.2407888950400775,12.817551854559905,30.623767331926725,990.6028998133313,60.20670499402666,68.63527676334918,51.698177741672765,19.53141643294368,,,,,,,,,,
DADRA & NAGAR HAVELI,26.0,,343709.0,,46.72411836757257,53.275881632427435,93.93324003735718,3.7595756875729176,1.487595611403833,0.0631348029874108,0.1844583644885644,0.3450593379864944,1.7997783008300627,51.95208737623979,773.8903798513626,64.94738281511395,73.55542939719241,53.82430026208911,22.52050426378128,,,,,,,,,,
DAMAN & DIU,25.0,,243247.0,,75.17091680472934,24.829083195270652,90.50471331609434,7.924866493728596,1.1593154283506066,0.0707100190341504,0.089209733316341,0.1179870666441929,2.517605561425218,6.3158024559398465,618.3990791811099,77.45460375667531,82.92892262859196,68.60219912637446,26.679876833013356,,,,,,,,,,
GOA,30.0,,1458545.0,,62.172507533192324,37.827492466807676,66.08483111594089,8.33460743412099,25.102413706810555,0.100991056155278,0.075074817712172,0.07603467839525,1.744821037403714,10.234514533319164,973.3000514110994,79.9075105670377,83.31615120274914,76.40536276506279,16.77150859246715,,,,,,,,,,
