district_id,state,district,survey,survey_year,fertility_rate,electricity_pct,improved_sanitation_pct,lpg_pct,mobile_phone_pct,bank_account_pct,women_secondary_edu_pct,female_literacy_pct,male_literacy_pct,wealth_index_mean,urban_pct
ANDAMAN_NICOBAR_ISLANDS__NICOBARS,Andaman & Nicobar Islands,Nicobars,NFHS-5,2020,,100.0,34.80415395369938,45.18673726761478,32.46432273272128,45.747252209444966,,61.650636053366426,74.2847493607372,32115.82983019105,37.70450011650765
ANDAMAN_NICOBAR_ISLANDS__NORTH_MIDDLE_ANDAMAN,Andaman & Nicobar Islands,North & Middle Andaman,NFHS-5,2020,,100.0,29.554912915844156,43.36002797182423,40.599004960628214,56.71797262549081,,69.96412803532009,78.71894424089973,30712.656789504752,25.452378697707633
ANDAMAN_NICOBAR_ISLANDS__SOUTH_ANDAMAN,Andaman & Nicobar Islands,South Andaman,NFHS-5,2020,,100.0,16.81148936118736,28.274599797010325,29.66700861194011,54.066598277612,,76.19769256442869,83.1171484015933,18235.631206881328,31.22133738506224
ANDHRA_PRADESH__1,Andhra Pradesh,1,NFHS-4,2016,7.780765197564346,49.77781476451555,16.207151180520718,11.129425513333253,5.251325359795218,,23.760605382419246,15.384504996383566,,,10.658605799881506
ANDHRA_PRADESH__10,Andhra Pradesh,10,NFHS-4,2016,9.08633328579653,81.32613731945165,14.06648888748868,8.785243976436934,2.485682189383963,,24.90005362023935,22.327873347947012,,,13.350193621621033
ANDHRA_PRADESH__11,Andhra Pradesh,11,NFHS-4,2016,3.5346962297634237,91.98390230867278,46.23060913191392,32.79615813174336,7.846463417140908,,40.193338883666435,33.38691549026858,,,49.89938942920491
ANDHRA_PRADESH__12,Andhra Pradesh,12,NFHS-4,2016,6.96863384586039,87.69028286027192,15.702966373443347,6.261534275528817,0.8038558242420283,,16.31767179380852,13.76636130782624,,,18.488683957566657
ANDHRA_PRADESH__13,Andhra Pradesh,13,NFHS-4,2016,9.94692363549875,76.04942430768864,19.37340967239123,8.51648695175175,3.467158419642406,,14.069990204070823,9.166754131586446,,,25.549460855255248
ANDHRA_PRADESH__14,Andhra Pradesh,14,NFHS-4,2016,10.029844533044644,63.26819244205796,15.45872173053392,8.233001787090293,2.724777255021454,,20.39768314181212,4.42937376690934,,,9.082590850071515
ANDHRA_PRADESH__15,Andhra Pradesh,15,NFHS-4,2016,10.013947509473343,89.12218866340206,62.4540160582652,37.032802818650126,17.003920916914392,,39.88178305132777,19.24568387907988,,,54.72136094598413
