survey,survey_year,state,household_count,person_count,internet_pct,electricity_pct,improved_sanitation_pct,lpg_pct,mobile_phone_pct,bank_account_pct,women_secondary_edu_pct,female_literacy_pct,male_literacy_pct,fertility_rate,wealth_index_mean,urban_pct,internet_growth_nfhs4_to_nfhs5,electricity_growth_nfhs4_to_nfhs5,sanitation_growth_nfhs4_to_nfhs5,fertility_decline_nfhs4_to_nfhs5
NFHS-5,2020,Jammu And Kashmir,2415,14235,,93.23128460322067,35.0842348911495,28.47308871014632,31.579050408190884,51.18224326950044,50.052171007760094,53.851826535511634,78.03230867791639,7.2311460557663985,13674.73192348429,31.123288974973303,,,,
NFHS-5,2020,Himachal Pradesh,2790,12531,,98.36581120357026,45.33739288846255,28.0074746554954,28.78049729395824,52.73000995691106,66.16600145378024,79.51435196946005,93.4981893588009,5.867900613457604,30197.766191802704,12.731158263743694,,1.146735710470395,18.625081559075575,3.152920332970745
NFHS-5,2020,Punjab,2968,15799,,96.25979503834479,68.74219724650074,39.10652776684634,32.241710683478594,51.12313215248045,57.77873417503946,68.7190411698847,82.24628301969223,5.984357954710322,52319.1025683168,39.42786996937213,,0.7124269312110982,17.51991197018861,4.386947132603146
NFHS-5,2020,Uttaranchal,2659,13548,,79.98603635978438,55.92246341397272,34.846557337010395,26.135418914060192,59.11070431704809,53.76573482814533,64.64983601714171,85.95977434795469,7.913615317212068,14123.387076514937,28.16549282552197,,,,
NFHS-5,2020,Haryana,2302,12651,,91.45117591450835,51.59129660144316,29.558312787872925,23.784996029732277,47.93278227197813,50.330030925349774,60.418308298631906,82.90550198159688,8.149182334593876,15688.522473856721,31.39354477018444,,2.3182710433075044,12.696402821035,2.5992219803748515
NFHS-5,2020,Delhi,3324,15485,,99.28708716806585,91.42915155268355,78.29445821452545,57.21301645699975,65.15251285898657,71.27175504887549,77.26199474167913,90.04872043872652,6.423350918833135,99858.09067049793,92.85812743437926,,,,
NFHS-5,2020,Rajasthan,3282,17786,,66.09863537101558,29.93960240833972,20.56838307200013,15.937053424434664,32.521163931164025,26.01048036480616,36.19181818430123,72.25481837000426,9.634946797388023,-32191.704243389395,29.07784676123415,,1.6686989752335961,2.381230705221963,3.1021949808366216
NFHS-5,2020,Uttar Pradesh,10026,58662,,42.77178076285749,29.4833069714133,16.716899000719206,13.055873466516434,45.805248431382175,34.194132572016386,44.847690556082775,75.95058209260883,11.74013070925737,-53017.53672110204,25.291350222707297,,6.199590412047861,3.844738317506515,2.4047219075464312
NFHS-5,2020,Bihar,3016,17501,,27.6942525182978,23.98273620610658,9.585949050204405,9.028170460126274,31.222862179327322,27.900492431009905,36.98227852835874,69.7328282252351,12.235611170292284,-68291.4433225902,15.941401944440933,,9.47615724305194,7.5187606225166626,0.009512059717616594
NFHS-5,2020,Sikkim,1902,8619,,92.14783917755948,83.0165414664447,42.10663150525203,36.387072470399815,41.496042217045,52.31242127772953,72.30038469495949,81.78239620196409,6.15637617752546,24278.82356747715,20.293109904395944,,11.459874594837487,11.040118606582183,6.003677251993543
NFHS-5,2020,Arunachal Pradesh,1526,7571,,76.91099674988392,53.12692028470389,30.193678567945092,11.75317499328743,42.601743504599085,40.33332000339052,52.66292076139868,77.25068422115211,9.635124067723709,-37461.59985586131,27.37528962616775,,,,
NFHS-5,2020,Nagaland,3866,17575,,82.903095515036,69.88186863758513,22.145826346379224,15.672290236543649,26.373500577811456,59.79725029158388,75.15733469091201,82.94876556631644,11.305267200793693,-23416.458166394325,27.03990304285304,,26.649549098537634,-3.7334007227138386,5.582029605980555
NFHS-5,2020,Manipur,3498,17827,,86.95771711590604,66.15468426867834,34.60989299852887,17.367685060669466,26.37886114790834,66.34389342423042,72.61787491656759,90.72537093094849,8.507611805960178,-11026.482519904188,32.27917118754038,,11.611897969503985,-25.816491832793687,7.833939094900696
NFHS-5,2020,Mizoram,1513,7269,,92.34526307897781,90.47918136043243,64.21974548905219,18.503026390370223,44.674440718639964,74.04996590065373,94.00344459998684,93.05812566204605,8.509477428508374,38047.40219379268,53.91227351119713,,8.265120756565679,-7.12992660933611,6.065821584962315
NFHS-5,2020,Tripura,1574,7033,,68.75189266534673,85.26969179926436,17.60738594330341,5.611917717367123,46.01412790166385,52.18146785613269,68.53991280292145,76.17994751242001,6.813864222620515,-46733.022297030715,17.632847813441735,,5.171300504840033,-5.158157512535311,1.9917849916553951
NFHS-5,2020,Meghalaya,1900,9639,,70.39380887823408,60.901603498828074,18.382790714333243,13.844206993225386,30.922295805398107,51.95324937283865,69.45166111904338,72.01939168677363,11.194130744607971,-25624.354396241903,26.04987599484312,,29.233874011598814,9.380810853273339,9.1090274494072
NFHS-5,2020,Assam,3437,16103,,38.068534930689815,47.22435561942394,21.753842026779143,9.013924242269509,39.07809385764032,51.86826553981289,62.96968866207685,76.00330747763373,7.393909307835739,-49772.0076820166,20.18705114007774,,11.676028829987018,-14.514104865393108,2.8815865565068863
NFHS-5,2020,West Bengal,5992,27402,,52.45431796645482,57.43597516591375,16.494209348610188,12.383200782460364,38.80201991734281,41.79608603590013,58.793094823720395,73.5518363075768,6.966387992095463,-46250.3224342516,32.01274667029385,,15.726675771086882,12.853756488539709,2.3637736175146955
NFHS-5,2020,Jharkhand,2483,13897,,40.18786892353677,22.425999121995734,9.907217034376943,12.396192816686247,39.3592871606713,30.89877459876169,37.11710430404335,68.52117467081611,9.974602155691867,-78072.23570308244,25.56424079388617,,,,
NFHS-5,2020,Orissa,3910,18473,,45.40432988540148,18.773952826759764,8.341263719542393,8.356173805994052,28.79917976254072,40.93264118668774,52.164136083338576,73.98565836742343,7.202726369156016,-75574.07972567857,16.808551578830382,,11.560893708538849,5.359887392566662,3.353480650285018
NFHS-5,2020,Chhattisgarh,3031,15675,,71.35805012082774,18.635174541643764,12.07265555842801,6.362915384959347,27.53543594869654,32.399248875418515,44.8678685898733,72.9423391016167,8.013950799578362,-80677.64478231354,21.872786069640874,,,,
NFHS-5,2020,Madhya Pradesh,5488,27910,,71.39992500673958,26.54402270759467,17.134927686808762,10.176425318918032,29.169622559490065,32.89638176253325,44.43200386105998,72.45584535943136,9.421707794249107,-63379.11362201204,28.222181843478882,,3.3268919343501295,5.020814434847836,2.871076976019342
NFHS-5,2020,Gujarat,3216,15729,,89.31282206265152,53.3920505675608,38.35132393434497,20.42767431922254,47.670730900169296,53.73262575809916,63.80610903354519,82.45425941584014,7.35835445215626,12775.467303989964,42.077474880918736,,4.978530128276546,8.953240485912445,3.7129907426157525
NFHS-5,2020,Maharashtra,8315,39620,,83.50412010889252,52.55701826891844,43.01454663259775,23.459394921349553,52.84775881077179,62.96604528271315,70.31489690104203,88.06331380926558,6.43462042393117,7009.1339266774385,48.29742298482281,,1.3790573139864222,7.285759365950916,4.071534208168302
NFHS-5,2020,Andhra Pradesh,6668,28775,,88.43193207448311,41.45082366325666,29.37875214856361,12.710433090637355,34.60511766920641,38.406481080935535,49.595404487370445,70.74746810997043,5.530183487954519,-23639.5078447908,31.834265518518723,,14.054698482079885,15.364239554138042,2.9798208607210217
NFHS-5,2020,Karnataka,5342,25805,,89.28980800190686,44.94017847483982,28.06061767794755,22.424425743069037,39.7032964731382,53.71871955543727,59.734424487359504,74.98755889240724,6.280588540879348,-19019.40283111153,40.5193715520826,,8.39450489453516,7.865191187123905,3.07136738358421
NFHS-5,2020,Goa,3231,14128,,96.40861536873359,70.24188267491937,60.60468473880811,42.695249277253886,70.66301793391995,75.52925574979925,83.59686857985395,90.52385194833356,5.401739869640504,65508.84374905669,56.15250211758741,,2.924755001587542,12.239034315949354,4.65499073793992
NFHS-5,2020,Kerala,3023,13806,,90.96221600027043,95.42963606628618,26.43915911285949,33.0947607802798,53.02237943682241,85.01253898585475,92.95739372876972,95.0929601033069,5.827307968402444,54090.732926681834,33.57660034498268,,19.143992714170366,10.763321471579985,2.527478650052574
NFHS-5,2020,Tamil Nadu,6344,23107,,88.6405884956256,42.78106156717777,31.03021384431627,20.28796585110257,30.783833291583708,57.944661513095966,69.37101386380763,83.76450316820487,5.372517920693073,-17309.983141395736,45.853398994031636,,9.795464590228917,9.123353647787866,4.338623274869952
NFHS-4,2016,Andhra Pradesh,3872,19269,,74.37723359240323,26.086584109118615,16.700806670597952,4.944270075638619,,23.57671235703346,16.457061900335866,,8.51000434867554,,24.95633694509721,,14.054698482079885,15.364239554138042,2.9798208607210217
NFHS-4,2016,Assam,3121,18302,,26.392506100702796,61.73846048481705,10.49701318791536,2.7763875575367685,,31.16359402485672,21.566676798886068,,10.275495864342625,,9.606894890125526,,11.676028829987018,-14.514104865393108,2.8815865565068863
NFHS-4,2016,Bihar,6345,39958,,18.21809527524586,16.463975583589917,4.24033525586804,1.879062875536918,,17.625039420011635,6.9623920515878845,,12.2451232300099,,11.347263900876387,,9.47615724305194,7.5187606225166626,0.009512059717616594
NFHS-4,2016,Goa,1599,7786,,93.48386036714605,58.00284835897001,47.910619416328736,23.77652978120875,,55.202871769009434,36.11804773229315,,10.056730607580423,,41.68556697800265,,2.924755001587542,12.239034315949354,4.65499073793992
NFHS-4,2016,Gujarat,3932,20537,,84.33429193437497,44.438810081648356,30.07527241361449,9.262488351936232,,38.34674481026138,18.388182537800148,,11.071345194772013,,43.0892567474413,,4.978530128276546,8.953240485912445,3.7129907426157525
NFHS-4,2016,Haryana,2841,16379,,89.13290487120085,38.89489378040816,27.183638270401122,11.558930833827764,,32.40020263650106,18.3599497004546,,10.748404314968727,,31.56559014089187,,2.3182710433075044,12.696402821035,2.5992219803748515
NFHS-4,2016,Himachal Pradesh,3443,16774,,97.21907549309987,26.712311329386978,30.747651938681475,14.413866668854014,,40.680968894476536,38.8190632693157,,9.02082094642835,,10.639872690485703,,1.146735710470395,18.625081559075575,3.152920332970745
NFHS-4,2016,Jammu,2786,18429,,90.11573170242956,49.39452316693851,16.703426515994476,5.887150046205317,,24.031765497893296,8.070152976817836,,12.892560962897733,,23.390774777092034,,,,
NFHS-4,2016,Karnataka,4273,23960,,80.8953031073717,37.07498728771591,20.279312521517685,11.944215460755633,,36.83773246464671,12.636807661854386,,9.351955924463558,,36.3206063474743,,8.39450489453516,7.865191187123905,3.07136738358421
NFHS-4,2016,Kerala,2834,15135,,71.81822328610006,84.6663145947062,15.258430903331414,17.613462499782784,,71.74697811096298,55.53476406228284,,8.354786618455018,,24.041259565681944,,19.143992714170366,10.763321471579985,2.527478650052574
NFHS-4,2016,Madhya Pradesh,6749,39679,,68.07303307238945,21.523208272746835,12.30599472549832,4.511078824291599,,18.913537817710253,15.551699196241184,,12.29278477026845,,25.36604951175735,,3.3268919343501295,5.020814434847836,2.871076976019342
NFHS-4,2016,Maharashtra,5830,31494,,82.1250627949061,45.271258902967524,27.401952954181535,11.62046521953799,,42.353086438384494,22.614514671279338,,10.506154632099472,,43.42750383051845,,1.3790573139864222,7.285759365950916,4.071534208168302
NFHS-4,2016,Manipur,1689,9479,,75.34581914640205,91.97117610147203,24.248113950424223,3.6281403150422533,,46.05485300208475,20.501778974636462,,16.341550900860874,,31.654312751980395,,11.611897969503985,-25.816491832793687,7.833939094900696
NFHS-4,2016,Meghalaya,1240,6763,,41.15993486663527,51.520792645554735,4.234516484453672,4.81584861765424,,29.600463280020435,45.810293301981844,,20.30315819401517,,19.601100280903026,,29.233874011598814,9.380810853273339,9.1090274494072
NFHS-4,2016,Mizoram,1373,7506,,84.08014232241213,97.60910796976854,38.069689677471324,15.150932816929776,,57.87546271160093,76.20376872256233,,14.575299013470689,,53.21250271953461,,8.265120756565679,-7.12992660933611,6.065821584962315
NFHS-4,2016,Nagaland,1133,5485,,56.25354641649837,73.61526936029897,11.065552695022884,5.180748540712969,,41.63522538714337,31.81023650589654,,16.88729680677425,,21.030477667209535,,26.649549098537634,-3.7334007227138386,5.582029605980555
NFHS-4,2016,Orissa,4689,24645,,33.84343617686263,13.414065434193102,3.79689847398039,2.646091371860007,,23.305244571353228,22.407302408520184,,10.556207019441034,,11.10316531838607,,11.560893708538849,5.359887392566662,3.353480650285018
NFHS-4,2016,Punjab,2967,16353,,95.54736810713369,51.22228527631213,31.68212593930034,16.34934206451156,,44.07510728915546,30.60482977928181,,10.371305087313468,,31.34126481529623,,0.7124269312110982,17.51991197018861,4.386947132603146
NFHS-4,2016,Rajasthan,6311,40447,,64.42993639578198,27.558371703117757,14.14870907801615,6.48670052676104,,15.87067832116075,10.257618605707892,,12.737141778224645,,25.19579500803097,,1.6686989752335961,2.381230705221963,3.1021949808366216
