state,lok_sabha_constituency,has_nfhs4,has_nfhs5,coverage_share_nfhs4,coverage_share_nfhs5,fertility_rate_change,electricity_pct_change,improved_sanitation_pct_change,lpg_pct_change,mobile_phone_pct_change,bank_account_pct_change,women_secondary_edu_pct_change,female_literacy_pct_change,male_literacy_pct_change,wealth_index_mean_change,urban_pct_change,fertility_rate_annual_change,electricity_pct_annual_change,improved_sanitation_pct_annual_change,lpg_pct_annual_change,mobile_phone_pct_annual_change,bank_account_pct_annual_change,women_secondary_edu_pct_annual_change,female_literacy_pct_annual_change,male_literacy_pct_annual_change,wealth_index_mean_annual_change,urban_pct_annual_change,change_quality_flag
Andhra Pradesh,ADILABAD,True,True,1.0,1.0,,0.0,0.0,0.0,0.0,,,,,,0.0,,0.0,0.0,0.0,0.0,,,,,,0.0,medium
Andhra Pradesh,"AMALAPURAM (SC) 161-Ramachandrapuram, 62-Mummidivaram",True,True,1.0,1.0,,36.73180778049188,44.5412773395446,31.766997608953247,57.27522252710167,,,,,,-9.082591576327763,,7.346361556098375,8.90825546790892,6.353399521790649,11.455044505420334,,,,,,-1.8165183152655526,low
Andhra Pradesh,ANAKAPALLE,True,True,1.0,1.0,,23.950576912698224,12.463575874576744,23.320497734184258,45.41057957092771,,,,,,-10.753228648271572,,4.7901153825396445,2.492715174915349,4.664099546836852,9.082115914185541,,,,,,-2.150645729654314,low
Andhra Pradesh,ANANTAPUR,True,True,1.0,1.0,,24.329914702860393,33.39497980723527,30.12614712004644,4.708047396447055,,,,,,0.46342682127529855,,4.865982940572079,6.678995961447055,6.025229424009288,0.9416094792894111,,,,,,0.09268536425505972,low
Andhra Pradesh,ARAKU,True,True,1.0,1.0,,15.473869478888517,33.47392131658751,27.32845646031769,34.990217970831836,,,,,,-16.306128762199442,,3.0947738957777036,6.694784263317501,5.465691292063537,6.998043594166367,,,,,,-3.2612257524398887,low
Andhra Pradesh,BAPATLA,True,True,1.0,1.0,,32.30771270469765,6.085638632882613,12.780151449862867,16.989468767614063,,,,,,0.2395232720427014,,6.46154254093953,1.2171277265765226,2.5560302899725733,3.397893753522813,,,,,,0.04790465440854028,low
Andhra Pradesh,BHONGIR,True,True,1.0001,1.0001,,-27.709375141965594,31.615470327181416,23.14840201713427,32.054269724380745,,,,,,28.330639029363176,,-5.541875028393119,6.323094065436283,4.629680403426854,6.410853944876149,,,,,,5.666127805872636,low
Andhra Pradesh,CHEVELLA,True,True,1.0,1.0,,-28.747055916536333,51.708886148093676,1.4361703042973417,17.40803173454865,,,,,,15.819567913763741,,-5.7494111833072665,10.341777229618735,0.28723406085946834,3.48160634690973,,,,,,3.1639135827527483,low
Andhra Pradesh,CHITTOOR,True,True,1.0,1.0,,8.569339471751064,32.51628753835006,19.184900224860613,38.62113388949784,,,,,,-5.073916372741962,,1.7138678943502128,6.503257507670012,3.8369800449721225,7.724226777899569,,,,,,-1.0147832745483925,low
Andhra Pradesh,ELURU,True,True,1.0,1.0,,8.632675445402413,-3.7437535515808946,4.217165707080007,42.7498936908801,,,,,,-50.61609353149586,,1.7265350890804825,-0.7487507103161789,0.8434331414160013,8.54997873817602,,,,,,-10.123218706299173,low
