state_code_2011,district_code_2011,state_2011,district,population_total,male_population,female_population,households,rural_population,urban_population,rural_households,urban_households,sc_population,st_population,literates_total,male_literates,female_literates,age_0_6_population,workers_total,main_workers_total,marginal_workers_total,non_workers_total,urban_pct,rural_pct,sc_pct,st_pct,sex_ratio,literacy_rate,male_literacy,female_literacy,child_0_6_pct,worker_pct,main_worker_pct,marginal_worker_pct,non_worker_pct,source_year,geography_level
1,1,JAMMU & KASHMIR,KUPWARA,870354,474190,396164,113929,765625,104729,101930,11999,1048,70352,439654,282823,156831,188798,229064,123837,105227,641290,12.032919938323946,87.96708006167606,0.12041077538564769,8.0831477766518,835.4541428541302,50.51438839828391,59.643391889327056,39.587393099827345,21.69209310234686,26.318486500895037,14.228348465107302,12.090138035787737,73.68151349910497,2011,district
1,2,JAMMU & KASHMIR,BADGAM,753745,398041,355704,103363,655833,97912,89417,13946,368,23912,335649,207741,127908,155202,214866,132003,82863,538879,12.9900695858679,87.0099304141321,0.04882287776369992,3.1724256877325887,893.636585175899,44.53084265898944,52.190854710946866,35.95911207071048,20.59078335511347,28.506457754280294,17.512951993048045,10.993505761232248,71.49354224571971,2011,district
1,3,JAMMU & KASHMIR,LEH(LADAKH),133487,78971,54516,21909,87816,45671,14905,7004,488,95857,93770,62834,30936,12016,75079,57125,17954,58408,34.21381857409336,65.78618142590665,0.3655786705821541,71.80998898769168,690.329361411151,70.24654086165694,79.56591660229705,56.746643187321155,9.001625626465499,56.24442829638841,42.794429420093344,13.44999887629507,43.75557170361159,2011,district
1,4,JAMMU & KASHMIR,KARGIL,140802,77785,63017,18338,124464,16338,16147,2191,18,122336,86236,56301,29935,19928,51873,28941,22932,88929,11.603528358972174,88.39647164102783,0.012783909319469893,86.88512947259271,810.1433438323584,61.246289115211425,72.38027897409526,47.50305473126299,14.153208051022004,36.84109600715899,20.55439553415434,16.286700473004643,63.15890399284101,2011,district
1,5,JAMMU & KASHMIR,PUNCH,476835,251899,224936,90261,438205,38630,83045,7216,556,176101,261724,163333,98391,84674,161393,73247,88146,315442,8.101334843289608,91.8986651567104,0.1166021789507901,36.93122358887246,892.9610677295266,54.88774943114495,64.84067026863941,43.741775438346906,17.75750521668921,33.84671846655552,15.361078779871443,18.485639686684074,66.15328153344448,2011,district
1,6,JAMMU & KASHMIR,RAJOURI,642415,345351,297064,130401,590101,52314,122645,7756,48157,232815,364109,224469,139640,108271,290912,130377,160535,351503,8.143334137590188,91.85666586240981,7.496244639368632,36.24059214059447,860.1799328798816,56.678159756543664,64.9973505216432,47.00670562572375,16.853747188343984,45.28412319139497,20.294824996303014,24.98929819509196,54.715876808605024,2011,district
1,7,JAMMU & KASHMIR,KATHUA,616435,326109,290326,119583,526722,89713,101651,17932,141224,53307,389204,228499,160705,83936,200431,142847,57584,416004,14.553521458061272,85.44647854193873,22.909795842221808,8.647627081525222,890.2728842196934,63.1378815284661,70.06829005025928,55.35329250566604,13.616358577952258,32.51453924582478,23.173083942345908,9.341455303478874,67.48546075417522,2011,district
1,8,JAMMU & KASHMIR,BARAMULA,1008039,534733,473306,152635,825539,182500,125346,27289,1476,37705,545149,337170,207979,164581,304200,187959,116241,703839,18.10445826004748,81.89554173995252,0.14642290625660317,3.740430677781316,885.1258478530407,54.080149676748626,63.0538979266288,43.941762834191834,16.326848465188352,30.17740385044626,18.64600476767268,11.531399082773582,69.82259614955375,2011,district
1,9,JAMMU & KASHMIR,BANDIPORE,392232,207680,184552,58392,326871,65361,48794,9598,392,75374,185979,117058,68921,61754,149317,75173,74144,242915,16.663862204001713,83.33613779599828,0.09994085133288462,19.21668808256338,888.6363636363636,47.41556017866977,56.36459938366718,37.345030127010276,15.744253401048358,38.068541067531456,19.165442901140143,18.90309816639132,61.931458932468544,2011,district
1,10,JAMMU & KASHMIR,SRINAGAR,1236829,651124,585705,191678,17313,1219516,2844,188834,1068,8935,748584,431746,316838,158300,407188,330547,76641,829641,98.60021070010487,1.3997892998951351,0.08634985111118837,0.7224119098112997,899.5291219491219,60.52445406761969,66.30780005037444,54.095150288968,12.798859017697678,32.92193181110727,26.725359770833318,6.196572040273959,67.07806818889273,2011,district
1,11,JAMMU & KASHMIR,GANDERBAL,297446,158720,138726,45361,250407,47039,38395,6966,117,61070,143276,90581,52695,50594,100890,52949,47941,196556,15.814299066048964,84.18570093395104,0.039334870867317094,20.53145781082953,874.0297379032259,48.168743234066014,57.069682459677416,37.98494874789153,17.009473988555907,33.91876172481727,17.801214338064725,16.117547386752555,66.08123827518271,2011,district
1,12,JAMMU & KASHMIR,PULWAMA,560440,293064,267376,86241,479978,80462,75587,10654,402,22607,293958,178326,115632,97374,188420,98306,90114,372020,14.356933837698952,85.64306616230105,0.07172935550638783,4.0337948754549995,912.3467911445964,52.451288273499394,60.848824830071244,43.246963078211955,17.374562843480124,33.62001284704875,17.540860752266077,16.07915209478267,66.37998715295124,2011,district
1,13,JAMMU & KASHMIR,SHUPIYAN,266215,136480,129735,44411,249855,16360,41858,2553,43,21820,136500,80355,56145,41547,87721,54703,33018,178494,6.14540878613151,93.85459121386849,0.016152358056458125,8.196382623067821,950.5788393903869,51.27434592340777,58.876758499413825,43.27667938489999,15.60655860864339,32.95118607140845,20.548428901451835,12.402757169956615,67.04881392859156,2011,district
1,14,JAMMU & KASHMIR,ANANTNAG,1078692,559767,518925,153640,795805,282887,117648,35992,1826,116006,545532,324417,221115,208538,389684,176800,212884,689008,26.225002132211976,73.77499786778803,0.16927908986068313,10.754320973920265,927.0374995310549,50.57347231647217,57.95572086243026,42.610203786674376,19.332487864932716,36.12560397221821,16.390220748832846,19.73538322338536,63.8743960277818,2011,district
1,15,JAMMU & KASHMIR,KULGAM,424483,217620,206863,73728,343870,80613,59922,13806,21,26525,209085,125052,84033,71501,159990,77812,82178,264493,18.99086653646907,81.00913346353093,0.00494719458729796,6.24877792514659,950.5698005698006,49.25638953739019,57.463468431210366,40.62253762151762,16.84425524697102,37.69055533437146,18.331005010801373,19.359550323570083,62.30944466562855,2011,district
1,16,JAMMU & KASHMIR,DODA,409936,213641,196295,79636,377247,32689,72917,6719,53408,39216,219083,138620,80463,71240,151912,79377,72535,258024,7.97417157800242,92.02582842199757,13.02837516100074,9.566371336013427,918.8077194920451,53.443220405136415,64.88454931403616,40.990855599989814,17.378322469848953,37.057491901174814,19.363266461106125,17.694225440068696,62.94250809882518,2011,district
1,17,JAMMU & KASHMIR,RAMBAN,283713,149132,134581,55490,271902,11811,53328,2162,13920,39772,124065,82938,41127,55092,87212,52051,35161,196501,4.163009802159225,95.83699019784078,4.906366645166066,14.01839182554201,902.4287208647372,43.72905013164712,55.61381863047502,30.55929143043966,19.41821488617018,30.739514932343603,18.346357058012853,12.39315787433075,69.26048506765639,2011,district
1,18,JAMMU & KASHMIR,KISHTWAR,230696,120165,110531,45209,215831,14865,42499,2710,14307,38149,107506,68700,38806,39396,82974,44718,38256,147722,6.443544751534487,93.55645524846551,6.201667995977391,16.53648090994209,919.8269046727416,46.60072129555779,57.17138933965798,35.10870253594015,17.077019107396747,35.96681346880744,19.383951173839165,16.58286229496827,64.03318653119257,2011,district
1,19,JAMMU & KASHMIR,UDHAMPUR,554985,296784,258201,99240,446777,108208,78887,20353,138569,56309,322354,197543,124811,84332,243672,152442,91230,311313,19.497463895420598,80.5025361045794,24.968062199879277,10.146039983062604,869.9963609898108,58.083371622656465,66.56120276025662,48.338697371427685,15.195365640512806,43.90605151490581,27.467769399172955,16.438282115732857,56.09394848509419,2011,district
1,20,JAMMU & KASHMIR,REASI,314667,166461,148206,56689,287671,26996,51659,5030,37757,88365,150542,93937,56605,55799,144767,88462,56305,169900,8.579228199970128,91.42077180002988,11.999033899328497,28.082067709674035,890.3346729864653,47.84168660838283,56.43183688671821,38.193460453692836,17.732714266192513,46.00641312879965,28.112893948205564,17.89351918059409,53.99358687120035,2011,district
1,21,JAMMU & KASHMIR,JAMMU,1529958,813821,716137,314199,764945,765013,159291,154908,377991,69193,1137135,641916,495219,167363,508622,410344,98278,1021336,50.002222283226075,49.997777716773925,24.705972320808804,4.522542448877682,879.9686909037737,74.32458930245144,78.87680460445233,69.15143331513384,10.939058457813875,33.24418055920489,26.820605532962343,6.423575026242551,66.75581944079511,2011,district
