state,district,survey,survey_year,fertility_rate,electricity_pct,improved_sanitation_pct,lpg_pct,mobile_phone_pct,bank_account_pct,women_secondary_edu_pct,female_literacy_pct,male_literacy_pct,wealth_index_mean,urban_pct,household_count,person_count,state_key,district_key,district_panel_id,nfhs4_sdist_code,district_name_source
Andhra Pradesh,NIZAMABAD,NFHS-4,2016,,53.05156746349077,16.027634434802472,16.027634434802472,0.7408127329383184,,,,,,30.86973374740151,129,,ANDHRA PRADESH,NIZAMABAD,ANDHRA PRADESH__NIZAMABAD__NFHS-4,,state_file_census_name
Andhra Pradesh,PRAKASAM,NFHS-4,2016,,62.5622092959153,19.77261840410427,9.815434863043112,3.0404700367720623,,,,,,17.63472621327797,156,,ANDHRA PRADESH,PRAKASAM,ANDHRA PRADESH__PRAKASAM__NFHS-4,,state_file_census_name
Andhra Pradesh,Prakasam,NFHS-5,2020,,100.0,24.377460741452715,5.471825926815896,24.377460741452715,5.471825926815896,,,,-3837.964353592985,5.471825926815896,6,,ANDHRA PRADESH,PRAKASAM,ANDHRA PRADESH__PRAKASAM__NFHS-5,,
Andhra Pradesh,RANGAREDDY,NFHS-4,2016,,67.12439526897388,27.750226969385515,17.752499371921434,1.780637941670124,,,,,,22.55777143867381,392,,ANDHRA PRADESH,RANGAREDDY,ANDHRA PRADESH__RANGAREDDY__NFHS-4,,state_file_census_name
Andhra Pradesh,SRI POTTI SRIRAMULU NELLORE,NFHS-4,2016,,94.11764705882352,47.05882352941176,41.17647058823528,0.0,,,,,,100.0,17,,ANDHRA PRADESH,SRI POTTI SRIRAMULU NELLORE,ANDHRA PRADESH__SRI POTTI SRIRAMULU NELLORE__NFHS-4,,state_file_census_name
Andhra Pradesh,SRIKAKULAM,NFHS-4,2016,,91.9839010021013,46.23060287544655,32.7961540738338,7.84646344226728,,,,,,49.89938126313304,51,,ANDHRA PRADESH,SRIKAKULAM,ANDHRA PRADESH__SRIKAKULAM__NFHS-4,,state_file_census_name
Andhra Pradesh,Sri Potti Sriramulu Nellore,NFHS-5,2020,,100.0,41.76129788703166,37.547315610182494,27.201622358789564,41.76129788703165,,,,13640.55352425983,12.641946830547475,9,,ANDHRA PRADESH,SRI POTTI SRIRAMULU NELLORE,ANDHRA PRADESH__SRI POTTI SRIRAMULU NELLORE__NFHS-5,,
Andhra Pradesh,Srikakulam,NFHS-5,2020,,100.0,39.19916132091954,8.798741981379326,39.19916132091954,100.0,,,,23565.46430771535,8.798741981379326,4,,ANDHRA PRADESH,SRIKAKULAM,ANDHRA PRADESH__SRIKAKULAM__NFHS-5,,
Andhra Pradesh,VISAKHAPATNAM,NFHS-4,2016,,76.04942308730178,19.373408040180028,8.516486180572512,3.46715836513987,,,,,,25.54945854171754,169,,ANDHRA PRADESH,VISAKHAPATNAM,ANDHRA PRADESH__VISAKHAPATNAM__NFHS-4,,state_file_census_name
Andhra Pradesh,VIZIANAGARAM,NFHS-4,2016,,87.690283018127,15.702964385777896,6.26153358782623,0.8038557387774682,,,,,,18.488681991881776,238,,ANDHRA PRADESH,VIZIANAGARAM,ANDHRA PRADESH__VIZIANAGARAM__NFHS-4,,state_file_census_name
