state,population_total,population_density,urban_pct,rural_pct,hindu_pct,muslim_pct,christian_pct,sikh_pct,buddhist_pct,jain_pct,sc_pct,st_pct,sex_ratio,literacy_rate,male_literacy,female_literacy,youth_pct,working_age_pct,elderly_pct,source_year,geography_level
ANDAMAN & NICOBAR ISLANDS,380581,,37.702355083411945,62.297644916588055,69.4454005848952,8.51671523276254,21.279044408417654,0.33790441456615017,0.08881158018923699,0.008145440786586824,0.0,7.496433085203938,875.9753735132177,77.32414387475991,81.02538066061685,73.09886894378482,18.42997942619311,,,2011,state
ANDHRA PRADESH,84580777,,33.36346153452811,66.63653846547189,88.46472171803292,9.555849788421783,1.3357455914598657,0.047580551311322196,0.04338101552318442,0.06366576651335326,16.408075797175524,6.996948018105815,992.8487357825875,59.77334542575791,66.56412472639815,52.933653682294526,19.183840082244693,,,2011,state
ARUNACHAL PRADESH,1383727,,22.935810315185005,77.064189684815,29.043012097039373,1.954504031503324,30.261171459399144,0.23754685714739973,11.766410570871278,0.05571908331629,0.0,68.78676212865689,938.2318829211443,55.35810170647822,61.61375631730521,48.690608600882335,20.78907183281095,,,2011,state
ASSAM,31205576,,14.095371929683337,85.90462807031668,61.46580662379056,34.222553687200005,3.7360854995914834,0.06624457116253839,0.17622812025645673,0.08315501050196926,7.150391968409749,12.447682427012403,957.7582478885868,61.45689155040753,66.30494553667904,56.39501503098394,19.156787876628204,,,2011,state
BIHAR,104099452,,11.294983570134452,88.70501642986555,82.68889446219178,16.86637985375754,0.12415723379600499,0.022842579421071305,0.02445065705052895,0.018169163849200667,15.914901261920186,1.2839385552192917,917.8884795222505,50.43691584466746,58.23341238354869,41.94296836322701,16.846803381827602,,,2011,state
CHANDIGARH,1055450,,97.25320953147947,2.7467904685205364,80.7782462456772,4.87441375716519,0.8261878819460894,13.106163247903737,0.10990572741484675,0.18570278080439623,18.86266521388981,0.0,817.6636017793454,76.31228385996495,80.14046012919714,71.63043638515798,21.380643327490645,,,2011,state
CHHATTISGARH,25545198,,23.24208643832003,76.75791356167997,93.24566206141756,2.0160266520541357,1.9202904592871037,0.27416503093849576,0.2758522364947025,0.24078889504007758,12.817551854559905,30.623767331926725,990.6028998133313,60.20670499402666,68.63527676334918,51.698177741672765,19.53141643294368,,,2011,state
DADRA & NAGAR HAVELI,343709,,46.72411836757257,53.275881632427435,93.93324003735718,3.7595756875729176,1.487595611403833,0.06313480298741087,0.18445836448856445,0.3450593379864944,1.7997783008300627,51.95208737623979,773.8903798513626,64.94738281511395,73.55542939719241,53.82430026208911,22.52050426378128,,,2011,state
DAMAN & DIU,243247,,75.17091680472934,24.829083195270652,90.50471331609434,7.924866493728596,1.1593154283506066,0.07071001903415047,0.08920973331634101,0.11798706664419294,2.517605561425218,6.3158024559398465,618.3990791811099,77.45460375667531,82.92892262859196,68.60219912637446,26.679876833013356,,,2011,state
GOA,1458545,,62.172507533192324,37.827492466807676,66.08483111594089,8.33460743412099,25.102413706810555,0.10099105615527804,0.07507481771217206,0.07603467839525006,1.744821037403714,10.234514533319164,973.3000514110994,79.9075105670377,83.31615120274914,76.40536276506279,16.77150859246715,,,2011,state
